Transition Times,Cue Times, No Reward Times, Reward Times
62.188600,241.574300,38.008400,285.896650
63.499050,245.575300,38.058300,300.367650
63.515000,248.049350,38.108150,303.174050
64.520350,252.181700,38.157900,321.611650
64.534250,254.938850,38.207750,323.990250
64.572150,257.559300,38.265150,343.725800
64.869350,259.971600,38.314500,355.862100
64.901300,262.933400,38.364350,358.769300
66.313000,266.616900,38.414200,366.929100
66.327000,268.853500,38.464100,369.640450
66.512450,272.300700,38.513950,372.759100
66.666000,275.483100,38.563850,376.205450
67.677300,278.719150,38.613750,379.539900
67.691250,282.246650,38.663550,383.251850
67.728150,285.394100,38.713400,387.376900
67.936100,287.972750,38.763250,390.950250
67.968000,291.715700,38.813150,393.569100
69.579650,295.600200,38.863000,399.365900
69.595600,300.071500,38.912850,405.283650
70.599900,302.839000,38.962750,408.952700
70.615800,305.247500,39.012600,422.936250
70.652750,308.215450,39.062450,425.130950
70.900100,311.166450,39.112300,456.015400
70.931950,313.826400,39.162200,459.917900
72.144300,316.866700,39.212050,465.366950
72.160300,321.117200,39.261950,471.445850
73.163500,323.691050,39.311800,478.503850
73.179450,326.947950,39.361650,482.626650
73.215400,329.761350,39.411500,485.913250
73.321100,332.466200,39.461400,489.179500
73.353000,335.462700,39.511250,491.758750
74.763200,338.852100,39.561100,497.126200
74.779200,341.844950,39.611000,508.237100
75.784400,345.800200,39.660850,511.540100
75.798400,348.455550,39.710700,526.306250
75.835250,355.392250,39.760550,535.431650
76.038750,358.336950,39.810450,545.199300
76.070650,361.080900,39.860300,549.018100
77.383100,364.087700,39.910150,554.456900
77.399050,369.207100,39.960000,558.387200
78.188900,372.314300,40.009900,563.498300
78.342550,375.872350,40.059750,570.455950
78.693550,379.391300,40.109600,573.568800
78.849100,383.044450,40.159500,580.593350
78.914950,387.059000,40.209350,585.220100
79.070550,390.789650,40.259200,588.335400
80.074800,393.423550,40.309100,601.908700
80.088750,399.168950,40.358950,604.196450
80.123650,402.550500,40.408800,615.303000
80.402900,404.902750,40.458250,624.089250
80.434800,408.478050,40.508150,643.823850
81.445600,411.229850,40.558000,658.656400
81.463600,414.361400,40.607850,662.384950
82.468850,418.463450,40.657700,671.906700
82.482800,422.457600,40.707600,676.072000
82.517700,425.010400,40.757050,679.547750
82.754600,427.505150,40.806950,682.901100
82.786500,430.137150,40.856800,686.258100
84.099250,439.186600,40.906650,689.547750
84.115300,441.988950,40.956550,692.761450
85.088600,445.669600,41.006400,702.706200
85.244150,449.660800,41.056250,705.528550
86.057950,452.684900,41.106100,719.387200
86.211550,455.357150,41.156000,725.377150
86.291300,459.345500,41.205850,951.051600
86.446900,462.393050,41.255750,957.767500
86.544600,465.235350,41.305600,961.138100
86.698200,468.381800,41.355450,977.594500
87.250700,470.843150,41.405300,1049.528650
87.406350,474.023450,41.455200,1052.243950
87.508000,477.914500,41.505050,1058.357200
87.663650,481.844800,41.554900,1077.604750
88.668900,485.298950,41.604750,1116.283400
88.682800,488.850900,41.654650,1126.254350
88.718750,491.653050,41.704500,1137.167200
89.002000,496.726300,41.754350,1145.724500
89.014000,501.409600,41.804250,1154.568650
90.425850,506.085950,41.854100,1159.181200
90.441800,511.213600,41.903950,1165.957800
91.447150,514.170950,41.953800,1169.258400
91.461050,519.666350,42.003700,1173.774700
91.498000,522.593750,42.053550,1179.715600
91.579350,525.938650,42.103450,1197.133700
91.611300,535.045200,42.153300,1211.747700
92.822700,539.132050,42.203150,1217.521100
92.838700,541.985050,42.253050,1231.856150
93.841900,544.573800,42.303000,1234.707450
93.857900,548.657050,42.352750,1247.754050
93.893800,551.094000,42.402600,1274.541750
94.246450,553.960250,42.459550,1280.815700
94.258450,557.829750,42.509350,1298.421100
95.269700,560.761700,42.559200,1315.808550
95.285650,563.158000,42.609050,1346.216650
96.290950,567.039650,42.658950,1357.027900
96.304900,569.931900,42.708800,1359.959250
96.339800,573.130450,42.758700,1394.812851
96.628550,576.044100,42.808500,1549.910051
96.640550,580.085750,42.858100,1562.273701
98.253100,584.795600,42.908050,1587.686251
98.269050,587.702150,42.957850,1616.040951
99.050950,590.809250,43.007700,1625.078451
99.204500,594.132250,43.057600,1650.905951
99.252350,598.404200,43.107450,1661.761001
99.406050,601.286450,43.157300,1670.984751
100.411250,603.983050,43.207200,1729.510751
100.425250,606.572900,43.257050,1749.738601
100.462150,609.110950,43.306900,1777.797651
100.641600,612.056050,43.356800,1784.370851
100.673500,617.977800,43.406650,
102.283800,621.523750,43.456550,
102.299800,626.462000,43.506400,
102.415400,628.828650,43.556250,
102.569000,633.367200,43.606100,
103.572250,636.410450,43.655950,
103.586200,640.371700,43.705850,
103.623100,643.229950,43.755750,
103.987750,646.749600,43.805550,
104.019250,649.097250,43.855400,
105.231000,652.151000,43.905300,
105.246950,656.711200,43.955150,
105.871300,661.950600,44.005000,
106.026850,668.054600,44.054950,
106.114650,671.536750,44.104750,
106.270200,674.864700,44.154600,
107.275450,678.948400,44.204500,
107.289400,682.523050,44.254350,
107.325350,685.918500,44.304200,
107.582650,689.176800,44.354100,
107.614550,692.427300,44.403950,
108.624800,695.600950,44.453800,
108.640750,698.373450,44.503650,
109.646050,701.531900,44.553550,
109.660000,705.079800,44.603400,
109.695900,712.238450,44.653250,
109.823550,718.912400,44.703200,
109.854950,721.861850,44.753000,
111.167600,727.450500,44.802850,
111.183600,735.557050,44.852700,
112.184850,743.661100,44.902600,
112.338400,750.674100,44.952450,
113.343700,758.777800,45.002300,
113.357650,767.974850,45.052150,
113.395550,776.779800,45.102050,
113.557100,784.881100,45.151900,
113.589050,791.420550,45.201750,
115.000800,799.551800,45.251650,
115.019800,807.653800,45.301500,
115.727850,815.755850,45.351350,
115.881450,823.859300,45.401250,
116.886700,831.963350,45.450100,
116.901650,844.020900,45.499950,
116.937550,852.121900,45.549850,
117.067200,860.228850,45.599700,
117.079200,867.298700,45.649550,
118.489400,875.400300,45.699400,
118.505300,883.537200,45.749300,
118.551200,891.639250,45.799150,
118.704800,899.743650,45.849000,
119.600350,907.219350,45.898900,
119.753950,915.322350,45.948750,
120.759200,923.428900,45.998650,
120.773150,931.530450,46.048500,
120.809100,939.633000,46.098350,
121.190050,947.736000,46.148200,
121.221950,956.868800,46.198050,
122.534400,960.040400,46.247950,
122.550350,965.255300,46.297800,
123.070950,974.387250,46.347650,
123.224500,981.381850,46.397550,
124.229850,989.277150,46.447400,
124.245750,998.511400,46.497250,
124.284650,1007.480250,46.547150,
124.585850,1015.582300,46.597000,
124.617750,1027.626250,46.646850,
125.830450,1029.844250,46.696700,
125.846450,1037.945250,46.746600,
126.558500,1046.047100,46.796450,
126.714050,1051.607750,46.846300,
126.851700,1055.522100,46.896200,
127.005250,1060.831750,46.946050,
127.952700,1066.141300,46.995900,
128.108300,1074.243300,47.045800,
128.154200,1080.279600,47.095650,
128.309750,1089.546350,47.145550,
128.389500,1097.662700,47.195400,
128.545100,1105.765850,47.245250,
128.612900,1114.945800,47.295100,
128.766500,1121.191650,47.344950,
129.769750,1129.996000,47.394850,
129.785750,1136.188100,47.444700,
129.821650,1142.544650,47.494550,
130.126800,1144.938100,47.544400,
130.159700,1147.999350,47.594300,
131.170050,1153.237700,47.644150,
131.186050,1157.484800,47.694000,
131.985850,1162.286350,47.743900,
132.139450,1165.425850,47.793750,
132.424650,1168.330950,47.843600,
132.578250,1171.734800,47.893450,
132.705900,1176.051300,47.942350,
132.859500,1178.959350,47.992200,
133.864800,1181.989250,48.041600,
133.878750,1184.473950,48.091450,
133.916150,1188.930900,48.141350,
133.991950,1192.648400,48.191200,
134.023850,1201.299450,48.241050,
135.635500,1209.402150,48.290950,
135.653450,1214.225000,48.340550,
136.658750,1219.896550,48.390550,
136.674200,1225.801650,48.440300,
136.709600,1229.941400,48.490150,
137.024700,1234.133200,48.540050,
137.056700,1237.985600,48.589900,
138.368400,1246.449650,48.639800,
138.384350,1252.287350,48.689600,
139.343750,1260.391550,48.739500,
139.497350,1268.495150,48.789350,
140.137600,1276.915350,48.839200,
140.291200,1284.174650,48.889100,
140.339050,1293.336850,48.938950,
140.492650,1301.101850,48.988800,
140.905500,1307.458650,49.038650,
141.062100,1311.252950,49.088550,
142.065400,1318.483350,49.138400,
142.079400,1327.749800,49.188250,
142.116250,1335.851700,49.238150,
142.333250,1343.966800,49.288000,
142.364700,1348.492500,49.337850,
143.774700,1356.595550,49.387750,
143.790600,1359.502550,49.437600,
144.795850,1364.591050,49.487450,
144.809850,1372.695600,49.537350,
144.845750,1380.795601,49.587200,
145.220800,1388.897851,49.637050,
145.254350,1396.885251,49.686900,
146.463500,1404.988251,49.736800,
146.479450,1413.090251,49.786650,
147.406950,1424.679851,49.836500,
147.560500,1429.721151,49.886400,
148.563850,1437.823701,49.936250,
148.579750,1445.931751,49.986100,
148.616650,1454.034751,50.035950,
148.726350,1462.137401,50.085850,
148.758250,1470.239401,50.135700,
150.368900,1478.342451,50.185550,
150.387900,1486.444901,50.235450,
150.758850,1494.547001,50.285300,
150.912450,1502.649901,50.335150,
151.917700,1509.553101,50.385050,
151.931700,1517.657951,50.434900,
151.966600,1525.765951,50.484750,
152.017450,1533.936801,50.534600,
152.049350,1540.730401,50.584500,
153.062600,1543.547801,50.634350,
153.078550,1553.034751,50.683250,
154.083850,1561.137801,50.733100,
154.097800,1565.358401,50.782950,
154.133750,1573.461101,50.832800,
154.244400,1581.564151,50.882700,
154.256400,1592.180101,50.932550,
155.868000,1600.282701,50.982400,
155.883950,1609.310201,51.032300,
156.889200,1619.980301,51.082150,
156.903200,1636.573301,51.132000,
156.939100,1645.440251,51.181900,
156.990950,1650.561401,51.231450,
157.002950,1657.226851,51.281350,
158.615800,1663.834051,51.331200,
158.631800,1668.727901,51.381050,
159.636050,1673.460601,51.430950,
159.650000,1681.562601,51.480800,
159.687750,1689.663901,51.530150,
159.733600,1698.738251,51.580050,
159.765550,1706.842901,51.629900,
161.176350,1714.949351,51.679750,
161.192350,1723.052951,51.729600,
162.197600,1728.821001,51.779500,
162.211550,1731.783601,51.829400,
162.246550,1739.885651,51.879250,
162.578550,1747.989651,51.929100,
162.590550,1752.114651,51.978950,
163.903000,1757.468151,52.028800,
163.918900,1765.571151,52.078700,
164.830450,1773.674301,52.128550,
164.984050,1780.475401,52.178400,
165.021950,1790.142001,52.228300,
165.177500,1798.244601,52.278150,
166.180800,1803.555251,52.328000,
166.195750,,52.377850,
166.233200,,52.427750,
166.432150,,52.477600,
166.464100,,52.527550,
167.675650,,52.577350,
167.691600,,52.627250,
168.696900,,52.677050,
168.710850,,52.726900,
168.747500,,52.776800,
169.114500,,52.826650,
169.146450,,52.876500,
170.157650,,52.926400,
170.173600,,52.976250,
171.178900,,53.026100,
171.192850,,53.076000,
171.228800,,53.125850,
171.306550,,53.175700,
171.318500,,53.225550,
172.929700,,53.275450,
172.945650,,53.325300,
173.949000,,53.375150,
173.964900,,53.425050,
174.001750,,53.474900,
174.229150,,53.524750,
174.261100,,53.574600,
175.272350,,53.624500,
175.288300,,53.674350,
176.291600,,53.724200,
176.305550,,53.774100,
176.342450,,53.823950,
176.382350,,53.873800,
176.392300,,53.923700,
177.403100,,53.973550,
177.419250,,54.023400,
178.190950,,54.073250,
178.344550,,54.123150,
179.052700,,54.172600,
179.208200,,54.222450,
179.234150,,54.272350,
179.387750,,54.322200,
179.449550,,54.372050,
179.603200,,54.421900,
180.608400,,54.471800,
180.622350,,54.521650,
180.658250,,54.571500,
180.716100,,54.621400,
180.728050,,54.671250,
181.941800,,54.721100,
181.957750,,54.770000,
182.755600,,54.819850,
182.909150,,54.869700,
183.914450,,54.919600,
183.928400,,54.969450,
183.963850,,55.019300,
184.266000,,55.069150,
184.297900,,55.119000,
185.610350,,55.168900,
185.627300,,55.218750,
186.287500,,55.268600,
186.441300,,55.318500,
187.446400,,55.368350,
187.460300,,55.418200,
187.498200,,55.468100,
187.789450,,55.517950,
187.821350,,55.567800,
189.233900,,55.617700,
189.249850,,55.667550,
190.171350,,55.717400,
190.324950,,55.767250,
191.330200,,55.817100,
191.344200,,55.867000,
191.382100,,55.916850,
191.694850,,55.966700,
191.726300,,56.016600,
192.737000,,56.066500,
192.754950,,56.115300,
193.353350,,56.165200,
193.506900,,56.215050,
193.624600,,56.263900,
193.778200,,56.313800,
193.945750,,56.363650,
194.099350,,56.413550,
195.094600,,56.463350,
195.248200,,56.513250,
195.363900,,56.563100,
195.517450,,56.612950,
196.522750,,56.661900,
196.536700,,56.711750,
196.574600,,56.761650,
196.867800,,56.811450,
196.899700,,56.861050,
198.210150,,56.910900,
198.226100,,56.960800,
199.046900,,57.010650,
199.202450,,57.060500,
200.205750,,57.110400,
200.219700,,57.160250,
200.257600,,57.210100,
200.370300,,57.260000,
200.402200,,57.309850,
201.813500,,57.359700,
201.829500,,57.409550,
202.832750,,57.459450,
202.848750,,57.509300,
202.884600,,57.559150,
203.189350,,57.609000,
203.223250,,57.658900,
204.834000,,57.708750,
204.850000,,57.758600,
205.717600,,57.808500,
205.871250,,57.858350,
206.874450,,57.908200,
206.888450,,57.958050,
206.925350,,58.007950,
207.232500,,58.057800,
207.264400,,58.107700,
208.476150,,58.157550,
208.492100,,58.207400,
209.495400,,58.257250,
209.509350,,58.307150,
209.546250,,58.357000,
209.598100,,58.406850,
209.630000,,58.456700,
210.940050,,58.506600,
210.956000,,58.556450,
211.648150,,58.606300,
211.801700,,58.656200,
212.810000,,58.706050,
212.824000,,58.755900,
212.861400,,58.805800,
212.901300,,58.855650,
212.933200,,58.905500,
214.546000,,58.955350,
214.562000,,59.005300,
215.567250,,59.055100,
215.581250,,59.104950,
215.617100,,59.153850,
215.874400,,59.203700,
215.906300,,59.253550,
217.118000,,59.303450,
217.134000,,59.353300,
218.137250,,59.403150,
218.151200,,59.453050,
218.188100,,59.502900,
218.616550,,59.552750,
218.628500,,59.602600,
220.038650,,59.652500,
220.054650,,59.702350,
221.060900,,59.752200,
221.074900,,59.802100,
221.109800,,59.851950,
221.154700,,59.901850,
221.186550,,59.951700,
222.199050,,60.001550,
222.215000,,60.051400,
223.219250,,60.101250,
223.233200,,60.151150,
223.269150,,60.201000,
223.586250,,60.250850,
223.618150,,60.300750,
224.928600,,60.349600,
224.944600,,60.399450,
225.323550,,60.449300,
225.480900,,60.499250,
226.469400,,60.549050,
226.623000,,60.598900,
226.664900,,60.648800,
226.818450,,60.698650,
226.888300,,60.748500,
227.041850,,60.798400,
227.129650,,60.848250,
227.285250,,60.898100,
228.162850,,60.948000,
228.316400,,60.997850,
228.386200,,61.047700,
228.541800,,61.097550,
229.549050,,61.147450,
229.563050,,61.197300,
229.598950,,61.247150,
229.793750,,61.297000,
229.825650,,61.346900,
231.038400,,61.396750,
231.052400,,61.446600,
231.367500,,61.496500,
231.521100,,61.546350,
232.526400,,61.596200,
232.540300,,61.646100,
232.578200,,61.695950,
232.875400,,61.745800,
232.907300,,61.795650,
233.919550,,61.845550,
233.935550,,61.895400,
234.940800,,61.945250,
234.954750,,61.995150,
234.991650,,62.045000,
235.294850,,62.094850,
235.328750,,62.144750,
236.740500,,62.194600,
236.756450,,62.244450,
237.326900,,62.294300,
237.480450,,62.344200,
237.538300,,62.394050,
237.693400,,62.443900,
238.536650,,62.493800,
238.692200,,62.543650,
238.789900,,62.593500,
238.943550,,62.643350,
239.897000,,62.693250,
240.052500,,62.743100,
240.090400,,62.792950,
240.244000,,62.842850,
240.397600,,62.892700,
240.551150,,62.942550,
241.556400,,62.992450,
241.570400,,63.042300,
241.607300,,63.092200,
241.895050,,63.142000,
241.926950,,63.191900,
243.537950,,63.241750,
243.553900,,63.291600,
244.395650,,63.341500,
244.551200,,63.391350,
245.557450,,63.441200,
245.571400,,63.491100,
245.608350,,63.540950,
245.668150,,63.590800,
245.700150,,63.640700,
247.010150,,63.690550,
247.026100,,63.740400,
248.031350,,63.790300,
248.045300,,63.840150,
248.083200,,63.890000,
248.145050,,63.939850,
248.176950,,63.989700,
249.789200,,64.039600,
249.805150,,64.089450,
250.710700,,64.139300,
250.864250,,64.189200,
251.004950,,64.239050,
251.158450,,64.288900,
252.163750,,64.338750,
252.177700,,64.388650,
252.215600,,64.438500,
252.456950,,64.488400,
252.488900,,64.538250,
253.899650,,64.588100,
253.915600,,64.637950,
254.920850,,64.687850,
254.934800,,64.737700,
254.970700,,64.787550,
255.277000,,64.837450,
255.310800,,64.887300,
256.521950,,64.937150,
256.537900,,64.987000,
257.541200,,65.036900,
257.555150,,65.086750,
257.591050,,65.136600,
257.886250,,65.186500,
257.918150,,65.235900,
258.929450,,65.285750,
258.945400,,65.335650,
259.953650,,65.385500,
259.967600,,65.435350,
260.004500,,65.485250,
260.251400,,65.535100,
260.283300,,65.584950,
261.896200,,65.634800,
261.912150,,65.684650,
262.915400,,65.734550,
262.929350,,65.784400,
262.967300,,65.834300,
263.230600,,65.884150,
263.262500,,65.934000,
264.674050,,65.983850,
264.690050,,66.033700,
265.439950,,66.083600,
265.593550,,66.133450,
266.598850,,66.183350,
266.612800,,66.233200,
266.648700,,66.283050,
266.771900,,66.332900,
266.803800,,66.382800,
267.814250,,66.432650,
267.830200,,66.482500,
268.835500,,66.532400,
268.849450,,66.582250,
268.885350,,66.632100,
269.464350,,66.682000,
269.476350,,66.731850,
270.689050,,66.781700,
270.705050,,66.831550,
271.123850,,66.881450,
271.279450,,66.931300,
272.282750,,66.981150,
272.296700,,67.031050,
272.333600,,67.080900,
272.415400,,67.130750,
272.427350,,67.180600,
273.739750,,67.230500,
273.755800,,67.280350,
274.084850,,67.330200,
274.240450,,67.380100,
274.306250,,67.429950,
274.459800,,67.479800,
275.465100,,67.529650,
275.479050,,67.579550,
275.516950,,67.629400,
275.895900,,67.679300,
275.929850,,67.728150,
276.940950,,67.777500,
276.957050,,67.826400,
277.541350,,67.876250,
277.696950,,67.926150,
278.701150,,67.976100,
278.715150,,68.025850,
278.752050,,68.075700,
279.109050,,68.125600,
279.141000,,68.175450,
280.351700,,68.225300,
280.367650,,68.275200,
281.065750,,68.325050,
281.221350,,68.374900,
282.226650,,68.424750,
282.242550,,68.474650,
282.278450,,68.524500,
282.665450,,68.574350,
282.679400,,68.624200,
284.091550,,68.674100,
284.115500,,68.723950,
284.185300,,68.773850,
284.368800,,68.823700,
285.376050,,68.873550,
285.390050,,68.923550,
285.427900,,68.973300,
285.888650,,69.023200,
285.922600,,69.073000,
286.934550,,69.122900,
286.950550,,69.172750,
287.954800,,69.222600,
287.968750,,69.272500,
288.006650,,69.322350,
288.264050,,69.372200,
288.275950,,69.422100,
289.588350,,69.471950,
289.604350,,69.521800,
290.508850,,69.571750,
290.692350,,69.621550,
291.697650,,69.670400,
291.711600,,69.720250,
291.748500,,69.770100,
292.019300,,69.820000,
292.031300,,69.869850,
293.642450,,69.919750,
293.658500,,69.969550,
294.390450,,70.019450,
294.573950,,70.069300,
295.582200,,70.119150,
295.596200,,70.169050,
295.634100,,70.218900,
296.018500,,70.268750,
296.030400,,70.318650,
297.241150,,70.368500,
297.259100,,70.418350,
297.322950,,70.468250,
297.506450,,70.518100,
297.683950,,70.567950,
297.869500,,70.617800,
298.441900,,70.666700,
298.627400,,70.716550,
298.864750,,70.766450,
299.048250,,70.816300,
300.053550,,70.866150,
300.067450,,70.916000,
300.104350,,70.965900,
300.359700,,71.015750,
300.391600,,71.065600,
301.801800,,71.115500,
301.817750,,71.164900,
302.821050,,71.214750,
302.834950,,71.264700,
302.872850,,71.314550,
303.166100,,71.364400,
303.198000,,71.414250,
304.208300,,71.464100,
304.224350,,71.514000,
305.227750,,71.563850,
305.243500,,71.613750,
305.281400,,71.663600,
305.754100,,71.713450,
305.766150,,71.763300,
307.176250,,71.813200,
307.192200,,71.863050,
308.197500,,71.912900,
308.211550,,71.962800,
308.249350,,72.012650,
308.288250,,72.062500,
308.300200,,72.112350,
309.512950,,72.162300,
309.528900,,72.212100,
309.959700,,72.261950,
310.143250,,72.311850,
311.148500,,72.361750,
311.162450,,72.411550,
311.198350,,72.461400,
311.464750,,72.511300,
311.476850,,72.561150,
312.789200,,72.611000,
312.805200,,72.660900,
313.808450,,72.710750,
313.822450,,72.760600,
313.859300,,72.810500,
314.204350,,72.860350,
314.216300,,72.910250,
315.827500,,72.960100,
315.843450,,73.010000,
316.846750,,73.059800,
316.862700,,73.109700,
316.898600,,73.159550,
318.753550,,73.209400,
318.765550,,73.259300,
320.078000,,73.309150,
320.093950,,73.359000,
321.097250,,73.408850,
321.113150,,73.458700,
321.149050,,73.508600,
321.603700,,73.558450,
321.637600,,73.608300,
322.648850,,73.658200,
322.664850,,73.708100,
323.673050,,73.757900,
323.687050,,73.807800,
323.725000,,73.857650,
323.984250,,73.907500,
324.014150,,73.957400,
325.425650,,74.007250,
325.441650,,74.057100,
325.477500,,74.107000,
325.661000,,74.156900,
325.738800,,74.206700,
325.922250,,74.256550,
326.927550,,74.306450,
326.941500,,74.356300,
326.981400,,74.406150,
327.298550,,74.456050,
327.310550,,74.505900,
328.722350,,74.555750,
328.738300,,74.605600,
329.743600,,74.655500,
329.757550,,74.705350,
329.794500,,74.755200,
330.105600,,74.805050,
330.115550,,74.854950,
331.428000,,74.904800,
331.444050,,74.954650,
332.448250,,75.004550,
332.462300,,75.054400,
332.499100,,75.104250,
332.828200,,75.154150,
332.838200,,75.204000,
334.048500,,75.253850,
334.064450,,75.303700,
334.255950,,75.353550,
334.439450,,75.403450,
335.444700,,75.453300,
335.458650,,75.503200,
335.494550,,75.553050,
336.189350,,75.602900,
336.201300,,75.652750,
337.812950,,75.702650,
337.828900,,75.752500,
338.834150,,75.802250,
338.848100,,75.851200,
338.885050,,75.901100,
339.584050,,75.950950,
339.596000,,76.000850,
340.806750,,76.050700,
340.822650,,76.100550,
341.826950,,76.150400,
341.840900,,76.200300,
341.877800,,76.250150,
343.717800,,76.300000,
343.749750,,76.349900,
344.761000,,76.399750,
344.777150,,76.449650,
345.782200,,76.499500,
345.796200,,76.549350,
345.833100,,76.599200,
346.091950,,76.649050,
346.103900,,76.698950,
347.416350,,76.748800,
347.432300,,76.798650,
348.437600,,76.848500,
348.451550,,76.898400,
348.488450,,76.948250,
348.900950,,76.998100,
348.910900,,77.048000,
350.521550,,77.097850,
350.537500,,77.147700,
351.135900,,77.197600,
351.319450,,77.247450,
351.353300,,77.297300,
351.536800,,77.347150,
351.564750,,77.397050,
351.748250,,77.446900,
351.796150,,77.496750,
351.979600,,77.546650,
352.027450,,77.596500,
352.211000,,77.646350,
352.278800,,77.696250,
352.464300,,77.746100,
352.540100,,77.795950,
352.723600,,77.845850,
352.853250,,77.895750,
353.038750,,77.945550,
353.639100,,77.995400,
353.824600,,78.045300,
353.892450,,78.095150,
354.075900,,78.145000,
354.185650,,78.194900,
354.369100,,78.244750,
355.374400,,78.294650,
355.388400,,78.344500,
355.425250,,78.394350,
355.856100,,78.444200,
355.886000,,78.494050,
357.297750,,78.543950,
357.313650,,78.593800,
358.318950,,78.643650,
358.332900,,78.693550,
358.368800,,78.743400,
358.763250,,78.793250,
358.793150,,78.843100,
359.804450,,78.893000,
359.820400,,78.942850,
359.874250,,78.992750,
360.057750,,79.042550,
361.061200,,79.092450,
361.077000,,79.142300,
361.113900,,79.192150,
361.727200,,79.242050,
361.737200,,79.291900,
363.048650,,79.341750,
363.064600,,79.390650,
364.069850,,79.440500,
364.083850,,79.490450,
364.120700,,79.540250,
366.923150,,79.590100,
366.953100,,79.639950,
368.164850,,79.689850,
368.184300,,79.739700,
369.189100,,79.789550,
369.203050,,79.839400,
369.240950,,79.889300,
369.634450,,79.939150,
369.663900,,79.989050,
371.275150,,80.038850,
371.291150,,80.088750,
372.296350,,80.139600,
372.310300,,80.189500,
372.346200,,80.239350,
372.753100,,80.289200,
372.782100,,80.339100,
374.093150,,80.388900,
374.109150,,80.438800,
374.665600,,80.488650,
374.849150,,80.538500,
375.854450,,80.588400,
375.868350,,80.638250,
375.906250,,80.688100,
376.197450,,80.738000,
376.229350,,80.787850,
377.640050,,80.837250,
377.656050,,80.887100,
378.180600,,80.936950,
378.366100,,80.986850,
379.371350,,81.036700,
379.385300,,81.086550,
379.423200,,81.136400,
379.533900,,81.186300,
379.563800,,81.236150,
381.175450,,81.286000,
381.191400,,81.335900,
381.833650,,81.385750,
382.017150,,81.435600,
383.026450,,81.485500,
383.040400,,81.535350,
383.076300,,81.585200,
383.245850,,81.635050,
383.275750,,81.684950,
384.286700,,81.734800,
384.302650,,81.784650,
385.212200,,81.834550,
385.395750,,81.884400,
385.852450,,81.934250,
386.035950,,81.984150,
387.041200,,82.034000,
387.055200,,82.083850,
387.091650,,82.133750,
387.370900,,82.183600,
387.400850,,82.233450,
388.611550,,82.283300,
388.627500,,82.333200,
389.582900,,82.383050,
389.766400,,82.432900,
390.771700,,82.482800,
390.785650,,82.531700,
390.822550,,82.581500,
390.944250,,82.631350,
390.974200,,82.681250,
392.384300,,82.731100,
392.400350,,82.780550,
393.405600,,82.830400,
393.419500,,82.879850,
393.455400,,82.929700,
393.561150,,82.979550,
393.593050,,83.029400,
395.203700,,83.079300,
395.219650,,83.129150,
396.171050,,83.178750,
396.354550,,83.228600,
396.522100,,83.278500,
396.705600,,83.328350,
396.843250,,83.378200,
397.028750,,83.428100,
397.659000,,83.477950,
397.844500,,83.527800,
397.962200,,83.577700,
