bin_centers,left_p_high,right_p_high
-0.49,1.0385756676557865,0.14836795252225518
-0.47,0.0,0.14836795252225518
-0.45,0.14836795252225518,0.14836795252225518
-0.43,0.14836795252225518,0.14836795252225518
-0.41,0.29673590504451036,0.0
-0.39,0.44510385756676557,0.0
-0.37,0.7418397626112759,0.44510385756676557
-0.35,0.44510385756676557,0.14836795252225518
-0.33,0.7418397626112759,0.14836795252225518
-0.31,0.44510385756676557,0.44510385756676557
-0.29,0.44510385756676557,0.29673590504451036
-0.27,0.29673590504451036,0.44510385756676557
-0.25,0.5934718100890207,0.14836795252225518
-0.23,0.5934718100890207,0.29673590504451036
-0.21,0.8902077151335311,0.29673590504451036
-0.19,0.29673590504451036,0.14836795252225518
-0.17,0.5934718100890207,0.0
-0.15,0.44510385756676557,0.29673590504451036
-0.13,0.7418397626112759,0.0
-0.11,0.7418397626112759,0.29673590504451036
-0.09,1.0385756676557865,0.29673590504451036
-0.07,0.44510385756676557,0.7418397626112759
-0.05,1.4836795252225519,0.44510385756676557
-0.03,1.0385756676557865,0.44510385756676557
-0.01,1.0385756676557865,0.44510385756676557
0.01,1.3353115727002967,0.14836795252225518
0.03,0.7418397626112759,0.29673590504451036
0.05,1.3353115727002967,0.44510385756676557
0.07,0.8902077151335311,0.14836795252225518
0.09,2.2255192878338277,2.6706231454005933
0.11,3.4124629080118694,3.4124629080118694
0.13,3.264094955489614,2.522255192878338
0.15,2.373887240356083,2.522255192878338
0.17,0.8902077151335311,1.1869436201780414
0.19,2.373887240356083,1.1869436201780414
0.21,1.1869436201780414,1.1869436201780414
0.23,1.1869436201780414,1.632047477744807
0.25,1.7804154302670623,1.632047477744807
0.27,1.0385756676557865,1.3353115727002967
0.29,1.4836795252225519,1.0385756676557865
0.31,1.7804154302670623,1.3353115727002967
0.33,1.4836795252225519,1.3353115727002967
0.35,0.29673590504451036,0.44510385756676557
0.37,0.7418397626112759,0.5934718100890207
0.39,0.8902077151335311,1.1869436201780414
0.41,0.7418397626112759,0.8902077151335311
0.43,0.44510385756676557,0.8902077151335311
0.45,0.5934718100890207,0.44510385756676557
0.47,0.5934718100890207,0.44510385756676557
0.49,0.5934718100890207,0.5934718100890207
0.51,0.44510385756676557,0.5934718100890207
0.53,0.29673590504451036,0.14836795252225518
0.55,0.29673590504451036,0.5934718100890207
0.57,0.0,0.29673590504451036
0.59,0.29673590504451036,0.29673590504451036
0.61,0.5934718100890207,0.14836795252225518
0.63,0.44510385756676557,0.29673590504451036
0.65,0.44510385756676557,0.14836795252225518
0.67,0.14836795252225518,0.14836795252225518
0.69,0.44510385756676557,0.5934718100890207
0.71,0.7418397626112759,0.44510385756676557
0.73,0.44510385756676557,0.29673590504451036
0.75,0.44510385756676557,0.5934718100890207
0.77,0.7418397626112759,0.44510385756676557
0.79,0.14836795252225518,0.44510385756676557
0.81,0.5934718100890207,0.29673590504451036
0.83,0.5934718100890207,0.29673590504451036
0.85,0.44510385756676557,0.0
0.87,0.29673590504451036,0.0
0.89,0.5934718100890207,0.14836795252225518
0.91,0.7418397626112759,0.5934718100890207
0.93,0.5934718100890207,0.14836795252225518
0.95,0.44510385756676557,0.14836795252225518
0.97,0.14836795252225518,0.14836795252225518
0.99,0.14836795252225518,0.44510385756676557
1.01,0.7418397626112759,0.14836795252225518
1.03,0.44510385756676557,0.0
1.05,0.29673590504451036,0.44510385756676557
1.07,0.44510385756676557,0.14836795252225518
1.09,0.7418397626112759,0.29673590504451036
1.11,0.14836795252225518,0.14836795252225518
1.13,0.44510385756676557,0.44510385756676557
1.15,0.8902077151335311,0.29673590504451036
1.17,0.5934718100890207,0.29673590504451036
1.19,0.8902077151335311,0.44510385756676557
1.21,0.29673590504451036,0.14836795252225518
1.23,0.14836795252225518,0.44510385756676557
1.25,0.29673590504451036,0.29673590504451036
1.27,0.8902077151335311,0.29673590504451036
1.29,0.29673590504451036,0.14836795252225518
1.31,0.8902077151335311,0.29673590504451036
1.33,0.29673590504451036,0.0
1.35,0.44510385756676557,0.29673590504451036
1.37,0.5934718100890207,0.5934718100890207
1.39,0.14836795252225518,0.0
1.41,0.44510385756676557,0.5934718100890207
1.43,0.14836795252225518,0.14836795252225518
1.45,0.44510385756676557,0.44510385756676557
1.47,0.44510385756676557,0.44510385756676557
