trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,chosen_high_reward_side,high_reward_proportion,reward_proportion
1,0.85,0.2,1.0,0.6363636363636364,0.2727272727272727,0.0,0.0,0.0,False,0.6363636363636364,0.5454545454545454
2,0.85,0.2,,0.6666666666666666,0.25,0.0,0.0,0.0,False,0.6666666666666666,0.5833333333333334
3,0.85,0.2,-1.0,0.6923076923076923,0.23076923076923078,0.0,0.0,0.0,True,0.6923076923076923,0.6153846153846154
4,0.85,0.2,-1.0,0.7142857142857143,0.21428571428571427,1.0,0.0,1.0,True,0.7142857142857143,0.6428571428571429
5,0.85,0.2,-1.0,0.7333333333333333,0.2,1.0,0.0,1.0,True,0.7333333333333333,0.6666666666666666
6,0.85,0.2,1.0,0.6875,0.25,1.0,0.0,1.0,False,0.6875,0.6875
7,0.85,0.2,1.0,0.6470588235294118,0.29411764705882354,1.0,0.0,1.0,False,0.6470588235294118,0.7058823529411765
8,0.85,0.2,-1.0,0.6111111111111112,0.3333333333333333,1.0,0.25,0.75,True,0.6111111111111112,0.6666666666666666
9,0.85,0.2,-1.0,0.5789473684210527,0.3684210526315789,1.0,0.25,0.75,True,0.5789473684210527,0.631578947368421
10,0.85,0.2,-1.0,0.55,0.4,0.8,0.25,0.55,True,0.55,0.6
11,0.85,0.2,-1.0,0.5238095238095238,0.42857142857142855,0.8333333333333334,0.25,0.5833333333333334,True,0.5238095238095238,0.5714285714285714
12,0.85,0.2,-1.0,0.5238095238095238,0.42857142857142855,0.8571428571428571,0.25,0.6071428571428571,True,0.5238095238095238,0.5714285714285714
13,0.85,0.2,-1.0,0.5238095238095238,0.47619047619047616,0.875,0.25,0.625,True,0.5238095238095238,0.6190476190476191
14,0.85,0.2,-1.0,0.47619047619047616,0.5238095238095238,0.8888888888888888,0.25,0.6388888888888888,True,0.47619047619047616,0.5714285714285714
15,0.85,0.2,-1.0,0.42857142857142855,0.5714285714285714,0.9,0.25,0.65,True,0.42857142857142855,0.5714285714285714
16,0.85,0.2,1.0,0.38095238095238093,0.6190476190476191,0.9,0.25,0.65,False,0.38095238095238093,0.5238095238095238
17,0.85,0.2,1.0,0.38095238095238093,0.5714285714285714,0.9,0.4,0.5,False,0.38095238095238093,0.5238095238095238
18,0.85,0.2,1.0,0.38095238095238093,0.5714285714285714,0.9,0.3333333333333333,0.5666666666666667,False,0.38095238095238093,0.5238095238095238
19,0.85,0.2,1.0,0.3333333333333333,0.6190476190476191,0.9,0.2857142857142857,0.6142857142857143,False,0.3333333333333333,0.47619047619047616
20,0.85,0.2,1.0,0.2857142857142857,0.6666666666666666,0.9,0.25,0.65,False,0.2857142857142857,0.47619047619047616
21,0.85,0.2,1.0,0.2857142857142857,0.6666666666666666,0.9,0.2222222222222222,0.6777777777777778,False,0.2857142857142857,0.47619047619047616
22,0.85,0.2,1.0,0.23809523809523808,0.7142857142857143,0.9,0.2,0.7,False,0.23809523809523808,0.42857142857142855
23,0.85,0.2,1.0,0.23809523809523808,0.7142857142857143,0.9,0.3,0.6000000000000001,False,0.23809523809523808,0.42857142857142855
24,0.85,0.2,1.0,0.23809523809523808,0.7142857142857143,0.9,0.3,0.6000000000000001,False,0.23809523809523808,0.42857142857142855
25,0.85,0.2,1.0,0.23809523809523808,0.7142857142857143,0.9,0.4,0.5,False,0.23809523809523808,0.42857142857142855
26,0.85,0.2,1.0,0.23809523809523808,0.7142857142857143,0.9,0.3,0.6000000000000001,False,0.23809523809523808,0.42857142857142855
27,0.85,0.2,,0.2857142857142857,0.6666666666666666,0.9,0.2,0.7,False,0.2857142857142857,0.42857142857142855
28,0.85,0.2,1.0,0.2857142857142857,0.6666666666666666,0.9,0.2,0.7,False,0.2857142857142857,0.38095238095238093
29,0.85,0.2,1.0,0.3333333333333333,0.6190476190476191,0.9,0.2,0.7,False,0.3333333333333333,0.38095238095238093
30,0.85,0.2,1.0,0.38095238095238093,0.5714285714285714,0.9,0.2,0.7,False,0.38095238095238093,0.42857142857142855
31,0.85,0.2,-1.0,0.42857142857142855,0.5238095238095238,0.9,0.2,0.7,True,0.42857142857142855,0.42857142857142855
32,0.85,0.2,1.0,0.47619047619047616,0.47619047619047616,0.9,0.2,0.7,False,0.47619047619047616,0.42857142857142855
33,0.85,0.2,-1.0,0.5238095238095238,0.42857142857142855,0.9,0.2,0.7,True,0.5238095238095238,0.47619047619047616
34,0.85,0.2,-1.0,0.5714285714285714,0.38095238095238093,0.9,0.2,0.7,True,0.5714285714285714,0.47619047619047616
35,0.85,0.2,-1.0,0.6190476190476191,0.3333333333333333,0.9,0.2,0.7,True,0.6190476190476191,0.5238095238095238
36,0.85,0.2,-1.0,0.6666666666666666,0.2857142857142857,1.0,0.2,0.8,True,0.6666666666666666,0.47619047619047616
37,0.85,0.2,-1.0,0.7142857142857143,0.23809523809523808,1.0,0.2,0.8,True,0.7142857142857143,0.5238095238095238
38,0.85,0.2,1.0,0.7619047619047619,0.23809523809523808,1.0,0.2,0.8,False,0.7619047619047619,0.5714285714285714
39,0.85,0.2,-1.0,0.8095238095238095,0.19047619047619047,1.0,0.1,0.9,True,0.8095238095238095,0.6190476190476191
40,0.85,0.2,-1.0,0.8571428571428571,0.14285714285714285,0.9,0.1,0.8,True,0.8571428571428571,0.6666666666666666
41,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.1,0.8,True,0.9047619047619048,0.6666666666666666
42,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.6666666666666666
43,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.1,0.6,True,0.9523809523809523,0.7142857142857143
44,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.1,0.6,True,0.9523809523809523,0.7142857142857143
45,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.1,0.6,True,0.9523809523809523,0.7142857142857143
46,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.7,0.1,0.6,True,0.9523809523809523,0.7142857142857143
47,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.6,0.1,0.5,True,0.9523809523809523,0.7142857142857143
48,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.6,0.1,0.5,True,0.9523809523809523,0.7142857142857143
49,0.85,0.2,-1.0,0.9523809523809523,0.047619047619047616,0.6,0.1,0.5,True,0.9523809523809523,0.7142857142857143
50,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.1,0.6,True,0.9047619047619048,0.7142857142857143
51,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.1,0.6,True,0.9047619047619048,0.7142857142857143
52,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.7,0.1,0.6,True,0.9047619047619048,0.7619047619047619
53,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.8095238095238095
54,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.8095238095238095
55,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.8095238095238095
56,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.8,0.1,0.7000000000000001,True,0.9047619047619048,0.8095238095238095
57,0.85,0.2,-1.0,0.9047619047619048,0.09523809523809523,0.9,0.1,0.8,True,0.9047619047619048,0.8571428571428571
