,firing_rate,sem_firing_rate,advantageous_proportion,sem_advantageous_proportion
0,0.5812216521297433,0.011008476457110087,0.8395061728395058,0.02674017652896835
1,0.5785930396319656,0.01088112326823142,0.8364197530864198,0.025511268742657453
2,0.5711920053686188,0.01092569332651392,0.8172839506172836,0.02640879681999205
3,0.5735585424526644,0.010936402358822948,0.7802469135802467,0.031736788681095446
4,0.5827574915191791,0.010872331356164756,0.7432098765432097,0.03530684065183858
5,0.5757642265644678,0.010916133771684704,0.7061728395061728,0.03762276269171454
6,0.577336441065116,0.010943653239016264,0.6592592592592591,0.04018619132751834
7,0.5741454963932053,0.010883068462701088,0.6222222222222222,0.04175687537108089
8,0.5713393452673565,0.0108879648801658,0.597530864197531,0.042551431484974034
9,0.5713057490647435,0.010934246554918984,0.5703703703703704,0.04320791686718252
10,0.5675862294999728,0.010952081624719601,0.5358024691358027,0.04245580619034803
11,0.5743754135933801,0.010983633559610977,0.5160493827160495,0.04217298371196675
12,0.5747732681964165,0.010980147172876438,0.4987654320987655,0.04235463415947291
13,0.5800282039890485,0.010909406895003311,0.4790123456790124,0.0417099838623298
14,0.5694035396556338,0.01084025186826763,0.4641975308641976,0.04158528465623356
15,0.5716430694759241,0.011037418851548643,0.4469135802469137,0.04015996135229682
16,0.5775289930517473,0.010827356227930143,0.4172839506172839,0.040148714688453685
17,0.5723582326364369,0.011023199317965993,0.3925925925925925,0.040186191327518356
18,0.5744144639493683,0.010859336528332058,0.37962962962962965,0.04097182664967051
19,0.5663553537111298,0.010975876193823363,0.3539094650205761,0.04329628006864494
