,firing_rate,sem_firing_rate,advantageous_proportion,sem_advantageous_proportion
0,0.5942513630781304,0.008686650384842513,0.8395061728395058,0.02674017652896835
1,0.5896296546629906,0.008558263277024216,0.8364197530864198,0.025511268742657453
2,0.5820585976978334,0.008597587439388005,0.8172839506172836,0.02640879681999205
3,0.584302811084162,0.00863861315867917,0.7802469135802467,0.031736788681095446
4,0.5791307643248662,0.008701570489456857,0.7432098765432097,0.03530684065183858
5,0.5840126539407898,0.00866738129434679,0.7061728395061728,0.03762276269171454
6,0.586524298979131,0.00862847757668148,0.6592592592592591,0.04018619132751834
7,0.5882167208146134,0.008657581980121256,0.6222222222222222,0.04175687537108089
8,0.5865663406517073,0.008507025200400866,0.597530864197531,0.042551431484974034
9,0.5863971425085874,0.008586759425368382,0.5703703703703704,0.04320791686718252
10,0.5780937548835908,0.008635457309663756,0.5358024691358027,0.04245580619034803
11,0.575099364912916,0.00867964141935816,0.5160493827160495,0.04217298371196675
12,0.5695035551699504,0.008448046765024253,0.4987654320987655,0.04235463415947291
13,0.5722052690087052,0.008526793388400396,0.4790123456790124,0.0417099838623298
14,0.5730794775395887,0.008522538751640966,0.4641975308641976,0.04158528465623356
15,0.5794952791370828,0.008663304741072707,0.4469135802469137,0.04015996135229682
16,0.5729572421428919,0.00870785525666269,0.4172839506172839,0.040148714688453685
17,0.5707192678382373,0.008686907782147996,0.3925925925925925,0.040186191327518356
18,0.5712306153750046,0.008766710451752568,0.37962962962962965,0.04097182664967051
19,0.5749502540232423,0.00881348671446061,0.3539094650205761,0.04329628006864494
