trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,chosen_high_reward_side,high_reward_proportion,reward_proportion
1,0.05,0.85,-1.0,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,False,0.2727272727272727,0.2727272727272727
2,0.05,0.85,-1.0,0.25,0.25,0.0,0.0,0.0,False,0.25,0.25
3,0.05,0.85,,0.23076923076923078,0.23076923076923078,0.0,0.0,0.0,False,0.23076923076923078,0.23076923076923078
4,0.05,0.85,1.0,0.2857142857142857,0.21428571428571427,0.0,1.0,-1.0,True,0.21428571428571427,0.21428571428571427
5,0.05,0.85,,0.26666666666666666,0.26666666666666666,0.0,1.0,-1.0,False,0.26666666666666666,0.2
6,0.05,0.85,,0.3125,0.25,0.0,1.0,-1.0,False,0.25,0.1875
7,0.05,0.85,,0.29411764705882354,0.29411764705882354,0.0,0.75,-0.75,False,0.29411764705882354,0.23529411764705882
8,0.05,0.85,,0.3333333333333333,0.2777777777777778,0.0,0.8,-0.8,False,0.2777777777777778,0.2222222222222222
9,0.05,0.85,1.0,0.3684210526315789,0.2631578947368421,0.0,0.8333333333333334,-0.8333333333333334,True,0.2631578947368421,0.21052631578947367
10,0.05,0.85,1.0,0.4,0.25,0.0,0.8571428571428571,-0.8571428571428571,True,0.25,0.2
11,0.05,0.85,,0.38095238095238093,0.23809523809523808,0.0,0.875,-0.875,False,0.23809523809523808,0.19047619047619047
12,0.05,0.85,-1.0,0.3333333333333333,0.23809523809523808,0.0,0.8888888888888888,-0.8888888888888888,False,0.23809523809523808,0.19047619047619047
13,0.05,0.85,,0.3333333333333333,0.23809523809523808,0.0,0.8888888888888888,-0.8888888888888888,False,0.23809523809523808,0.19047619047619047
14,0.05,0.85,-1.0,0.3333333333333333,0.23809523809523808,0.0,0.9,-0.9,False,0.23809523809523808,0.19047619047619047
15,0.05,0.85,1.0,0.3333333333333333,0.19047619047619047,0.0,0.9,-0.9,True,0.19047619047619047,0.14285714285714285
16,0.05,0.85,-1.0,0.38095238095238093,0.19047619047619047,0.0,0.9,-0.9,False,0.19047619047619047,0.14285714285714285
