trial_index,leftP,rightP,responses,left_response_proportion,right_response_proportion,perceived_left,perceived_right,prpd,relative_values,chosen_high_reward_side,high_reward_proportion,reward_proportion
1,0.2,0.85,-1.0,0.7272727272727273,0.2727272727272727,0.0,0.0,0.0,0.0,False,0.2727272727272727,0.45454545454545453
2,0.2,0.85,-1.0,0.75,0.25,0.0,0.0,0.0,-0.17257728791153,False,0.25,0.5
3,0.2,0.85,-1.0,0.7692307692307693,0.23076923076923078,0.5,0.0,-0.5,0.05956584060579817,False,0.23076923076923078,0.46153846153846156
4,0.2,0.85,-1.0,0.7857142857142857,0.21428571428571427,0.6666666666666666,0.0,-0.6666666666666666,0.21158370606948984,False,0.21428571428571427,0.42857142857142855
5,0.2,0.85,-1.0,0.7333333333333333,0.26666666666666666,0.5,0.0,-0.5,-0.03402266616152594,False,0.26666666666666666,0.4666666666666667
6,0.2,0.85,-1.0,0.75,0.25,0.6,0.0,-0.6,0.15029770065735515,False,0.25,0.4375
7,0.2,0.85,1.0,0.7647058823529411,0.23529411764705882,0.5,0.0,-0.5,-0.0741555263717455,True,0.23529411764705882,0.4117647058823529
8,0.2,0.85,1.0,0.7777777777777778,0.2222222222222222,0.5,1.0,0.5,-0.24673281428327543,True,0.2222222222222222,0.3888888888888889
9,0.2,0.85,-1.0,0.7894736842105263,0.21052631578947367,0.5,1.0,0.5,-0.3597442615890072,False,0.21052631578947367,0.3684210526315789
10,0.2,0.85,1.0,0.8,0.2,0.42857142857142855,1.0,0.5714285714285714,-0.5067264302507616,True,0.2,0.35
11,0.2,0.85,-1.0,0.8095238095238095,0.19047619047619047,0.42857142857142855,0.6666666666666666,0.23809523809523808,-0.23557688357547346,False,0.19047619047619047,0.3333333333333333
12,0.2,0.85,-1.0,0.8095238095238095,0.19047619047619047,0.375,0.6666666666666666,0.29166666666666663,-0.3318274841592266,False,0.19047619047619047,0.3333333333333333
13,0.2,0.85,-1.0,0.8095238095238095,0.19047619047619047,0.4444444444444444,0.6666666666666666,0.2222222222222222,-0.049702173702719676,False,0.19047619047619047,0.2857142857142857
14,0.2,0.85,-1.0,0.7619047619047619,0.23809523809523808,0.4,0.6666666666666666,0.2666666666666666,-0.2101082809288375,False,0.23809523809523808,0.2857142857142857
15,0.2,0.85,1.0,0.7619047619047619,0.23809523809523808,0.4,0.6666666666666666,0.2666666666666666,-0.31514948625589634,True,0.23809523809523808,0.2857142857142857
16,0.2,0.85,-1.0,0.7619047619047619,0.23809523809523808,0.4,0.75,0.35,-0.4827430221709922,False,0.23809523809523808,0.23809523809523808
17,0.2,0.85,-1.0,0.7619047619047619,0.23809523809523808,0.3,0.75,0.45,-0.5515287748294471,False,0.23809523809523808,0.23809523809523808
18,0.2,0.85,-1.0,0.8095238095238095,0.19047619047619047,0.2,0.75,0.55,-0.5965728102064031,False,0.19047619047619047,0.19047619047619047
19,0.2,0.85,-1.0,0.8571428571428571,0.14285714285714285,0.2,0.75,0.55,-0.6260696906594668,False,0.14285714285714285,0.14285714285714285
20,0.2,0.85,-1.0,0.8571428571428571,0.14285714285714285,0.1,0.75,0.65,-0.6453855878516499,False,0.14285714285714285,0.14285714285714285
21,0.2,0.85,-1.0,0.8571428571428571,0.14285714285714285,0.1,0.75,0.65,-0.6580345147418233,False,0.14285714285714285,0.19047619047619047
22,0.2,0.85,-1.0,0.8571428571428571,0.14285714285714285,0.1,0.75,0.65,-0.6663176066366019,False,0.14285714285714285,0.23809523809523808
23,0.2,0.85,-1.0,0.8571428571428571,0.14285714285714285,0.1,0.75,0.65,-0.6717417514619347,False,0.14285714285714285,0.19047619047619047
24,0.2,0.85,1.0,0.8095238095238095,0.19047619047619047,0.0,0.75,0.75,-0.675293727880877,True,0.19047619047619047,0.23809523809523808
25,0.2,0.85,-1.0,0.7619047619047619,0.23809523809523808,0.0,0.8,0.8,-0.7850415879965112,False,0.23809523809523808,0.2857142857142857
26,0.2,0.85,-1.0,0.7619047619047619,0.23809523809523808,0.0,0.8,0.8,-0.7873675835012399,False,0.23809523809523808,0.2857142857142857
27,0.2,0.85,-1.0,0.7142857142857143,0.2857142857142857,0.0,0.8,0.8,-0.7888907510141677,False,0.2857142857142857,0.2857142857142857
28,0.2,0.85,-1.0,0.6666666666666666,0.3333333333333333,0.0,0.8,0.8,-0.7898881902902634,False,0.3333333333333333,0.3333333333333333
29,0.2,0.85,-1.0,0.6190476190476191,0.38095238095238093,0.0,0.8,0.8,-0.7905413588361091,False,0.38095238095238093,0.38095238095238093
30,0.2,0.85,-1.0,0.5714285714285714,0.42857142857142855,0.0,0.8,0.8,-0.7909690832695724,False,0.42857142857142855,0.42857142857142855
31,0.2,0.85,1.0,0.5238095238095238,0.47619047619047616,0.0,0.8,0.8,-0.7912491766576345,True,0.47619047619047616,0.47619047619047616
32,0.2,0.85,-1.0,0.47619047619047616,0.5238095238095238,0.0,0.8333333333333334,0.8333333333333334,-0.8631170606675684,False,0.5238095238095238,0.5238095238095238
33,0.2,0.85,-1.0,0.42857142857142855,0.5714285714285714,0.1,0.8333333333333334,0.7333333333333334,-0.5181459027180232,False,0.5714285714285714,0.5714285714285714
34,0.2,0.85,1.0,0.38095238095238093,0.6190476190476191,0.1,0.8333333333333334,0.7333333333333334,-0.637397694284803,True,0.6190476190476191,0.6190476190476191
35,0.2,0.85,1.0,0.38095238095238093,0.6190476190476191,0.1,0.8571428571428571,0.7571428571428571,-0.6844600492739874,True,0.6190476190476191,0.6190476190476191
36,0.2,0.85,1.0,0.3333333333333333,0.6666666666666666,0.1,0.875,0.775,-0.7152786170896456,True,0.6666666666666666,0.6666666666666666
37,0.2,0.85,1.0,0.2857142857142857,0.7142857142857143,0.1,0.8888888888888888,0.7888888888888889,-0.735460015203416,True,0.7142857142857143,0.6666666666666666
38,0.2,0.85,1.0,0.23809523809523808,0.7619047619047619,0.1,0.8,0.7000000000000001,-0.40352113558865166,True,0.7619047619047619,0.7142857142857143
39,0.2,0.85,1.0,0.19047619047619047,0.8095238095238095,0.1,0.8,0.7000000000000001,-0.5313070549895631,True,0.8095238095238095,0.7619047619047619
40,0.2,0.85,1.0,0.14285714285714285,0.8571428571428571,0.1,0.8,0.7000000000000001,-0.6149870795834933,True,0.8571428571428571,0.8095238095238095
41,0.2,0.85,1.0,0.09523809523809523,0.9047619047619048,0.1,0.9,0.8,-0.6697845607838422,True,0.9047619047619048,0.8571428571428571
42,0.2,0.85,1.0,0.09523809523809523,0.9047619047619048,0.1,0.9,0.8,-0.7056684406043126,True,0.9047619047619048,0.8571428571428571
43,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.7291668351064629,True,0.9523809523809523,0.8571428571428571
44,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.7445546512217005,True,0.9523809523809523,0.8571428571428571
45,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.7546312921928401,True,0.9523809523809523,0.8571428571428571
46,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.7612299344238648,True,0.9523809523809523,0.8571428571428571
47,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.765551025094632,True,0.9523809523809523,0.8571428571428571
48,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.42322609572477754,True,0.9523809523809523,0.9047619047619048
49,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.5442107579682942,True,0.9523809523809523,0.8571428571428571
50,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.6234370104340536,True,0.9523809523809523,0.8571428571428571
51,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.6753179593359433,True,0.9523809523809523,0.8571428571428571
52,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.7092919613263033,True,0.9523809523809523,0.8571428571428571
53,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.7315396810706688,True,0.9523809523809523,0.8571428571428571
54,0.2,0.85,-1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.7461084985436376,False,0.9523809523809523,0.8095238095238095
55,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.8241999885760456,True,0.9523809523809523,0.8095238095238095
56,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.8337403120338882,True,0.9523809523809523,0.8095238095238095
57,0.2,0.85,1.0,0.047619047619047616,0.9523809523809523,0.1,0.9,0.8,-0.8399877491954244,True,0.9523809523809523,0.8095238095238095
