,trial_index,reward_proportion
0,1,0.0
1,2,0.5
2,3,0.6666666666666666
3,4,0.75
4,5,0.8
5,6,0.8333333333333334
6,7,0.8571428571428571
7,8,0.75
8,9,0.7777777777777778
9,10,0.8
10,11,0.7272727272727273
11,12,0.8181818181818182
12,13,0.8181818181818182
13,14,0.8181818181818182
14,15,0.7272727272727273
15,16,0.7272727272727273
16,17,0.7272727272727273
17,18,0.7272727272727273
18,19,0.7272727272727273
19,20,0.6363636363636364
20,21,0.6363636363636364
21,22,0.7272727272727273
22,23,0.7272727272727273
23,24,0.7272727272727273
24,25,0.7272727272727273
25,26,0.8181818181818182
26,27,0.8181818181818182
27,28,0.8181818181818182
28,29,0.8181818181818182
29,30,0.8181818181818182
30,31,0.9090909090909091
31,32,0.9090909090909091
32,33,0.9090909090909091
33,34,0.8181818181818182
34,35,0.8181818181818182
35,36,0.7272727272727273
36,37,0.7272727272727273
37,38,0.6363636363636364
38,39,0.6363636363636364
39,40,0.6363636363636364
40,41,0.7272727272727273
41,42,0.6363636363636364
42,43,0.6363636363636364
43,44,0.5454545454545454
44,45,0.5454545454545454
45,46,0.5454545454545454
46,47,0.6363636363636364
47,48,0.6363636363636364
48,49,0.6363636363636364
49,50,0.5454545454545454
50,51,0.5454545454545454
51,52,0.5454545454545454
52,53,0.6363636363636364
53,54,0.6363636363636364
54,55,0.7272727272727273
55,56,0.7272727272727273
56,57,0.7272727272727273
57,58,0.7272727272727273
58,59,0.6363636363636364
59,60,0.7272727272727273
60,61,0.7272727272727273
61,62,0.7272727272727273
62,63,0.7272727272727273
63,64,0.7272727272727273
64,65,0.7272727272727273
65,66,0.7272727272727273
66,67,0.8181818181818182
67,68,0.8181818181818182
68,69,0.8181818181818182
69,70,0.9090909090909091
70,71,0.9090909090909091
71,72,1.0
72,73,0.9090909090909091
73,74,0.9090909090909091
74,75,0.9090909090909091
75,76,0.8181818181818182
76,77,0.7272727272727273
77,78,0.7272727272727273
78,79,0.6363636363636364
79,80,0.5454545454545454
80,81,0.5454545454545454
81,82,0.5454545454545454
82,83,0.5454545454545454
83,84,0.6363636363636364
84,85,0.6363636363636364
85,86,0.6363636363636364
86,87,0.7272727272727273
87,88,0.8181818181818182
88,89,0.8181818181818182
89,90,0.9090909090909091
90,91,1.0
91,92,1.0
92,93,0.9090909090909091
93,94,0.9090909090909091
94,95,0.9090909090909091
95,96,0.9090909090909091
96,97,0.9090909090909091
97,98,0.9090909090909091
98,99,0.9090909090909091
99,100,0.8181818181818182
100,101,0.7272727272727273
101,102,0.7272727272727273
102,103,0.7272727272727273
103,104,0.8181818181818182
104,105,0.8181818181818182
105,106,0.7272727272727273
106,107,0.7272727272727273
107,108,0.7272727272727273
108,109,0.7272727272727273
109,110,0.7272727272727273
110,111,0.8181818181818182
111,112,0.9090909090909091
112,113,0.9090909090909091
113,114,0.9090909090909091
114,115,0.9090909090909091
115,116,0.9090909090909091
116,117,1.0
117,118,1.0
118,119,1.0
119,120,0.9090909090909091
120,121,0.9090909090909091
121,122,0.9090909090909091
122,123,0.9090909090909091
123,124,0.9090909090909091
124,125,0.8181818181818182
125,126,0.8181818181818182
126,127,0.7272727272727273
127,128,0.7272727272727273
128,129,0.7272727272727273
129,130,0.7272727272727273
130,131,0.8181818181818182
131,132,0.8181818181818182
132,133,0.8181818181818182
133,134,0.8181818181818182
134,135,0.8181818181818182
135,136,0.9090909090909091
136,137,0.9090909090909091
137,138,0.9090909090909091
138,139,0.9090909090909091
139,140,0.9090909090909091
140,141,0.9090909090909091
141,142,0.9090909090909091
142,143,0.8181818181818182
143,144,0.8181818181818182
144,145,0.8181818181818182
145,146,0.7272727272727273
146,147,0.7272727272727273
147,148,0.6363636363636364
148,149,0.7272727272727273
149,150,0.7272727272727273
150,151,0.7272727272727273
151,152,0.7272727272727273
152,153,0.7272727272727273
153,154,0.8181818181818182
154,155,0.8181818181818182
155,156,0.8181818181818182
156,157,0.8181818181818182
157,158,0.7272727272727273
158,159,0.7272727272727273
159,160,0.6363636363636364
160,161,0.6363636363636364
161,162,0.6363636363636364
162,163,0.5454545454545454
163,164,0.45454545454545453
164,165,0.36363636363636365
165,166,0.2727272727272727
166,167,0.18181818181818182
167,168,0.18181818181818182
168,169,0.18181818181818182
169,170,0.2727272727272727
170,171,0.36363636363636365
171,172,0.2727272727272727
172,173,0.18181818181818182
173,174,0.18181818181818182
174,175,0.18181818181818182
175,176,0.18181818181818182
176,177,0.2727272727272727
177,178,0.36363636363636365
178,179,0.36363636363636365
179,180,0.36363636363636365
180,181,0.2727272727272727
181,182,0.18181818181818182
182,183,0.2727272727272727
183,184,0.36363636363636365
184,185,0.36363636363636365
185,186,0.36363636363636365
186,187,0.36363636363636365
187,188,0.2727272727272727
188,189,0.18181818181818182
189,190,0.18181818181818182
190,191,0.18181818181818182
191,192,0.2727272727272727
192,193,0.36363636363636365
193,194,0.2727272727272727
194,195,0.18181818181818182
195,196,0.2727272727272727
196,197,0.2727272727272727
197,198,0.2727272727272727
198,199,0.2727272727272727
199,200,0.2727272727272727
200,201,0.2727272727272727
201,202,0.2727272727272727
202,203,0.18181818181818182
203,204,0.09090909090909091
204,205,0.09090909090909091
205,206,0.09090909090909091
206,207,0.0
207,208,0.09090909090909091
208,209,0.09090909090909091
209,210,0.09090909090909091
210,211,0.18181818181818182
211,212,0.18181818181818182
212,213,0.2727272727272727
213,214,0.2727272727272727
214,215,0.2727272727272727
215,216,0.36363636363636365
216,217,0.36363636363636365
217,218,0.36363636363636365
218,219,0.2727272727272727
