,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0420210804,str_13,pfc_29,27,0.002,143.0
1,AKED0420210804,str_13,pfc_24,28,0.0015,44.0
2,AKED0420210804,str_0,pfc_13,29,0.0025,76.0
3,AKED0420210804,str_0,pfc_13,32,0.0015,54.0
4,AKED0420210804,str_9,pfc_20,29,0.002,71.0
5,AKED0420210804,str_5,pfc_54,29,0.002,109.0
6,AKED0420210804,str_5,pfc_68,22,0.0015,67.0
7,AKED0420210804,str_4,pfc_54,26,0.0015,23.0
8,AKED0420210804,str_12,pfc_11,32,0.003,86.0
9,AKED0420210804,str_10,pfc_17,29,0.0025,97.0
10,AKED0420210804,str_19,pfc_19,25,0.002,46.0
11,AKED0420210804,str_21,pfc_48,33,0.002,31.0
12,AKED0420210804,str_23,pfc_58,34,0.0015,74.0
