,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0420210802,str_13,pfc_76,27,0.0015,33.0
1,AKED0420210802,str_13,pfc_17,24,0.0015,32.0
2,AKED0420210802,str_24,pfc_24,27,0.002,110.0
3,AKED0420210802,str_30,pfc_31,23,0.0025,68.0
4,AKED0420210802,str_30,pfc_61,26,0.002,57.0
5,AKED0420210802,str_30,pfc_17,33,0.0015,48.0
6,AKED0420210802,str_30,pfc_9,32,0.0015,98.0
7,AKED0420210802,str_1,pfc_76,33,0.0015,47.0
8,AKED0420210802,str_1,pfc_69,33,0.0015,40.0
9,AKED0420210802,str_1,pfc_45,34,0.003,124.0
10,AKED0420210802,str_1,pfc_4,25,0.003,145.0
11,AKED0420210802,str_1,pfc_62,34,0.003,271.0
12,AKED0420210802,str_1,pfc_27,28,0.0025,106.0
13,AKED0420210802,str_39,pfc_65,26,0.0015,45.0
14,AKED0420210802,str_39,pfc_23,23,0.0015,35.0
15,AKED0420210802,str_2,pfc_53,30,0.0015,99.0
16,AKED0420210802,str_49,pfc_78,34,0.003,72.0
17,AKED0420210802,str_18,pfc_21,23,0.002,64.0
18,AKED0420210802,str_18,pfc_79,29,0.0025,66.0
19,AKED0420210802,str_16,pfc_10,30,0.002,78.0
20,AKED0420210802,str_7,pfc_10,25,0.0015,37.0
21,AKED0420210802,str_46,pfc_45,23,0.0025,98.0
22,AKED0420210802,str_63,pfc_7,34,0.0015,65.0
23,AKED0420210802,str_25,pfc_22,32,0.002,42.0
24,AKED0420210802,str_25,pfc_20,27,0.0015,25.0
25,AKED0420210802,str_25,pfc_48,29,0.0015,33.0
26,AKED0420210802,str_59,pfc_70,27,0.0015,36.0
27,AKED0420210802,str_59,pfc_53,24,0.002,38.0
28,AKED0420210802,str_3,pfc_14,30,0.0015,53.0
29,AKED0420210802,str_3,pfc_62,33,0.002,46.0
30,AKED0420210802,str_38,pfc_52,22,0.002,183.0
31,AKED0420210802,str_36,pfc_25,22,0.002,53.0
32,AKED0420210802,str_26,pfc_39,26,0.002,165.0
33,AKED0420210802,str_6,pfc_26,22,0.0025,100.0
34,AKED0420210802,str_35,pfc_62,32,0.003,69.0
35,AKED0420210802,str_4,pfc_59,34,0.0015,33.0
36,AKED0420210802,str_64,pfc_74,23,0.0025,98.0
37,AKED0420210802,str_12,pfc_13,27,0.0025,64.0
38,AKED0420210802,str_8,pfc_60,31,0.0015,39.0
39,AKED0420210802,str_8,pfc_79,31,0.003,82.0
40,AKED0420210802,str_17,pfc_21,32,0.002,130.0
41,AKED0420210802,str_17,pfc_55,23,0.003,113.0
42,AKED0420210802,str_10,pfc_50,24,0.002,59.0
43,AKED0420210802,str_44,pfc_77,28,0.0015,39.0
44,AKED0420210802,str_32,pfc_65,30,0.003,211.0
45,AKED0420210802,str_32,pfc_43,27,0.0025,108.0
46,AKED0420210802,str_40,pfc_5,26,0.003,76.0
47,AKED0420210802,str_15,pfc_45,27,0.0025,76.0
48,AKED0420210802,str_42,pfc_71,26,0.002,104.0
49,AKED0420210802,str_21,pfc_13,24,0.0015,66.0
50,AKED0420210802,str_41,pfc_15,34,0.003,97.0
51,AKED0420210802,str_41,pfc_65,33,0.0015,45.0
52,AKED0420210802,str_41,pfc_77,34,0.002,57.0
53,AKED0420210802,str_20,pfc_4,33,0.0015,121.0
54,AKED0420210802,str_33,pfc_2,22,0.0025,151.0
55,AKED0420210802,str_23,pfc_67,30,0.0015,27.0
56,AKED0420210802,str_23,pfc_36,30,0.002,80.0
57,AKED0420210802,str_23,pfc_30,23,0.002,76.0
