,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0220210801,str_58,pfc_67,30,0.0025,116.0
1,AKED0220210801,str_58,pfc_28,25,0.003,138.0
2,AKED0220210801,str_58,pfc_59,24,0.002,61.0
3,AKED0220210801,str_0,pfc_20,25,0.0015,23.0
4,AKED0220210801,str_14,pfc_58,24,0.0025,71.0
5,AKED0220210801,str_72,pfc_30,27,0.0015,38.0
6,AKED0220210801,str_84,pfc_64,29,0.0015,54.0
7,AKED0220210801,str_84,pfc_60,26,0.003,72.0
8,AKED0220210801,str_49,pfc_39,33,0.003,85.0
9,AKED0220210801,str_49,pfc_84,27,0.0025,85.0
10,AKED0220210801,str_74,pfc_37,34,0.0015,34.0
11,AKED0220210801,str_74,pfc_27,29,0.002,65.0
12,AKED0220210801,str_74,pfc_7,22,0.0015,50.0
13,AKED0220210801,str_18,pfc_40,32,0.002,62.0
14,AKED0220210801,str_56,pfc_96,33,0.0015,42.0
15,AKED0220210801,str_56,pfc_40,34,0.002,52.0
16,AKED0220210801,str_83,pfc_12,27,0.0025,57.0
17,AKED0220210801,str_46,pfc_38,27,0.002,114.0
18,AKED0220210801,str_70,pfc_100,29,0.003,90.0
19,AKED0220210801,str_63,pfc_101,34,0.0025,86.0
20,AKED0220210801,str_63,pfc_40,22,0.0025,70.0
21,AKED0220210801,str_52,pfc_0,33,0.0015,49.0
22,AKED0220210801,str_29,pfc_3,24,0.0025,121.0
23,AKED0220210801,str_48,pfc_81,28,0.002,55.0
24,AKED0220210801,str_73,pfc_0,33,0.0025,71.0
25,AKED0220210801,str_73,pfc_35,29,0.0025,149.0
26,AKED0220210801,str_59,pfc_23,29,0.002,49.0
27,AKED0220210801,str_75,pfc_7,26,0.0015,63.0
28,AKED0220210801,str_38,pfc_15,32,0.0015,45.0
29,AKED0220210801,str_68,pfc_63,33,0.0015,53.0
30,AKED0220210801,str_79,pfc_39,32,0.002,84.0
31,AKED0220210801,str_79,pfc_43,34,0.0015,57.0
32,AKED0220210801,str_50,pfc_34,33,0.0015,54.0
33,AKED0220210801,str_35,pfc_59,32,0.003,71.0
34,AKED0220210801,str_61,pfc_7,28,0.002,45.0
35,AKED0220210801,str_4,pfc_31,24,0.0015,47.0
36,AKED0220210801,str_43,pfc_8,24,0.0015,69.0
37,AKED0220210801,str_43,pfc_60,25,0.002,53.0
38,AKED0220210801,str_17,pfc_59,27,0.002,111.0
39,AKED0220210801,str_44,pfc_0,29,0.0015,55.0
40,AKED0220210801,str_44,pfc_53,29,0.0015,30.0
41,AKED0220210801,str_44,pfc_30,29,0.0025,88.0
42,AKED0220210801,str_69,pfc_61,30,0.0015,39.0
43,AKED0220210801,str_69,pfc_60,27,0.0015,51.0
44,AKED0220210801,str_15,pfc_43,24,0.003,188.0
45,AKED0220210801,str_78,pfc_85,25,0.003,78.0
46,AKED0220210801,str_78,pfc_55,32,0.002,92.0
47,AKED0220210801,str_60,pfc_55,30,0.0015,53.0
48,AKED0220210801,str_60,pfc_40,25,0.002,63.0
49,AKED0220210801,str_20,pfc_17,29,0.0025,82.0
50,AKED0220210801,str_77,pfc_50,27,0.0015,43.0
51,AKED0220210801,str_77,pfc_40,28,0.002,79.0
52,AKED0220210801,str_77,pfc_30,30,0.002,68.0
53,AKED0220210801,str_22,pfc_8,22,0.002,106.0
54,AKED0220210801,str_62,pfc_19,32,0.0015,47.0
55,AKED0220210801,str_67,pfc_90,24,0.0015,77.0
56,AKED0220210801,str_67,pfc_23,23,0.0025,192.0
