,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0420210803,str_13,pfc_58,30,0.002,42.0
1,AKED0420210803,str_13,pfc_4,32,0.0015,27.0
2,AKED0420210803,str_13,pfc_56,26,0.0015,52.0
3,AKED0420210803,str_30,pfc_13,25,0.002,63.0
4,AKED0420210803,str_2,pfc_54,27,0.002,37.0
5,AKED0420210803,str_11,pfc_36,23,0.0015,49.0
6,AKED0420210803,str_18,pfc_36,30,0.0015,37.0
7,AKED0420210803,str_28,pfc_58,27,0.002,109.0
8,AKED0420210803,str_28,pfc_0,26,0.002,72.0
9,AKED0420210803,str_7,pfc_29,27,0.0025,40.0
10,AKED0420210803,str_3,pfc_66,23,0.002,55.0
11,AKED0420210803,str_38,pfc_26,32,0.0025,73.0
12,AKED0420210803,str_38,pfc_8,25,0.0015,92.0
13,AKED0420210803,str_26,pfc_5,32,0.0025,98.0
14,AKED0420210803,str_34,pfc_37,23,0.0025,81.0
15,AKED0420210803,str_12,pfc_34,32,0.0025,124.0
16,AKED0420210803,str_10,pfc_15,34,0.003,142.0
17,AKED0420210803,str_40,pfc_66,29,0.0025,93.0
18,AKED0420210803,str_19,pfc_22,34,0.002,91.0
19,AKED0420210803,str_19,pfc_37,34,0.0015,39.0
20,AKED0420210803,str_19,pfc_6,32,0.0015,41.0
21,AKED0420210803,str_19,pfc_34,34,0.003,110.0
