,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0120210801,str_13,pfc_16,27,0.0015,68.0
1,AKED0120210801,str_13,pfc_71,32,0.0025,91.0
2,AKED0120210801,str_14,pfc_86,22,0.0025,88.0
3,AKED0120210801,str_1,pfc_36,27,0.003,136.0
4,AKED0120210801,str_1,pfc_24,23,0.0015,75.0
5,AKED0120210801,str_11,pfc_38,24,0.002,66.0
6,AKED0120210801,str_7,pfc_19,33,0.003,75.0
7,AKED0120210801,str_5,pfc_84,30,0.0015,38.0
8,AKED0120210801,str_6,pfc_64,30,0.003,182.0
9,AKED0120210801,str_6,pfc_48,29,0.0015,52.0
10,AKED0120210801,str_8,pfc_28,22,0.003,113.0
