,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0620210804,str_91,pfc_74,24,0.0015,97.0
1,AKED0620210804,str_0,pfc_25,26,0.003,132.0
2,AKED0620210804,str_31,pfc_24,28,0.0015,49.0
3,AKED0620210804,str_30,pfc_67,27,0.002,42.0
4,AKED0620210804,str_30,pfc_86,30,0.0025,122.0
5,AKED0620210804,str_30,pfc_84,23,0.002,67.0
6,AKED0620210804,str_39,pfc_24,32,0.0025,79.0
7,AKED0620210804,str_11,pfc_30,25,0.003,135.0
8,AKED0620210804,str_74,pfc_80,22,0.003,181.0
9,AKED0620210804,str_74,pfc_34,32,0.002,45.0
10,AKED0620210804,str_18,pfc_88,25,0.0015,45.0
11,AKED0620210804,str_9,pfc_62,32,0.0025,161.0
12,AKED0620210804,str_7,pfc_49,29,0.0015,51.0
13,AKED0620210804,str_83,pfc_36,29,0.0025,76.0
14,AKED0620210804,str_83,pfc_11,34,0.0025,111.0
15,AKED0620210804,str_46,pfc_28,23,0.002,47.0
16,AKED0620210804,str_55,pfc_70,26,0.002,44.0
17,AKED0620210804,str_55,pfc_46,30,0.0015,65.0
18,AKED0620210804,str_27,pfc_48,22,0.0015,36.0
19,AKED0620210804,str_75,pfc_35,32,0.0015,33.0
20,AKED0620210804,str_3,pfc_70,29,0.003,70.0
21,AKED0620210804,str_3,pfc_85,26,0.003,69.0
22,AKED0620210804,str_92,pfc_68,29,0.0015,55.0
23,AKED0620210804,str_92,pfc_23,34,0.002,68.0
24,AKED0620210804,str_79,pfc_2,29,0.002,53.0
25,AKED0620210804,str_26,pfc_82,26,0.003,56.0
26,AKED0620210804,str_45,pfc_22,26,0.002,59.0
27,AKED0620210804,str_45,pfc_85,32,0.002,96.0
28,AKED0620210804,str_45,pfc_49,24,0.0015,64.0
29,AKED0620210804,str_45,pfc_84,24,0.0015,21.0
30,AKED0620210804,str_5,pfc_14,22,0.002,35.0
31,AKED0620210804,str_5,pfc_8,28,0.0025,103.0
32,AKED0620210804,str_5,pfc_80,31,0.0025,127.0
33,AKED0620210804,str_81,pfc_61,29,0.0025,60.0
34,AKED0620210804,str_4,pfc_77,25,0.0025,142.0
35,AKED0620210804,str_4,pfc_86,30,0.0025,184.0
36,AKED0620210804,str_93,pfc_74,29,0.0015,37.0
37,AKED0620210804,str_89,pfc_21,22,0.002,82.0
38,AKED0620210804,str_10,pfc_58,23,0.003,325.0
39,AKED0620210804,str_44,pfc_86,29,0.0025,76.0
40,AKED0620210804,str_44,pfc_80,29,0.002,143.0
41,AKED0620210804,str_69,pfc_79,26,0.002,68.0
42,AKED0620210804,str_32,pfc_52,32,0.0025,60.0
43,AKED0620210804,str_32,pfc_85,23,0.003,118.0
44,AKED0620210804,str_57,pfc_43,34,0.003,94.0
45,AKED0620210804,str_15,pfc_88,23,0.002,77.0
46,AKED0620210804,str_19,pfc_63,26,0.002,88.0
47,AKED0620210804,str_20,pfc_49,30,0.0025,100.0
48,AKED0620210804,str_33,pfc_36,31,0.003,177.0
49,AKED0620210804,str_62,pfc_33,23,0.002,55.0
50,AKED0620210804,str_76,pfc_65,22,0.002,51.0
