,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0120210722,str_13,pfc_96,27,0.0015,28.0
1,AKED0120210722,str_0,pfc_6,23,0.0015,53.0
2,AKED0120210722,str_14,pfc_63,30,0.003,259.0
3,AKED0120210722,str_14,pfc_11,25,0.002,62.0
4,AKED0120210722,str_1,pfc_81,23,0.003,114.0
5,AKED0120210722,str_16,pfc_59,22,0.002,56.0
6,AKED0120210722,str_9,pfc_25,25,0.0015,53.0
7,AKED0120210722,str_9,pfc_95,27,0.0015,54.0
8,AKED0120210722,str_9,pfc_84,29,0.0015,20.0
9,AKED0120210722,str_7,pfc_83,34,0.0015,40.0
10,AKED0120210722,str_5,pfc_52,27,0.0015,68.0
11,AKED0120210722,str_5,pfc_11,24,0.002,64.0
12,AKED0120210722,str_6,pfc_50,23,0.0015,52.0
13,AKED0120210722,str_6,pfc_48,22,0.003,120.0
14,AKED0120210722,str_4,pfc_57,34,0.002,50.0
15,AKED0120210722,str_12,pfc_16,28,0.003,59.0
16,AKED0120210722,str_8,pfc_25,33,0.002,65.0
17,AKED0120210722,str_8,pfc_11,29,0.002,84.0
18,AKED0120210722,str_8,pfc_72,24,0.002,50.0
