,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0520210727,str_2,pfc_39,27,0.003,118.0
1,AKED0520210727,str_16,pfc_31,22,0.0015,46.0
2,AKED0520210727,str_27,pfc_36,29,0.0015,53.0
3,AKED0520210727,str_3,pfc_28,26,0.0025,123.0
4,AKED0520210727,str_5,pfc_44,31,0.002,106.0
5,AKED0520210727,str_5,pfc_11,26,0.0015,56.0
6,AKED0520210727,str_4,pfc_0,30,0.003,87.0
7,AKED0520210727,str_19,pfc_40,29,0.003,196.0
8,AKED0520210727,str_21,pfc_45,34,0.0015,33.0
9,AKED0520210727,str_21,pfc_24,23,0.0025,47.0
10,AKED0520210727,str_23,pfc_42,32,0.0015,48.0
