,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0220210731,str_13,pfc_81,33,0.003,97.0
1,AKED0220210731,str_31,pfc_39,23,0.0025,88.0
2,AKED0220210731,str_14,pfc_56,24,0.0015,103.0
3,AKED0220210731,str_14,pfc_47,22,0.002,56.0
4,AKED0220210731,str_16,pfc_24,32,0.0015,47.0
5,AKED0220210731,str_28,pfc_25,32,0.002,39.0
6,AKED0220210731,str_29,pfc_15,29,0.002,93.0
7,AKED0220210731,str_26,pfc_7,23,0.0015,75.0
8,AKED0220210731,str_17,pfc_100,27,0.002,98.0
9,AKED0220210731,str_10,pfc_46,30,0.003,141.0
10,AKED0220210731,str_10,pfc_81,29,0.0015,55.0
11,AKED0220210731,str_10,pfc_0,34,0.0015,65.0
12,AKED0220210731,str_20,pfc_50,28,0.002,41.0
