,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0120210723,str_0,pfc_25,25,0.002,149.0
1,AKED0120210723,str_0,pfc_70,23,0.003,91.0
2,AKED0120210723,str_0,pfc_9,24,0.0015,39.0
3,AKED0120210723,str_2,pfc_72,28,0.0025,52.0
4,AKED0120210723,str_9,pfc_87,29,0.003,136.0
5,AKED0120210723,str_9,pfc_40,23,0.0015,30.0
6,AKED0120210723,str_28,pfc_84,30,0.003,97.0
7,AKED0120210723,str_3,pfc_91,29,0.002,55.0
8,AKED0120210723,str_26,pfc_12,25,0.0015,33.0
9,AKED0120210723,str_5,pfc_20,25,0.0015,37.0
10,AKED0120210723,str_6,pfc_21,29,0.002,111.0
11,AKED0120210723,str_8,pfc_80,31,0.003,183.0
12,AKED0120210723,str_15,pfc_54,32,0.0025,100.0
13,AKED0120210723,str_15,pfc_74,30,0.002,55.0
14,AKED0120210723,str_19,pfc_60,32,0.0025,87.0
15,AKED0120210723,str_20,pfc_69,30,0.0015,29.0
16,AKED0120210723,str_22,pfc_12,32,0.0025,77.0
