,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0520210715,str_13,pfc_17,28,0.0015,56.0
1,AKED0520210715,str_14,pfc_33,26,0.002,61.0
2,AKED0520210715,str_2,pfc_31,29,0.003,79.0
3,AKED0520210715,str_11,pfc_15,24,0.002,37.0
4,AKED0520210715,str_18,pfc_12,34,0.0015,58.0
5,AKED0520210715,str_28,pfc_31,28,0.0025,147.0
6,AKED0520210715,str_7,pfc_8,25,0.002,61.0
7,AKED0520210715,str_27,pfc_23,32,0.003,76.0
8,AKED0520210715,str_26,pfc_16,27,0.0025,101.0
9,AKED0520210715,str_6,pfc_53,30,0.0015,69.0
10,AKED0520210715,str_4,pfc_12,31,0.0015,28.0
11,AKED0520210715,str_12,pfc_9,24,0.0015,44.0
12,AKED0520210715,str_17,pfc_8,34,0.002,94.0
13,AKED0520210715,str_15,pfc_8,34,0.0015,46.0
14,AKED0520210715,str_19,pfc_33,30,0.002,70.0
