,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0620210803,str_13,pfc_19,24,0.0015,57.0
1,AKED0620210803,str_1,pfc_37,30,0.0015,43.0
2,AKED0620210803,str_11,pfc_49,24,0.003,116.0
3,AKED0620210803,str_9,pfc_14,31,0.002,46.0
4,AKED0620210803,str_7,pfc_44,29,0.002,78.0
5,AKED0620210803,str_7,pfc_49,29,0.0015,59.0
6,AKED0620210803,str_12,pfc_3,34,0.003,159.0
7,AKED0620210803,str_8,pfc_0,31,0.0015,53.0
8,AKED0620210803,str_8,pfc_2,22,0.002,108.0
9,AKED0620210803,str_10,pfc_54,33,0.002,53.0
10,AKED0620210803,str_15,pfc_56,29,0.0025,73.0
11,AKED0620210803,str_15,pfc_47,32,0.0015,52.0
