,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0520210719,str_0,pfc_31,24,0.003,173.0
1,AKED0520210719,str_24,pfc_33,24,0.0015,31.0
2,AKED0520210719,str_9,pfc_35,25,0.0015,70.0
3,AKED0520210719,str_29,pfc_26,27,0.0015,38.0
4,AKED0520210719,str_38,pfc_21,34,0.002,37.0
5,AKED0520210719,str_26,pfc_22,34,0.0025,114.0
6,AKED0520210719,str_34,pfc_31,33,0.0025,77.0
7,AKED0520210719,str_32,pfc_15,26,0.003,73.0
8,AKED0520210719,str_32,pfc_13,23,0.002,55.0
9,AKED0520210719,str_40,pfc_35,29,0.0015,35.0
10,AKED0520210719,str_41,pfc_23,29,0.0015,32.0
11,AKED0520210719,str_33,pfc_22,30,0.003,48.0
