,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0420210805,str_0,pfc_18,22,0.0025,87.0
1,AKED0420210805,str_0,pfc_35,30,0.002,89.0
2,AKED0420210805,str_1,pfc_8,26,0.0025,49.0
3,AKED0420210805,str_11,pfc_45,34,0.0015,42.0
4,AKED0420210805,str_11,pfc_12,26,0.002,49.0
5,AKED0420210805,str_9,pfc_24,29,0.0015,41.0
6,AKED0420210805,str_9,pfc_12,32,0.0015,51.0
7,AKED0420210805,str_7,pfc_24,28,0.002,109.0
8,AKED0420210805,str_29,pfc_3,23,0.0025,76.0
9,AKED0420210805,str_27,pfc_22,26,0.003,99.0
10,AKED0420210805,str_27,pfc_4,23,0.002,58.0
11,AKED0420210805,str_5,pfc_24,26,0.0015,46.0
12,AKED0420210805,str_17,pfc_13,25,0.003,99.0
13,AKED0420210805,str_17,pfc_13,27,0.003,94.0
14,AKED0420210805,str_20,pfc_28,29,0.0015,46.0
