,session,str,pfc,peak,peak_width,counts_in_peak
0,AKED0220210803,str_0,pfc_19,22,0.002,69.0
1,AKED0220210803,str_24,pfc_22,26,0.002,74.0
2,AKED0220210803,str_1,pfc_2,31,0.0025,80.0
3,AKED0220210803,str_16,pfc_20,22,0.002,65.0
4,AKED0220210803,str_28,pfc_20,34,0.0015,48.0
5,AKED0220210803,str_27,pfc_11,29,0.002,136.0
6,AKED0220210803,str_3,pfc_20,34,0.0025,105.0
7,AKED0220210803,str_10,pfc_8,22,0.0015,33.0
8,AKED0220210803,str_19,pfc_30,27,0.0015,50.0
9,AKED0220210803,str_20,pfc_0,27,0.003,159.0
10,AKED0220210803,str_23,pfc_29,30,0.002,91.0
