leftP,rightP,trial_response_side,trial_reward,cue_time
0.85,0.2,1.0,0.0,51.69675
0.85,0.2,,,54.3472
0.85,0.2,,,62.45335
0.85,0.2,-1.0,1.0,70.5628
0.85,0.2,-1.0,1.0,73.36775
0.85,0.2,-1.0,1.0,76.2746
0.85,0.2,-1.0,1.0,81.02465
0.85,0.2,-1.0,1.0,83.883
0.85,0.2,-1.0,0.0,86.84075
0.85,0.2,-1.0,1.0,89.19695
0.85,0.2,-1.0,1.0,92.17205
0.85,0.2,-1.0,1.0,94.9736
0.85,0.2,,,97.5233
0.85,0.2,-1.0,1.0,105.6243
0.85,0.2,-1.0,1.0,108.27265
0.85,0.2,-1.0,1.0,115.3684
0.85,0.2,-1.0,1.0,120.1574
0.85,0.2,-1.0,0.0,123.13335
0.85,0.2,-1.0,1.0,126.52765
0.85,0.2,-1.0,0.0,131.0662
0.85,0.2,-1.0,1.0,133.73505
0.85,0.2,-1.0,1.0,136.2338
0.85,0.2,-1.0,1.0,140.67045
0.85,0.2,-1.0,1.0,144.31755
0.85,0.2,-1.0,0.0,148.31675
0.85,0.2,-1.0,1.0,151.01435
0.85,0.2,-1.0,1.0,153.6472
0.85,0.2,-1.0,1.0,156.7214
0.85,0.2,-1.0,0.0,159.56965
0.85,0.2,-1.0,1.0,162.08855
0.85,0.2,-1.0,1.0,165.1274
0.85,0.2,1.0,0.0,167.7638
0.85,0.2,-1.0,1.0,170.26465
0.85,0.2,-1.0,1.0,174.4073
0.85,0.2,-1.0,1.0,176.78385
0.85,0.2,-1.0,0.0,179.69465
0.85,0.2,-1.0,1.0,182.40925
0.85,0.2,-1.0,1.0,185.3914
0.85,0.2,-1.0,1.0,188.90135
0.85,0.2,-1.0,1.0,192.31475
0.85,0.2,-1.0,1.0,194.75085
0.85,0.2,-1.0,1.0,198.59155
0.85,0.2,-1.0,1.0,203.0053
0.85,0.2,-1.0,1.0,205.3345
0.85,0.2,-1.0,1.0,208.475
0.85,0.2,-1.0,0.0,212.06045
0.85,0.2,-1.0,1.0,214.81
0.85,0.2,-1.0,1.0,217.47535
0.85,0.2,-1.0,1.0,220.69115
0.85,0.2,-1.0,1.0,223.43
0.85,0.2,-1.0,1.0,226.78525
0.85,0.2,-1.0,1.0,231.5658
0.85,0.2,-1.0,1.0,234.07595
0.85,0.2,-1.0,1.0,236.81485
0.85,0.2,-1.0,1.0,240.2118
0.85,0.2,-1.0,0.0,244.75025
0.85,0.2,-1.0,1.0,247.6738
0.85,0.2,-1.0,1.0,250.32765
0.85,0.2,-1.0,1.0,253.4446
0.85,0.2,-1.0,0.0,256.2002
0.85,0.2,-1.0,1.0,258.77075
0.85,0.2,-1.0,1.0,262.9145
0.85,0.2,-1.0,1.0,265.593
0.85,0.2,-1.0,1.0,268.8643
0.85,0.2,-1.0,1.0,271.43255
0.85,0.2,-1.0,1.0,275.05925
0.85,0.2,-1.0,1.0,277.4934
0.85,0.2,-1.0,1.0,281.4066
0.85,0.2,-1.0,0.0,284.4108
0.85,0.2,-1.0,1.0,287.0786
0.85,0.2,-1.0,1.0,290.04055
0.85,0.2,1.0,0.0,292.6925
0.85,0.2,-1.0,1.0,295.0875
0.85,0.2,-1.0,0.0,298.0174
0.85,0.2,-1.0,1.0,301.5917
0.85,0.2,-1.0,1.0,303.99475
0.85,0.2,-1.0,1.0,307.33275
0.85,0.2,-1.0,0.0,310.6777
0.2,0.7,-1.0,0.0,313.2806
0.2,0.7,-1.0,1.0,315.9749
0.2,0.7,-1.0,0.0,319.0491
0.2,0.7,-1.0,0.0,321.79675
0.2,0.7,-1.0,0.0,324.8417
0.2,0.7,-1.0,1.0,328.3069
0.2,0.7,-1.0,0.0,330.99685
0.2,0.7,-1.0,0.0,334.0751
0.2,0.7,-1.0,0.0,336.4277
0.2,0.7,-1.0,0.0,339.4301
0.2,0.7,-1.0,1.0,342.1876
0.2,0.7,-1.0,0.0,346.71285
0.2,0.7,-1.0,0.0,349.11635
0.2,0.7,-1.0,0.0,351.4786
0.2,0.7,-1.0,0.0,354.388
0.2,0.7,-1.0,0.0,357.1755
0.2,0.7,-1.0,0.0,359.6816
0.2,0.7,-1.0,1.0,362.3182
0.2,0.7,-1.0,0.0,364.73765
0.2,0.7,-1.0,0.0,367.66375
