leftP,rightP,trial_response_side,trial_reward,cue_time
0.85,0.05,1.0,0.0,31.92595
0.85,0.05,,,35.2694
0.85,0.05,1.0,0.0,43.3804
0.85,0.05,1.0,0.0,50.52675
0.85,0.05,1.0,0.0,54.01525
0.85,0.05,1.0,0.0,62.74165
0.85,0.05,1.0,0.0,70.74295
0.85,0.05,-1.0,1.0,74.58775
0.85,0.05,1.0,0.0,79.14935
0.85,0.05,1.0,0.0,82.8452
0.85,0.05,,,90.6043
0.85,0.05,1.0,0.0,98.71135
0.85,0.05,,,102.9299
0.85,0.05,1.0,0.0,111.03385
0.85,0.05,-1.0,1.0,120.10765
0.85,0.05,,,124.97955
0.85,0.05,1.0,0.0,133.08655
0.85,0.05,,,135.87305
0.85,0.05,1.0,0.0,143.97565
0.85,0.05,1.0,0.0,151.45435
0.85,0.05,,,159.8659
0.85,0.05,1.0,1.0,167.96895
0.85,0.05,,,174.15825
0.85,0.05,,,182.25805
0.85,0.05,,,190.36105
0.85,0.05,1.0,0.0,198.46925
0.85,0.05,,,207.1417
0.85,0.05,1.0,0.0,215.2451
0.85,0.05,1.0,0.0,221.7774
0.85,0.05,,,228.26965
0.85,0.05,1.0,0.0,236.37265
0.85,0.05,,,240.03265
0.85,0.05,1.0,0.0,248.13465
0.85,0.05,1.0,0.0,250.4903
0.85,0.05,-1.0,1.0,256.15395
0.85,0.05,-1.0,1.0,260.1923
0.85,0.05,1.0,0.0,265.4952
0.85,0.05,,,275.0833
0.85,0.05,-1.0,0.0,283.1858
0.85,0.05,,,288.995
0.85,0.05,,,297.09695
0.85,0.05,-1.0,1.0,306.78195
0.85,0.05,,,310.73935
0.85,0.05,,,318.84025
0.85,0.05,,,326.9439
0.85,0.05,,,335.0474
0.85,0.05,,,343.1505
0.85,0.05,,,351.2533
0.85,0.05,,,359.35455
0.85,0.05,,,367.45785
0.85,0.05,,,375.56075
0.85,0.05,,,383.66235
0.85,0.05,1.0,0.0,391.7664
0.85,0.05,,,396.2843
0.85,0.05,,,404.3923
0.85,0.05,,,412.49335
0.85,0.05,,,420.5942
0.85,0.05,1.0,0.0,428.69545
0.85,0.05,,,431.81465
0.85,0.05,1.0,0.0,439.92175
0.85,0.05,,,444.0825
0.85,0.05,,,452.185
0.85,0.05,1.0,0.0,460.29505
0.85,0.05,1.0,0.0,465.19275
0.85,0.05,,,473.6325
0.85,0.05,1.0,1.0,481.7342
0.85,0.05,1.0,0.0,489.5381
0.85,0.05,1.0,0.0,500.6037
0.85,0.05,1.0,0.0,504.28175
0.85,0.05,1.0,0.0,507.2671
0.85,0.05,1.0,0.0,511.33815
0.85,0.05,1.0,0.0,515.06105
0.85,0.05,1.0,0.0,519.7329
0.85,0.05,1.0,0.0,522.04945
0.85,0.05,1.0,0.0,525.87415
0.85,0.05,1.0,0.0,528.43625
0.85,0.05,1.0,0.0,530.73755
0.85,0.05,1.0,0.0,534.65465
0.85,0.05,1.0,0.0,538.72355
0.85,0.05,1.0,0.0,541.25975
0.85,0.05,1.0,0.0,545.4414
0.85,0.05,1.0,0.0,548.97585
0.85,0.05,1.0,0.0,556.4964
0.85,0.05,1.0,0.0,558.7738
0.85,0.05,1.0,0.0,565.25025
0.85,0.05,-1.0,1.0,567.5071
0.85,0.05,1.0,1.0,570.13805
0.85,0.05,-1.0,1.0,572.75755
0.85,0.05,-1.0,1.0,575.6277
0.85,0.05,1.0,0.0,579.3921
0.85,0.05,1.0,0.0,582.32415
0.85,0.05,1.0,0.0,584.95105
0.85,0.05,1.0,0.0,588.5493
0.85,0.05,1.0,0.0,591.10755
0.85,0.05,-1.0,1.0,595.3421
0.85,0.05,1.0,0.0,599.17255
0.85,0.05,1.0,0.0,601.98755
0.85,0.05,1.0,0.0,608.48455
0.85,0.05,1.0,0.0,611.4037
0.85,0.05,1.0,0.0,616.94465
0.85,0.05,1.0,0.0,620.01025
0.85,0.05,1.0,0.0,625.5938
0.85,0.05,-1.0,1.0,628.41115
0.85,0.05,-1.0,1.0,631.0417
0.85,0.05,-1.0,1.0,634.56735
0.85,0.05,-1.0,1.0,637.3364
0.85,0.05,-1.0,1.0,640.41835
0.85,0.05,-1.0,1.0,643.2626
0.85,0.05,-1.0,0.0,649.07155
0.85,0.05,1.0,0.0,651.9966
0.85,0.05,-1.0,0.0,655.03935
0.85,0.05,-1.0,1.0,660.7388
0.85,0.05,1.0,0.0,663.54875
0.85,0.05,1.0,0.0,667.0105
0.85,0.05,-1.0,1.0,671.0058
0.85,0.05,1.0,0.0,676.25965
0.85,0.05,1.0,0.0,681.98135
0.85,0.05,-1.0,1.0,684.87945
0.85,0.05,1.0,0.0,687.5837
0.85,0.05,-1.0,1.0,691.1181
0.85,0.05,1.0,1.0,694.2131
0.85,0.05,-1.0,0.0,698.03485
0.85,0.05,-1.0,1.0,700.8472
0.85,0.05,-1.0,1.0,706.429
0.85,0.05,-1.0,1.0,711.77825
0.85,0.05,-1.0,1.0,715.98065
0.85,0.05,-1.0,1.0,720.89205
0.85,0.05,-1.0,1.0,723.97415
0.85,0.05,1.0,0.0,729.48775
0.85,0.05,1.0,0.0,731.9703
0.85,0.05,-1.0,1.0,736.5419
0.85,0.05,-1.0,1.0,741.89335
0.85,0.05,1.0,0.0,744.51325
0.85,0.05,-1.0,1.0,748.2367
0.85,0.05,-1.0,0.0,751.92245
0.85,0.05,-1.0,1.0,754.91725
0.85,0.05,-1.0,1.0,757.8999
0.85,0.05,-1.0,1.0,763.52075
0.85,0.05,-1.0,1.0,769.0731
0.85,0.05,1.0,0.0,772.16055
0.85,0.05,-1.0,1.0,775.07375
0.85,0.05,-1.0,1.0,777.8989
0.85,0.05,-1.0,0.0,780.9972
0.85,0.05,1.0,0.0,785.04755
0.85,0.05,-1.0,1.0,792.06625
0.85,0.05,1.0,0.0,795.3412
0.85,0.05,-1.0,1.0,800.23975
0.85,0.05,1.0,0.0,802.7222
0.85,0.05,1.0,0.0,805.14165
0.85,0.05,-1.0,1.0,809.492
0.85,0.05,-1.0,1.0,816.9852
0.85,0.05,-1.0,1.0,820.1429
0.85,0.05,-1.0,1.0,823.11185
0.85,0.05,-1.0,1.0,826.91535
0.85,0.05,-1.0,1.0,832.7042
0.85,0.05,-1.0,1.0,839.4171
0.85,0.05,-1.0,1.0,842.03355
0.85,0.05,-1.0,1.0,845.1513
0.85,0.05,-1.0,1.0,851.5405
0.85,0.05,-1.0,1.0,854.41135
0.85,0.05,-1.0,1.0,856.978
0.05,0.85,-1.0,0.0,919.5725
0.05,0.85,,,924.65165
0.05,0.85,1.0,1.0,932.76565
0.05,0.85,-1.0,0.0,942.2861
0.05,0.85,1.0,0.0,945.06155
0.05,0.85,-1.0,0.0,949.4573
0.05,0.85,1.0,1.0,953.993
0.05,0.85,-1.0,0.0,959.9067
0.05,0.85,-1.0,0.0,962.36855
0.05,0.85,-1.0,0.0,965.902
0.05,0.85,-1.0,0.0,970.1546
0.05,0.85,1.0,1.0,972.96785
0.05,0.85,-1.0,0.0,976.0791
0.05,0.85,1.0,1.0,978.5424
0.05,0.85,1.0,1.0,984.88245
0.05,0.85,-1.0,0.0,992.9588
0.05,0.85,1.0,1.0,995.76515
0.05,0.85,1.0,1.0,1003.82285
0.05,0.85,1.0,1.0,1007.861
0.05,0.85,1.0,1.0,1013.90925
0.05,0.85,1.0,0.0,1018.1369
0.05,0.85,1.0,1.0,1021.00565
0.05,0.85,1.0,1.0,1027.4487
0.05,0.85,1.0,1.0,1031.27775
0.05,0.85,1.0,1.0,1037.0011
0.05,0.85,1.0,1.0,1040.4349
0.05,0.85,1.0,0.0,1049.3955
0.05,0.85,1.0,1.0,1051.82655
0.05,0.85,1.0,1.0,1055.61215
0.05,0.85,-1.0,1.0,1058.5737
0.05,0.85,1.0,1.0,1062.8422
0.05,0.85,1.0,0.0,1066.71175
0.05,0.85,1.0,1.0,1070.33785
0.05,0.85,1.0,1.0,1075.25355
0.05,0.85,1.0,0.0,1080.5292
0.05,0.85,1.0,1.0,1082.7941
0.05,0.85,-1.0,0.0,1085.6879
0.05,0.85,1.0,1.0,1089.5204
0.05,0.85,1.0,1.0,1094.8815
