leftP,rightP,trial_response_side,trial_reward,cue_time
0.2,0.85,1.0,1.0,14.55185
0.2,0.85,1.0,1.0,20.50345
0.2,0.85,-1.0,1.0,25.4347
0.2,0.85,-1.0,0.0,27.9265
0.2,0.85,-1.0,0.0,31.9496
0.2,0.85,1.0,0.0,34.48045
0.2,0.85,1.0,0.0,38.8013
0.2,0.85,1.0,1.0,43.0977
0.2,0.85,1.0,1.0,45.77395
0.2,0.85,1.0,1.0,48.5753
0.2,0.85,1.0,1.0,51.1349
0.2,0.85,-1.0,0.0,53.77335
0.2,0.85,-1.0,0.0,56.64185
0.2,0.85,1.0,1.0,59.54605
0.2,0.85,1.0,1.0,62.4008
0.2,0.85,1.0,0.0,67.68315
0.2,0.85,-1.0,1.0,70.1335
0.2,0.85,-1.0,0.0,75.15985
0.2,0.85,-1.0,0.0,78.419
0.2,0.85,1.0,1.0,81.06055
0.2,0.85,-1.0,0.0,85.9172
0.2,0.85,1.0,1.0,91.43125
0.2,0.85,-1.0,0.0,97.0661
0.2,0.85,1.0,1.0,99.37295
0.2,0.85,1.0,1.0,106.9912
0.2,0.85,1.0,1.0,111.2509
0.2,0.85,1.0,1.0,117.7955
0.2,0.85,1.0,1.0,123.2458
0.2,0.85,1.0,1.0,127.0028
0.2,0.85,1.0,1.0,129.60595
0.2,0.85,1.0,1.0,132.0573
0.2,0.85,1.0,1.0,134.6499
0.2,0.85,1.0,1.0,138.6585
0.2,0.85,1.0,1.0,142.8462
0.2,0.85,1.0,1.0,145.4923
0.2,0.85,-1.0,0.0,148.8275
0.2,0.85,1.0,1.0,151.63355
0.2,0.85,1.0,1.0,155.5367
0.2,0.85,1.0,1.0,158.23255
0.2,0.85,1.0,0.0,161.06305
0.2,0.85,-1.0,1.0,164.1022
0.2,0.85,1.0,1.0,168.8882
0.2,0.85,1.0,1.0,173.6401
0.2,0.85,1.0,0.0,177.49785
0.2,0.85,1.0,1.0,184.09505
0.2,0.85,1.0,1.0,187.18805
0.2,0.85,1.0,0.0,190.1323
0.2,0.85,1.0,1.0,193.13915
0.2,0.85,1.0,1.0,197.7241
0.2,0.85,1.0,1.0,200.33705
0.2,0.85,1.0,1.0,203.45135
0.2,0.85,1.0,1.0,205.78175
0.2,0.85,1.0,1.0,208.52895
0.2,0.85,1.0,1.0,212.5231
0.2,0.85,1.0,1.0,215.13955
0.2,0.85,1.0,1.0,219.3441
0.2,0.85,1.0,1.0,223.38615
0.2,0.85,1.0,1.0,228.6799
0.2,0.85,1.0,1.0,231.1085
0.2,0.85,1.0,1.0,233.6152
0.2,0.85,1.0,1.0,236.4844
0.2,0.85,1.0,1.0,240.4778
0.2,0.85,1.0,1.0,243.97425
0.2,0.85,-1.0,0.0,246.98905
0.2,0.85,1.0,0.0,249.56825
0.2,0.85,1.0,0.0,252.67175
0.2,0.85,-1.0,1.0,255.98275
0.2,0.85,-1.0,0.0,262.3605
0.2,0.85,1.0,1.0,266.7396
0.2,0.85,1.0,1.0,269.09135
0.2,0.85,1.0,1.0,273.32185
0.2,0.85,1.0,1.0,278.3133
0.2,0.85,1.0,1.0,282.1378
0.2,0.85,1.0,1.0,285.71225
0.2,0.85,1.0,0.0,289.62215
0.9,0.2,1.0,1.0,292.0931
0.9,0.2,1.0,0.0,295.95055
0.9,0.2,1.0,0.0,299.79515
0.9,0.2,-1.0,1.0,302.74315
0.9,0.2,1.0,0.0,306.0503
0.9,0.2,1.0,0.0,315.76095
0.9,0.2,1.0,1.0,322.4997
0.9,0.2,1.0,0.0,326.0808
0.9,0.2,1.0,0.0,333.19425
0.9,0.2,1.0,0.0,337.2996
0.9,0.2,-1.0,1.0,340.6584
0.9,0.2,1.0,0.0,343.66125
0.9,0.2,-1.0,1.0,346.21735
0.9,0.2,-1.0,1.0,350.094
0.9,0.2,-1.0,1.0,356.9416
0.9,0.2,-1.0,1.0,362.9355
0.9,0.2,1.0,1.0,366.7093
0.9,0.2,-1.0,1.0,370.65615
0.9,0.2,-1.0,1.0,378.6267
0.9,0.2,1.0,0.0,384.40925
0.9,0.2,-1.0,1.0,388.24985
0.9,0.2,-1.0,1.0,391.138
0.9,0.2,-1.0,1.0,397.784
0.9,0.2,-1.0,1.0,403.4218
0.9,0.2,-1.0,1.0,410.30905
0.9,0.2,-1.0,0.0,418.0253
0.9,0.2,-1.0,0.0,421.49455
0.9,0.2,-1.0,1.0,424.0756
0.9,0.2,-1.0,1.0,429.93315
0.9,0.2,1.0,0.0,433.6431
0.9,0.2,-1.0,1.0,436.96765
0.9,0.2,1.0,0.0,439.7592
0.9,0.2,-1.0,1.0,442.33945
0.9,0.2,1.0,0.0,445.23435
0.9,0.2,1.0,0.0,447.9012
0.9,0.2,-1.0,1.0,451.13195
0.9,0.2,-1.0,1.0,453.744
0.9,0.2,1.0,0.0,458.25795
0.9,0.2,-1.0,1.0,462.1565
0.9,0.2,-1.0,1.0,468.96615
0.9,0.2,-1.0,1.0,474.44085
0.9,0.2,-1.0,1.0,479.39635
0.9,0.2,-1.0,1.0,481.81165
0.9,0.2,-1.0,1.0,485.0246
0.9,0.2,-1.0,1.0,489.10565
0.9,0.2,1.0,1.0,493.55355
0.9,0.2,-1.0,1.0,497.50735
0.9,0.2,-1.0,1.0,501.8565
0.9,0.2,1.0,0.0,507.12185
0.9,0.2,-1.0,0.0,510.82985
0.9,0.2,-1.0,1.0,513.6254
0.9,0.2,1.0,0.0,516.06575
0.9,0.2,-1.0,1.0,519.7184
0.9,0.2,-1.0,1.0,528.1066
0.9,0.2,-1.0,1.0,532.13
0.9,0.2,-1.0,1.0,536.87195
0.9,0.2,-1.0,0.0,540.73855
0.9,0.2,-1.0,1.0,545.71705
0.9,0.2,-1.0,1.0,548.37675
0.9,0.2,-1.0,1.0,550.8739
0.9,0.2,-1.0,1.0,557.04335
0.9,0.2,-1.0,1.0,562.967
0.9,0.2,-1.0,0.0,570.8497
0.9,0.2,-1.0,1.0,574.07895
0.9,0.2,-1.0,0.0,576.4416
0.9,0.2,-1.0,1.0,580.3786
0.9,0.2,-1.0,1.0,585.15685
0.9,0.2,-1.0,1.0,593.58095
0.9,0.2,-1.0,1.0,602.42295
0.9,0.2,1.0,0.0,607.14915
0.9,0.2,-1.0,1.0,611.70475
0.9,0.2,-1.0,1.0,615.3423
0.9,0.2,-1.0,1.0,620.875
0.9,0.2,1.0,0.0,626.6902
0.9,0.2,-1.0,1.0,630.22115
0.9,0.2,1.0,0.0,632.83215
