trial_index,pfc_mag_org,dms_mag_org, pfc_mag_standardized,dms_mag_standardized,prpd_standardized,pfc_mag_filtered,dms_mag_filtered,pfc_phase,dms_phase
1,10.0,6.0,0.7281917920148331,0.18055455224816896,0.0,0.8066435914299922,0.28245284472359405,-1.0170164711852576,-1.109967917760232
2,8.0,7.333333333333334,0.23037003222875346,0.6593584759877588,-1.0,0.7218569890397242,0.25205874026559244,-0.4709321949234866,-0.8541518529246103
3,4.666666666666667,10.0,-0.5993329007480458,1.6169663234669378,-0.5,0.6377763972085924,0.22342836171975877,-0.4723640374212579,-0.9058741506237996
4,8.666666666666666,6.0,0.39631061882411317,0.18055455224816896,-0.5,0.5546467640052415,0.19657406809485542,-0.01299545226139306,-0.7868235970775005
5,11.333333333333334,8.0,1.060072965205553,0.8987604378575534,-0.6666666666666666,0.4727076306456498,0.17150062214055276,0.024050856536758657,-0.8653425362090276
6,8.666666666666666,6.666666666666667,0.39631061882411317,0.41995651411796386,-0.75,0.3921916551456836,0.14820587103144983,0.4616132904919381,-0.8096380952906915
7,6.666666666666667,11.333333333333334,-0.10151114096196619,2.0957702472065276,-0.75,0.3133232124844494,0.12668142706276303,0.5633860384237155,-0.9160117805894078
8,2.0,10.666666666666666,-1.2630952471294854,1.8563682853367325,-0.8,0.23631708529568907,0.10691333006015694,0.931749189913045,-0.9137619644687958
9,3.3333333333333335,8.0,-0.9312140739387655,0.8987604378575534,-0.8,0.16137725867816885,0.08888267565493627,1.088781548680767,-1.040289272798082
10,4.0,6.0,-0.7652734873434057,0.18055455224816896,-0.8,0.08869583193656276,0.07256619684408866,1.3470084774146063,-1.082037166435694
11,4.0,8.0,-0.7652734873434057,0.8987604378575534,-0.8,0.01845205817209973,0.05793679035605754,1.520950563810717,-1.2061556630617323
12,7.333333333333333,8.0,0.06442944563339353,0.8987604378575534,-0.8333333333333334,-0.04918848032348583,0.044963983514458176,1.6862536685271274,-1.268264853241586
13,8.666666666666666,13.333333333333334,0.39631061882411317,2.8139761328159123,-0.8333333333333334,-0.11407455622815102,0.033614340770111384,1.8514727214825417,-1.3649829090343197
14,2.0,4.666666666666667,-1.2630952471294854,-0.29824937149142056,-0.7142857142857143,-0.17606983907775522,0.023851811982940077,1.9595361245471572,-1.42125179549539
15,0.0,3.3333333333333335,-1.7609170069155649,-0.7770532952310102,-0.7142857142857143,-0.23505329492372076,0.015638027653627373,2.1084582972296815,-1.482309283557493
16,2.6666666666666665,1.3333333333333333,-1.0971546605341256,-1.4952591808403948,-0.75,-0.2909194449746232,0.008932549852714905,2.1846226857272963,-1.5203836020654908
17,8.0,5.333333333333333,0.23037003222875346,-0.058847409621625955,-0.75,-0.34357848577903877,0.003693090568000328,2.317512833947585,-1.551909799345461
18,0.6666666666666667,2.0,-1.594976420320205,-1.2558572189705999,-0.75,-0.3929562756621861,-0.00012428976462229978,2.376020140489248,-1.5714218869831484
19,1.3333333333333335,0.6666666666666666,-1.429035833724845,-1.7346611427101895,-0.7777777777777778,-0.438994194793157,-0.002564991966013081,2.49517105456765,-1.5826008049170455
20,8.666666666666666,6.666666666666666,0.39631061882411317,0.4199565141179636,-0.6777777777777778,-0.4816488886991354,-0.0036756870652216037,2.5436919268919578,-1.587349298983867
21,4.666666666666667,8.0,-0.5993329007480458,0.8987604378575534,-0.7000000000000001,-0.5208919070309421,-0.0035041186169959917,2.6514858778001718,-1.5853710594607202
22,10.666666666666666,2.666666666666667,0.8941323786101928,-1.016455257100805,-0.6,-0.5567092510122551,-0.0020988955303777525,2.6942196982962345,-1.5793236494837157
23,8.666666666666666,7.333333333333333,0.39631061882411317,0.6593584759877585,-0.6,-0.5891008439570379,0.000490725173639288,2.7926567561016675,-1.5689375195697726
24,3.3333333333333335,6.666666666666667,-0.9312140739387655,0.41995651411796386,-0.6,-0.6180799389643163,0.004215065198393475,2.83197722654582,-1.5551981835508568
25,3.3333333333333335,4.666666666666667,-0.9312140739387655,-0.29824937149142056,-0.7000000000000001,-0.6436724763397483,0.009024260827277432,2.9226401508548623,-1.5394003847086977
26,2.0,2.666666666666667,-1.2630952471294854,-1.016455257100805,-0.7000000000000001,-0.665916401137409,0.014868507518759863,2.9599338354916593,-1.5202051500554175
27,9.333333333333334,6.0,0.5622512054194734,0.18055455224816896,-0.7000000000000001,-0.684860949489983,0.021698313275709098,3.0440574193881154,-1.500882891945195
28,7.333333333333333,2.0,0.06442944563339353,-1.2558572189705999,-0.7000000000000001,-0.700565911676771,0.0294647608121375,3.080157800115408,-1.4778083170775955
29,6.0,4.666666666666666,-0.26745172755732616,-0.2982493714914209,-0.7000000000000001,-0.7131008797477534,0.03811977783743222,-3.1244776071808773,-1.4561666003135674
30,3.333333333333333,6.0,-0.9312140739387657,0.18055455224816896,-0.8,-0.7225444870072528,0.04761641335380888,-3.0890580774558485,-1.4303244430068465
31,1.333333333333333,1.333333333333334,-1.4290358337248452,-1.4952591808403946,-0.8,-0.7289836453181513,0.05790911602436304,-3.015319828189697,-1.4071449885328553
32,2.0,6.666666666666667,-1.2630952471294854,0.41995651411796386,-0.8,-0.7325127845716065,0.06895400874725362,-2.9802611596046495,-1.3793241226744375
33,6.666666666666667,8.666666666666666,-0.10151114096196619,1.138162399727348,-0.8,-0.7332330977146146,0.08070915175150833,-2.9107262432535763,-1.3551192887352848
34,2.0,8.0,-1.2630952471294854,0.8987604378575534,-0.8,-0.7312517948435897,0.09313478496738421,-2.8758271584321533,-1.325881852877118
