trial_index,pfc_mag_standardized,dms_mag_standardized,prpd_standardized,pfc_mag_filtered,dms_mag_filtered,prpd_filtered,pfc_phase,dms_phase,prpd_phase
1,-0.5453851390612522,2.157339700630425,0.345582560386481,-0.5227423836222984,2.112623737434052,0.34120949229533987,2.458003292010619,-0.49407352499986346,0.4130638190418673
2,0.37704578905179503,-0.9540965193477443,-1.6161034817595437,-0.48653940339724294,1.9328681065974884,0.25948097367632733,2.8732255508579643,0.2046113058632048,1.2105369917229567
3,0.6845227650894772,0.08304888731164572,-0.6352604606865313,-0.45091621228866946,1.7541731458275815,0.1780416626394573,2.895891862366161,0.27831426839034473,1.3309915770063692
4,1.6069536932025243,-1.2998116549008742,-0.6352604606865313,-0.41602733455420365,1.5770865687596547,0.09714126160990393,3.112665098362579,0.5812713938182962,1.464920936568048
5,-0.8528621150989347,-0.6083813837946143,-0.9622081343775354,-0.38202299271879636,1.4021464374746508,0.0170243257501598,3.1354309648809044,0.6598788810513445,1.552529120238255
6,-0.23790816302356982,-0.2626662482414842,-1.1256819712230375,-0.34904775029621615,1.2298774174772384,-0.06207160930469534,-2.9852726662581586,0.8494219655312802,1.630603790893985
7,1.2994767171648423,-0.9540965193477443,-1.1256819712230375,-0.31723922442333086,1.0607872049936742,-0.13991779855779146,-2.963376429474552,0.9281996697314486,1.7045736107520395
8,0.6845227650894772,0.08304888731164572,-1.2237662733303387,-0.2867268859143331,0.8953631665722457,-0.21629593461487712,-2.82771321436388,1.0656324063951685,1.7642327128016841
9,1.9144306692402067,-0.2626662482414842,-1.2237662733303387,-0.25763096172459865,0.7340692236029412,-0.29099965097710795,-2.8076461821673897,1.1433691238491628,1.8304120417570042
10,-0.8528621150989347,-1.2998116549008742,-1.2237662733303387,-0.23006145226812807,0.5773430078335667,-0.36383586569289816,-2.688934082132131,1.2514043346821224,1.8811486248803848
11,0.6845227650894772,-0.9540965193477443,-1.2237662733303387,-0.204117272766629,0.42559330830248415,-0.43462595299613993,-2.67203280813588,1.327762399545944,1.942118724174805
12,0.37704578905179503,-0.6083813837946143,-1.2891558080685397,-0.1798855240299786,0.2791978250676388,-0.5032067340804866,-2.5660139280477288,1.4171547316978705,1.9875972353342033
13,1.9144306692402067,1.120194293971036,-1.2891558080685397,-0.15744089460847271,0.13850124028159633,-0.5694312815240421,-2.554419935023118,1.4920620579116681,2.044726678635093
14,-1.775293043211982,-1.2998116549008742,-1.0556217554321081,-0.13684519348942287,0.003813612503048548,-0.633169535048851,-2.4596036226250884,1.5686843439134948,2.0866958542193266
15,-0.23790816302356982,-0.9540965193477443,-1.0556217554321081,-0.11814701008895247,-0.1245909038123299,-0.6943087292555777,-2.457108886253849,1.6421538344547255,2.1407935294339158
16,0.0695688130141125,-1.2998116549008742,-1.1256819712230375,-0.10138149606815615,-0.2464750145190808,-0.7527536366630946,-2.3742926572828145,1.7095286426626493,2.180201820834919
17,0.37704578905179503,-1.2998116549008742,-1.1256819712230375,-0.08657026202677501,-0.3616389207120558,-0.8084266317161198,-2.388340962051706,1.7815965090644659,2.2317813996838867
18,-0.8528621150989347,-1.2998116549008742,-1.1256819712230375,-0.07372138176432935,-0.4699206377878067,-0.8612675833592119,-2.3217522780929523,1.8419815652349,2.269188958750576
19,-1.775293043211982,-1.2998116549008742,-1.1801732501715383,-0.06282949707880986,-0.571196007069343,-0.9112335853763809,-2.3688370434414683,1.91268481643145,2.3185939995243046
20,-0.23790816302357004,-0.9540965193477443,-0.9840046459569358,-0.053876016505777384,-0.6653784118218247,-0.9582985350718577,-2.330578348550848,1.967599560945573,2.354352649185974
21,0.37704578905179503,-1.2998116549008742,-1.0275976691157365,-0.04682940227214454,-0.7524182128194424,-1.0024525720756416,-2.452159361947645,2.036967777384098,2.401822657324985
22,0.0695688130141125,-0.2626662482414842,-0.8314290649011338,-0.0416455414242249,-0.8323019215932052,-1.0437013900711518,-2.4757197773742217,2.0874728850492814,2.4361645219817785
23,-0.23790816302357004,-0.6083813837946143,-0.8314290649011338,-0.038268199093722456,-0.9050511318910945,-1.0820654349833962,-2.769949472294235,2.155525470542531,2.48187288856829
24,0.6845227650894772,-0.2626662482414842,-0.8314290649011338,-0.03662955323037791,-0.9707212315214346,-1.117579003552194,-2.9118584326080037,2.2023817542989073,2.5149582467619744
25,-1.160339091136617,-1.2998116549008742,-1.0275976691157365,-0.036650810505400026,-1.0293999174567512,-1.150289256207547,2.918704387789872,2.269127282331735,2.5590355805972886
26,0.37704578905179503,-0.2626662482414842,-1.0275976691157365,-0.03824290289360679,-1.0812055368644824,-1.1802551578068927,2.7824610502940805,2.3128909980153334,2.5909807235961204
27,4.98920042961703,-1.2998116549008742,-1.0275976691157365,-0.04130726416477217,-1.1262852759237305,-1.2075463592209703,2.5173387020176134,2.3783272980176395,2.633530083290229
28,-0.8528621150989347,-1.2998116549008742,-1.0275976691157365,-0.04573668502254426,-1.1648132173287666,-1.232242032134285,2.4902504175272537,2.4194097934584584,2.664424637856124
29,0.0695688130141125,-0.9540965193477443,-1.0275976691157365,-0.05141624401232803,-1.196988286566956,-1.254429668858106,2.387156907555652,2.4835242284971457,2.7055320326023753
30,0.37704578905179503,-1.2998116549008742,-1.2237662733303387,-0.05822430790563453,-1.2230321065203273,-1.2742038584314153,2.412846899910991,2.522230561855215,2.7354503947696194
31,-0.23790816302357004,-0.9540965193477443,-1.2237662733303387,-0.06603359094823277,-1.2431867797094294,-1.291665049763461,2.378696035669085,2.585000264585628,2.7751923832167407
32,-1.160339091136617,-1.2998116549008742,-1.2237662733303387,-0.07471225894956163,-1.2577126174743485,-1.3069183120597199,2.4263220358806645,2.62155485116077,2.8042016703431423
33,-1.160339091136617,-0.9540965193477443,-1.2237662733303387,-0.0841250625614624,-1.2668858353831214,-1.3200721023368498,2.423649236320784,2.6829468012378417,2.842651073312779
34,0.0695688130141125,-1.2998116549008742,-1.2237662733303387,-0.09413448397393748,-1.2709962340602436,-1.3312370495153543,2.4813321013477756,2.717510716542129,2.8708168776049336
35,0.9919997411271597,0.4287640228647759,-1.4199348775449412,-0.1046018822544542,-1.2703448844200838,-1.3405247643541167,2.495215674433552,2.777481586659657,2.9080471605296427
36,-0.5453851390612524,-1.2998116549008742,-1.2237662733303387,-0.11538862419672925,-1.2652418358913669,-1.348046684306904,2.5579025289545494,2.8101642761313133,2.9354377818051147
37,-0.8528621150989347,-0.9540965193477443,-1.2237662733303387,-0.12635718892229547,-1.2560038654049193,-1.353912962225844,2.581588337969005,2.8686599944220683,2.9715263863031063
38,-0.8528621150989347,-1.2998116549008742,-1.2237662733303387,-0.13737223496726336,-1.2429522835526605,-1.3582314077204645,2.6468612597673484,2.899527074352684,2.9982158786980966
39,-1.4678160671742995,0.4287640228647759,-1.0275976691157365,-0.14830161862322072,-1.2264108126764126,-1.3611064898664704,2.67692272548083,2.956482068102534,3.033246615060226
40,-0.5453851390612522,-1.2998116549008742,-1.0275976691157365,-0.1590173529029728,-1.206703550146272,-1.3626384097574455,2.743512640018217,2.985560280853605,3.059316787948517
41,-0.8528621150989347,-0.6083813837946142,-0.8314290649011338,-0.16939649819886576,-1.184153028768956,-1.3629222510161734,2.7780510601923623,3.040896379392287,3.0933813072574052
42,-0.8528621150989347,-1.2998116549008742,-0.8314290649011338,-0.17932197822610169,-1.159078384806034,-1.3620472157626158,2.845245870006541,3.0681763794995844,3.1189227240910484
43,-0.5453851390612524,-0.6083813837946143,-0.8314290649011338,-0.18868331760165924,-1.131793642444875,-1.3600959526210055,2.8831370579423443,3.121801349368326,-3.1310642483448583
44,0.6845227650894772,-1.2998116549008742,-0.8314290649011338,-0.19737729995612308,-1.102606122115917,-1.357143982122097,2.950518940244107,-3.135946563113952,-3.105952249529372
45,0.0695688130141125,-0.2626662482414842,-0.8314290649011338,-0.20530854756582656,-1.0718149790420337,-1.3532592233634468,2.9910639409656388,-3.084140883976186,-3.0735120621192973
46,-0.5453851390612524,0.7744791584179058,-0.8314290649011338,-0.21239002486033404,-1.0397098777050335,-1.3485016241268646,3.0583815924870748,-3.0606259826764104,-3.0487222662946367
47,0.37704578905179503,-0.9540965193477443,-1.0275976691157365,-0.2185434685653979,-1.0065698071180214,-1.342922894919231,3.1011304223582052,-3.010765996873921,-3.016925401823297
48,0.0695688130141125,-0.6083813837946143,-1.0275976691157365,-0.22369974682656268,-0.9726620404298506,-1.3365663456801384,-3.1149532644992446,-2.989290763678152,-2.9923444072827934
49,0.37704578905179503,0.08304888731164572,-1.0275976691157365,-0.22779914889322972,-0.9382412402835306,-1.3294668222637156,-3.0702969610565494,-2.941523907095158,-2.961071163987709
50,-0.8528621150989347,-0.2626662482414842,-1.2237662733303387,-0.2307916061019364,-0.9035487088859826,-1.3216507383369338,-3.00350097536374,-2.9222458060423246,-2.9365816745343216
51,-1.775293043211982,-0.9540965193477443,-1.2237662733303387,-0.23263684398409012,-0.8688117794460298,-1.3131361971024709,-2.9571344026194417,-2.8767437553553608,-2.905709866647184
52,0.0695688130141125,-0.9540965193477443,-1.4199348775449412,-0.2333044645786716,-0.8342433436277843,-1.3039331962725706,-2.890693080065115,-2.8598644977837115,-2.8811933488562387
53,0.0695688130141125,-0.6083813837946143,-1.4199348775449412,-0.23277395803559214,-0.8000415079113604,-1.2940439090128986,-2.8427466979513483,-2.8168265358258555,-2.8506009419276346
54,-0.5453851390612524,-0.6083813837946143,-1.4199348775449412,-0.2310346435750979,-0.7663893704583598,-1.2834630331826304,-2.7766812747202225,-2.8025964954051723,-2.8259403957690092
55,-0.5453851390612524,-0.9540965193477443,-1.4199348775449412,-0.22808554122825747,-0.7334549094322201,-1.2721782011404015,-2.727238645376649,-2.7622525011835757,-2.7955081432377007
56,-0.23790816302356982,-0.9540965193477443,-1.4199348775449412,-0.22393517675033076,-0.7013909735556759,-1.2601704426270908,-2.6615501864312763,-2.7509746833417275,-2.7705907540794343
57,-0.5453851390612524,-0.9540965193477443,-1.4199348775449412,-0.21860132257500248,-0.6703353657354564,-1.247414693686103,-2.610660463056317,-2.7135867988746667,-2.740204628911209
58,1.6069536932025243,0.4287640228647759,-1.4199348775449412,-0.21211067804517203,-0.6404110108126431,-1.2338803451474896,-2.5453344280348054,-2.705618798131119,-2.714924118661944
59,-1.4678160671742995,-0.2626662482414842,-1.2237662733303387,-0.20449849250437396,-0.6117261989081062,-1.2195318248268436,-2.493020405876102,-2.6714801832353645,-2.6844773912074698
60,-0.5453851390612524,-0.9540965193477443,-1.0275976691157365,-0.19580813484350928,-0.5843748961367128,-1.204329208235368,-2.4280293144107596,-2.667231488794127,-2.6587359495334053
61,-1.160339091136617,-0.9540965193477443,-1.0275976691157365,-0.18609061268539617,-0.5584371142809085,-1.1882288531906544,-2.3742926706668066,-2.6366596000754123,-2.6281308244333323
62,-0.8528621150989347,-0.9540965193477443,-1.0275976691157365,-0.17540404413190414,-0.5339793304401306,-1.1711840541313,-2.309597459731785,-2.6365799915086146,-2.601840560989209
63,-0.23790816302357004,-0.9540965193477443,-1.0275976691157365,-0.16381308564204394,-0.5110549473378595,-1.153145712061632,-2.2544220613216126,-2.6099004765688,-2.5709893385579647
64,0.6845227650894772,-0.2626662482414842,-1.0275976691157365,-0.1513883212430297,-0.4897047853886203,-1.1340630158885714,-2.1899723962283857,-2.614453135919321,-2.54407324172489
65,-0.8528621150989347,-1.2998116549008742,-1.0275976691157365,-0.13820562022433264,-0.46995759872634396,-1.1138841305779554,-2.133326200231505,-2.5919690077322124,-2.51289900122433
66,0.6845227650894772,-0.9540965193477443,-1.0275976691157365,-0.12434547189836674,-0.4518306087479414,-1.0925568871858544,-2.06905998416553,-2.601580093309826,-2.4852914103063526
67,0.6845227650894772,-0.2626662482414842,-1.0275976691157365,-0.10989230654327006,-0.4353300500637985,-1.0700294694881949,-2.01089606562402,-2.5835203961526485,-2.453728225624022
68,-0.23790816302356982,-0.9540965193477443,-1.0275976691157365,-0.09493381139507756,-0.4204517251028417,-1.0462510916646912,-1.9467385152898742,-2.5984970864437,-2.4253748344024957
69,1.6069536932025243,1.120194293971036,-1.2237662733303387,-0.0795602497518522,-0.40718156502641106,-1.0211726613000165,-1.8869957552511343,-2.5849417710627485,-2.393367544606596
70,-1.4678160671742995,-0.9540965193477443,-1.2237662733303387,-0.06386378996561125,-0.39549619580849704,-0.9947474218693013,-1.8228583554967641,-2.6053565847440217,-2.3642249687937626
71,-0.5453851390612524,-0.6083813837946143,-1.2237662733303387,-0.04793784948407489,-0.3853635089475766,-0.9669315689348563,-1.7614621593610649,-2.5961426094623303,-2.331728542088355
72,0.0695688130141125,-0.9540965193477443,-1.2237662733303387,-0.03187645764915324,-0.37674323620524913,-0.9376848345767428,-1.6972416354482511,-2.6216972291369656,-2.3017634995557947
73,0.37704578905179503,0.4287640228647759,-1.2237662733303387,-0.01577364028823533,-0.3695875274717315,-0.9069710351539452,-1.6341048526114297,-2.6163267005890143,-2.2687420455143172
74,0.37704578905179503,-0.6083813837946143,-1.2237662733303387,0.0002771705855355699,-0.36384153091960447,-0.8747585783122942,-1.5696821348056471,-2.646233758341573,-2.237930215204996
75,1.6069536932025243,1.120194293971036,-1.2237662733303387,0.01618369804850438,-0.35944397506251397,-0.8410209261489765,-1.5047062493084677,-2.643823763043525,-2.2043557189227183
76,-1.775293043211982,-0.9540965193477443,-1.0275976691157365,0.031855348582853285,-0.3563277526400846,-0.805737012559633,-1.4399454352272985,-2.676768422159672,-2.17268036407376
77,1.2994767171648423,0.08304888731164572,-1.0275976691157365,0.04720370438364353,-0.354420505926364,-0.7688916139999303,-1.3730222613737528,-2.676088959729178,-2.138531235157128
78,0.6845227650894772,-0.2626662482414842,-0.8314290649011338,0.062142977943193234,-0.35364521216855316,-0.7304756741347737,-1.3077698274468461,-2.7103277231111322,-2.105981692631925
79,-0.23790816302357004,-0.6083813837946143,-0.6352604606865313,0.07659042836170775,-0.3539207668638864,-0.6904865840328874,-1.2387841605544738,-2.7099494382145317,-2.0712412341039688
80,0.37704578905179503,-0.6083813837946143,-0.8314290649011338,0.0904667397110071,-0.35516256188608664,-0.6489284205894074,-1.1728688052803047,-2.743551072710983,-2.0378113785915497
81,0.6845227650894772,-0.9540965193477443,-0.6352604606865313,0.10369636267859193,-0.35728305521779735,-0.6058121466540715,-1.101702507440721,-2.742069140530019,-2.0024662826437183
82,-0.5453851390612522,-0.6083813837946143,-0.4390918564719289,0.11620782172001269,-0.36019232925165295,-0.5611557769076673,-1.0349360435428763,-2.7732236130888435,-1.9681530697440162
83,0.9919997411271597,-0.2626662482414842,-0.24292325225732644,0.1279339908422486,-0.36379863532468953,-0.514984513924312,-0.9614740636286965,-2.769475954909755,-1.9321920360552791
