trial_index,pfc_mag_standardized,dms_mag_standardized,prpd_standardized,pfc_mag_filtered,dms_mag_filtered,prpd_filtered,pfc_phase,dms_phase,prpd_phase
1,1.7501880973613237,0.08369799335740413,-0.2012563520622038,1.755707803400234,0.1301690694618349,-0.2723474248244271,-0.0032036180514814667,1.36630816061631,1.661045179936978
2,-0.24706662576594285,-0.13032973251367216,1.7639288994930096,1.639149243626107,0.13531316375733612,-0.28165187277745835,0.46450051480191873,1.273252101418191,1.7034369659657327
3,0.03825547753795239,-0.5583851842558248,0.7813362737154029,1.5225240620603762,0.13974242789379857,-0.2925531891433235,0.5343035809747725,1.2668998026541476,1.707001062442902
4,0.03825547753795239,-0.34435745838474846,0.45380539845620066,1.406177622940655,0.14341667521238055,-0.3050839939253053,0.7069077615548002,1.217465170452782,1.7342249927683278
5,0.03825547753795239,-0.5583851842558248,0.29003996082659955,1.2904513482732458,0.1462992293703009,-0.31926708006050963,0.7694864494490927,1.2168676374359542,1.7396350656526383
6,0.6088996841457429,-0.13032973251367216,0.19178069824883892,1.1756802596918687,0.14835725905979674,-0.33511483745504433,0.8826395429981402,1.186127145805409,1.764235592360646
7,-0.5323887290698381,-0.5583851842558248,0.45380539845620066,1.0621906320593304,0.14956210166462688,-0.3526287868500744,0.9410473695156694,1.1915384112645306,1.7715874395935258
8,-0.5323887290698381,-0.13032973251367216,0.36022514838214287,0.9502977867500831,0.14988957253601007,-0.37179923403625564,1.0287064551440153,1.1741860016831598,1.7961438866427217
9,0.03825547753795239,0.9398088968417094,0.29003996082659955,0.8403040481267439,0.14932025476039162,-0.3926050522527097,1.0842737521190877,1.1851422070070137,1.8054685780840987
10,-0.24706662576594285,-0.7724129101269012,0.23545148161673252,0.732496882435368,0.14783976268458668,-0.41501359814106,1.157630568900087,1.1784332646650675,1.830946880441839
11,-0.5323887290698381,2.009947526197091,0.19178069824883892,0.6271472339833309,0.14543897129907213,-0.43898076413943404,1.2110514770245686,1.1942158829354776,1.8422155036955765
12,0.03825547753795239,2.0099475261970916,-0.004737826906682428,0.5245080691425713,0.1421142031147312,-0.4644511676793973,1.2751375116425767,1.196185655839475,1.8690342959410056
13,-0.5323887290698381,-0.5583851842558248,-0.004737826906682428,0.4248131346852434,0.13786736466540708,-0.4913584750862192,1.3268118219184408,1.2160423806670273,1.8821710350974228
14,-0.8177108323737332,0.08369799335740413,-0.004737826906682428,0.32827593328351745,0.13270602644417925,-0.5196258557666253,1.384301343645315,1.2251471270735266,1.910494879909411
15,-0.5323887290698381,-0.5583851842558248,-0.004737826906682428,0.2350889156029814,0.1266434426548626,-0.5491665601376509,1.434471515451333,1.2483887021095597,1.9253907688962213
16,-0.24706662576594285,0.29772571922848057,-0.004737826906682428,0.14542288514634708,0.1196985095623385,-0.5798846127837326,1.4869420816648296,1.2633904706844794,1.9552466444498662
17,0.3235775808418475,0.5117534450995569,-0.004737826906682428,0.059426608767889105,0.11189566240711964,-0.6116756104436981,1.5357576753215736,1.289423296088263,1.9717719073647708
18,0.03825547753795239,-0.13032973251367216,-0.004737826906682428,-0.022773377258496017,0.10326471081720175,-0.6444276125257722,1.5842069712168827,1.309326533595504,2.0031073706567195
19,0.894221787449638,4.150224784907855,-0.9873304526842892,-0.10107277812829613,0.09384061229350102,-0.6780221098769789,1.6317584269607235,1.3376552701154676,2.0211216456909966
20,0.03825547753795239,-0.13032973251367216,-0.9873304526842892,-0.17538938219568925,0.08366318363940212,-0.7123350555646152,1.6768482201863584,1.3616591884041467,2.0538383560854245
21,0.03825547753795239,1.1538366227127859,-0.9873304526842892,-0.24566274747654698,0.07277675188606164,-0.7472379397266785,1.723186020053763,1.391877573521433,2.0731987215841974
22,-0.5323887290698381,-0.3443574583847485,-1.3148613279434913,-0.3118537462320976,0.06122974956654696,-0.7825988894962795,1.765369553367963,1.419337867775199,2.107173462536539
23,-0.24706662576594277,-0.7724129101269012,-1.4786267655730927,-0.37394397973546434,0.04907426335101374,-0.8182837748230799,1.8105158068126814,1.4511166629090728,2.1277404704735403
24,-0.5323887290698381,-0.7724129101269012,-1.5768860281508534,-0.43193507429791445,0.036365548576270154,-0.8541573016178117,1.8501096559862664,1.4815152174115476,2.1628389244586113
25,-0.5323887290698381,-0.7724129101269012,-1.5768860281508534,-0.4858478690750329,0.02316152395686743,-0.890084074833365,1.8940655264637776,1.5145909502857342,2.184480940065434
26,-0.24706662576594285,-0.13032973251367216,-1.3148613279434913,-0.5357215060601314,0.009522260591079686,-0.9259296157449561,1.9312927293503626,1.5475122633314495,2.2205668604649955
27,-0.5323887290698381,-0.7724129101269012,-1.4084415780175492,-0.5816124327810631,-0.004490522183258242,-0.9615613196886831,1.9740434802096987,1.581677671708622,2.2431630194382857
28,-0.8177108323737332,-0.34435745838474846,-1.4786267655730927,-0.6235933283331553,-0.018813943686007906,-0.9968493426464871,2.0090608244125168,1.6167904681616219,2.2801043119044975
29,-0.24706662576594285,-0.7724129101269012,-1.5332152447829597,-0.6617519633934775,-0.03338442328313401,-1.0316674070852698,2.050579472584709,1.6518865346523466,2.303546392899566
30,-0.8177108323737332,-0.7724129101269012,-1.5768860281508534,-0.6961900047843558,-0.04813810991706245,-1.0658935192648877,2.083495613897785,1.6889292610994469,2.3412190683795866
31,-0.8177108323737332,-0.7724129101269012,-1.7734045533063747,-0.7270217750600231,-0.06301127525776427,-1.0994105918950863,2.1237457841001763,1.7248385821697947,2.3654125521318345
32,-0.24706662576594277,0.5117534450995569,-1.7734045533063747,-0.7543729775091111,-0.07794066787866977,-1.1321069676835465,2.1546338732441477,1.7636078459377724,2.4037032080110463
33,-0.8177108323737332,0.5117534450995569,-1.7734045533063747,-0.778379396883203,-0.0928638278537784,-1.1638768410806826,2.193572230680974,1.800249118709606,2.428567749560069
34,-0.5323887290698381,0.08369799335740413,-1.5768860281508532,-0.7991855860437225,-0.1077193628496469,-1.1946205774372616,2.2224791833318926,1.8405904072299308,2.4673750297949653
35,-0.8177108323737332,-0.5583851842558248,-1.5768860281508532,-0.8169435484999454,-0.12244718760116337,-1.224244930815399,2.2600576970083113,1.8779138971450804,2.492844507147855
36,-0.8177108323737332,-0.3443574583847485,-1.3803675029953322,-0.8318114264666916,-0.13698872845631946,-1.252663163699933,2.2870114029937656,1.9197141617926183,2.5320798399610855
37,-0.8177108323737332,-0.7724129101269012,-1.3803675029953322,-0.8439522036958126,-0.15128709399340465,-1.2797950736595531,2.3231796133949194,1.9576981227702404,2.5581020847173415
38,-0.8177108323737332,0.29772571922848057,-1.5768860281508532,-0.8535324320604176,-0.16528721234345864,-1.3055669334602096,2.3481948973355644,2.000879963537435,2.597689895069687
39,-0.8177108323737332,-0.7724129101269012,-1.3803675029953322,-0.8607209907450181,-0.17893593613468042,-1.3299113521998511,2.382902300496868,2.0395279504033548,2.6242261776932363
40,-0.5323887290698381,-0.5583851842558248,-1.3803675029953322,-0.8656878868774065,-0.19218211667804297,-1.3527670657882496,2.405986140736642,2.0840450893193156,2.664103714983499
41,0.03825547753795239,-0.13032973251367216,-1.3803675029953322,-0.8686031064244978,-0.20497664976604327,-1.3740786656570412,2.4391847405752514,2.123383966503239,2.69112804311488
