trial_index,pfc_mag_standardized,dms_mag_standardized,relative_value_standardized,pfc_mag_filtered,dms_mag_filtered,relative_value_filtered,pfc_phase,dms_phase,relative_value_phase
1,-0.9202114449111619,2.7745048595875144,1.8073757031124094,-0.9132968410150663,2.555814288037837,1.889935683797241,2.036029337333147,-0.8855243177788099,-0.8916364829395601
2,-0.9202114449111619,3.2012194054341516,1.8073757031124094,-0.9129202949274958,2.487625024595848,1.8929697026124404,2.1885403752247967,-0.5029483502443592,-0.6081069661149777
3,-0.9202114449111619,0.21421758450768716,1.8073757031124094,-0.9125347025966742,2.4184515958732336,1.8955254434220081,2.1902208962979484,-0.4937432140706347,-0.6010382576041552
4,-0.9202114449111619,-0.6392115071855886,1.8073757031124094,-0.9121407643756059,2.3483944568651,1.8975648085114432,2.2638565334905514,-0.28425660995940705,-0.46189625363461373
5,-0.9202114449111619,3.2012194054341516,1.8073757031124094,-0.9117392072808171,2.2775561171714753,1.8990494192608438,2.2658894902916917,-0.27193794508699093,-0.4529194263328569
6,-0.9202114449111619,1.9210757678942383,1.8073757031124094,-0.9113307817773103,2.2060407248785707,1.899940718517726,2.3186348864399204,-0.11534129851991438,-0.3536115596502013
7,-0.9202114449111619,-1.0659260530322263,1.817490861018804,-0.9109162583938952,2.133953652616353,1.9002000766540603,2.3209243252788188,-0.10055314310120365,-0.3431555679333843
8,-0.9202114449111619,-0.6392115071855886,1.825068378685432,-0.9104964241799064,2.0614010895641766,1.8997889010300786,2.3636217486619233,0.0286190577381061,-0.2631636359855314
9,-0.9202114449111619,0.21421758450768716,1.8309541440595605,-0.9100720790152128,1.9884896428767795,1.898668748562411,2.366119646968776,0.045528613174394425,-0.2514442804921352
10,-0.9202114449111619,-0.6392115071855886,1.8356556899024694,-0.9096440317864434,1.9153259516497532,1.896801441069739,2.402799133759006,0.1572583803619388,-0.1829989258079723
11,-0.9202114449111619,-0.21249696133895057,1.8394959916012696,-0.9092130964434618,1.8420163160653662,1.8941491830460842,2.405476576191814,0.17606276516286906,-0.17015006947108405
12,-0.9202114449111619,1.0676466762009629,1.8459072011900752,-0.908780087951353,1.7686663437837666,1.8906746814905262,2.438105636648655,0.2754039279039194,-0.10941586298987584
13,-0.9202114449111619,-0.6392115071855886,1.852318410778881,-0.9083458181545183,1.6953806150534156,1.8863412674026738,2.440943630303159,0.2959398664323411,-0.0955309820268793
14,-0.7888661566590939,0.21421758450768716,1.858723209158098,-0.9079110915707919,1.6222623674645094,1.881113018535673,2.4706404398810555,0.3858471475363969,-0.04031326606126623
15,-0.9202114449111619,5.334792134667341,1.8651216027389357,-0.9074767011339775,1.549413200780909,1.8749548829830796,2.4736259871239015,0.40798914697435573,-0.02546295999027749
16,-0.9202114449111619,1.9210757678942383,1.8715135979261925,-0.9070434239011508,1.4769328018805359,1.8678328031628355,2.5010914933776403,0.49035828650530927,0.025618739003863474
17,-0.9202114449111619,-0.6392115071855885,1.8714686744457436,-0.9066120167353869,1.4049186895688293,1.8597138397512192,2.5042155987184844,0.5140054848204886,0.04137804125271505
18,-0.9202114449111619,-0.21249696133895057,1.8649868322975889,-0.9061832119671478,1.3334659789596903,1.8505662951122004,2.529920601323933,0.5901347260944967,0.08925117156435883
19,-0.9202114449111619,1.0676466762009627,1.8585114270681018,-0.9057577130321027,1.262667165179601,1.8403598357631659,2.5331771372135368,0.6152033271333763,0.10587238934730119
20,-0.9202114449111619,2.3477903137408767,1.8520424523203638,-0.9053361900815508,1.1926119261691936,1.8290656134161902,2.557454584439452,0.6860257606593225,0.15119090706325455
21,-0.9202114449111619,-0.6392115071855883,1.8455799016238934,-0.904919275562777,1.1233869442366742,1.8166563841343282,2.5608395896281557,0.712444318679264,0.16863342701672585
22,-0.9202114449111619,-0.21249696133895057,1.8391173765594513,-0.904507559768887,1.0550757458317426,1.8031066251442724,2.5839346110819053,0.7786560458975719,0.21187576460475646
23,-0.9202114449111619,0.6409321303543252,1.8326484658918174,-0.9041015863601171,0.9877585588533698,1.7883926488498487,2.587445826900331,0.8063623341924705,0.23010362083497896
24,-0.9202114449111619,-0.6392115071855886,1.8261795552241835,-0.9037018478611818,0.9215121866672614,1.772492713595292,2.609544862340527,0.8684982270407241,0.2716300709587271
25,-0.9202114449111619,5.334792134667341,1.8132865740171002,-0.903308781141889,0.8564098978312469,1.7553871307332534,2.61318140832681,0.8974370496774917,0.2906107453867526
26,-0.9202114449111619,0.640932130354325,1.7939759463411074,-0.9029227628910368,0.7925213303305959,1.7370583675602853,2.6344301428629344,0.9559180282258731,0.33069900022917825
27,-0.9202114449111619,1.4943612220476008,1.7746653378411061,-0.9025441050964851,0.7299124090179289,1.7174911456921877,2.6381922776922075,0.9860396293631003,0.35040260436125126
28,-0.9202114449111619,3.2012194054341516,1.7617852751704397,-0.9021730505472827,0.6686452750237099,1.696672534462857,2.6587071933773085,1.041203484769126,0.3892707815027377
29,-0.9202114449111619,0.21421758450768716,1.748905212499773,-0.9018097683768228,0.6087782261361259,1.6745920389426927,2.6625961295653853,1.0724623628986425,0.4096694823050228
30,-0.7888661566590939,1.9210757678942387,1.729607522613085,-0.9014543496690538,0.5503656674500557,1.6512416821858609,2.682472224739332,1.124584594657298,0.4474916093174953
31,-0.9202114449111619,-0.21249696133895057,1.7103034662608636,-0.901106803151996,0.49345807187990476,1.6266160813298696,2.686489977867126,1.1569386067642964,0.46855921626540337
32,-0.9202114449111619,1.0676466762009629,1.6845882003198367,-0.900767051002464,0.4381019503883654,1.6007125171863548,2.7058060855390806,1.2062469439381496,0.5054759746722483
33,-0.9202114449111619,-1.0659260530322263,1.6588729662749295,-0.9004349247819168,0.38433983197762417,1.5735309969789009,2.709955345984454,1.2396566201787158,0.5271876359024779
34,-0.9202114449111619,-0.6392115071855886,1.6331577640942463,-0.9001101615175929,0.33221025359958795,1.545074309902013,2.728777892840377,1.2863413984336425,0.5633140168087117
35,-0.9202114449111619,0.21421758450768716,1.6074362145283336,-0.8997923999392959,0.2817477601582871,1.515348075194653,2.733061912549101,1.3207694057293775,0.5856459906298402
36,-0.9202114449111619,-0.21249696133895057,1.588145146711459,-0.8994811768822041,0.2329829147016365,1.484360782441777,2.7514476335642404,1.3649911320895722,0.621076875916382
37,-0.9202114449111619,0.6409321303543252,1.5688733317826564,-0.8991759238688545,0.18594231875502482,1.4521238238380176,2.7558701230039078,1.4004018372091873,0.6440063552486108
38,-0.7888661566590939,-0.6392115071855883,1.5496015550335989,-0.8988759638871034,0.14064864258988286,1.4186515181693704,2.7738680574471988,1.4422967866254037,0.6788206679029195
39,-0.9202114449111619,0.6409321303543252,1.523937757542075,-0.8985805083837995,0.09712066509753582,1.3839611262921065,2.7784330892516396,1.4786558817180373,0.7023256424575524
40,-0.9202114449111619,-0.21249696133895057,1.491881964863294,-0.8982886544942642,0.05537332286439069,1.3480728579138634,2.796086070273682,1.5183402788044331,0.736589486792063
41,-0.9202114449111619,-1.0659260530322263,1.459858196208465,-0.897999382524368,0.015417768000217342,1.311009869510412,2.8007979871769315,1.5556144443037758,0.7606486325458808
42,-0.9202114449111619,-0.21249696133895085,1.4214615764302916,-0.8977115536969112,-0.022738565766014934,1.2727982532429238,2.818143767117136,1.593187602889726,0.794417706582491
43,-0.9202114449111619,0.21421758450768716,1.3831033278696352,-0.8974239081708677,-0.059091889259820736,1.2334670167741677,2.8230070928095303,1.6313441893856568,0.8190102952108727
44,-0.9202114449111619,-0.6392115071855886,1.3448218925428346,-0.8971350633427178,-0.09364197692156936,1.1930480539172568,2.8400792017918137,1.6668908635824848,0.8523317689220624
45,-0.9202114449111619,1.0676466762009627,1.30018027496895,-0.8968435124424992,-0.12639207946726952,1.151576106086757,2.845098553817791,1.7058975767060378,0.877437591877882
46,-0.9202114449111619,0.6409321303543252,1.2556217539979346,-0.8965476234416154,-0.15734883093975335,1.1090887145587203,2.861926959669111,1.7394896983830912,0.9103515868433877
47,-0.9202114449111619,-0.21249696133895057,1.2047029868276355,-0.8962456382940613,-0.1865221509624727,1.0656261635831912,2.8671069634313637,1.779314274601081,0.9359508901181309
48,-0.9202114449111619,0.6409321303543252,1.1538351320834688,-0.8959356725374212,-0.2139251429624963,1.0212314144296848,2.883718581024848,1.8110122024544018,0.9684916571727442
49,-0.9202114449111619,0.21421758450768716,1.0966260863100152,-0.8956157152847679,-0.23957398902624558,0.9759500304825884,2.88906378398771,1.8516220700655985,0.9945650837178085
50,-0.7888661566590939,-0.6392115071855886,1.0394742495823346,-0.8952836296433029,-0.2634878419222311,0.9298300935389509,2.905482868719779,1.8814754424128444,1.0267619485122568
51,-0.9202114449111619,-0.21249696133895057,0.9888164833590876,-0.8949371535994425,-0.28568871470118146,0.8829221114950906,2.910997654205201,1.9228373651521533,1.0532904859790535
52,-0.7888661566590939,0.6409321303543252,0.9382093749020638,-0.8945739014111986,-0.3062013681841371,0.8352789176404415,2.9272461053183925,1.950885620567674,1.0851686138357586
53,-0.9202114449111619,-1.0659260530322263,0.8876528735534971,-0.8941913655452661,-0.32505319658155635,0.7869555618068379,2.9329346058811137,1.9929653177917932,1.1121335458197055
54,-0.7888661566590939,-0.6392115071855883,0.8435838473739847,-0.8937869191882157,-0.34227411144564257,0.7380091936492017,2.9490321994492135,2.0192379217235192,1.143714564195981
55,-0.9202114449111619,-0.6392115071855886,0.7931219715529462,-0.8933578193504714,-0.35789642413226946,0.6884989383598706,2.9548982107403794,2.0619996526688142,1.1710974236282867
56,-0.9202114449111619,-0.6392115071855886,0.7427105576077285,-0.8929012105703266,-0.3719547269445545,0.6384857651442499,2.9708627783004724,2.086516046359031,1.2023999311911509
57,-0.9202114449111619,0.6409321303543252,0.68591263640875,-0.8924141292147251,-0.3844857731633292,0.5880323488106115,2.976909675117757,2.1299221398579817,1.2301824549374296
58,-0.9202114449111619,-0.21249696133895057,0.6291715131309711,-0.8918935083659157,-0.3955283562287728,0.5372029248519827,2.9927572409204606,2.1526914101718937,1.261222439524383
59,-0.9202114449111619,0.21421758450768716,0.5724871309764693,-0.8913361832802391,-0.4051231883794428,0.4860631384230467,2.998987897153755,2.1967017161562086,1.2893865235737318
60,-0.9202114449111619,-0.6392115071855886,0.5158594332041225,-0.8907388974072464,-0.41331277904302144,0.43467988763940923,3.014732784031255,2.2177219716475727,1.320177706326251
61,-0.9202114449111619,-1.0659260530322263,0.4592883631295478,-0.8900983089622109,-0.42014131320899933,0.38312116165001797,3.021149497417581,2.262293209343014,1.3487053611482716
62,-0.7888661566590939,-0.6392115071855886,0.3963369454573422,-0.889410998050894,-0.4256545299370178,0.33145587395563975,3.036804408402095,2.2815506393934033,1.3792594803210956
63,-0.9202114449111619,-1.0659260530322263,0.3334484792028087,-0.8886734743505704,-0.42989960111498265,0.2797536914669642,3.0434088300516047,2.326635615970859,1.4081327860611177
