positive,negative
0.375,0.18055555555555555
0.06666666666666667,0.4666666666666667
0.08450704225352113,0.6197183098591549
0.47619047619047616,0.2857142857142857
0.125,0.625
0.06666666666666667,0.8
0.4117647058823529,0.5294117647058824
0.05555555555555555,0.6111111111111112
0.35,0.35
0.047619047619047616,0.8253968253968254
0.19047619047619047,0.42857142857142855
0.030303030303030304,0.5757575757575758
0.2413793103448276,0.41379310344827586
0.08333333333333333,0.5833333333333334
0.5,0.0
0.25,0.6875
0.35714285714285715,0.2857142857142857
0.625,0.25
0.14285714285714285,0.42857142857142855
0.09090909090909091,0.6363636363636364
0.08333333333333333,0.9166666666666666
0.25,0.4375
0.75,0.25
0.1111111111111111,0.8888888888888888
0.0,0.5
0.0,0.0
1.0,0.0
0.0,0.6666666666666666
