bin_centers,left_p_high,right_p_high
-0.49,0.41118421052631576,0.0
-0.47,0.32894736842105265,0.08223684210526316
-0.45,0.41118421052631576,0.0
-0.43,0.16447368421052633,0.0
-0.41,0.4934210526315789,0.0
-0.39,0.4934210526315789,0.0
-0.37,0.24671052631578946,0.08223684210526316
-0.35,0.41118421052631576,0.0
-0.33,0.41118421052631576,0.0
-0.31,0.41118421052631576,0.0
-0.29,0.24671052631578946,0.0
-0.27,0.24671052631578946,0.0
-0.25,0.41118421052631576,0.0
-0.23,0.4934210526315789,0.0
-0.21,0.16447368421052633,0.0
-0.19,0.32894736842105265,0.0
-0.17,0.24671052631578946,0.0
-0.15,0.32894736842105265,0.0
-0.13,0.16447368421052633,0.0
-0.11,0.08223684210526316,0.0
-0.09,0.08223684210526316,0.0
-0.07,0.41118421052631576,0.08223684210526316
-0.05,0.16447368421052633,0.08223684210526316
-0.03,0.08223684210526316,0.0
-0.01,0.4934210526315789,0.0
0.01,0.41118421052631576,0.0
0.03,0.24671052631578946,0.0
0.05,0.24671052631578946,0.0
0.07,0.7401315789473685,0.0
0.09,0.5756578947368421,0.0
0.11,0.41118421052631576,0.08223684210526316
0.13,0.6578947368421053,0.16447368421052633
0.15,0.32894736842105265,0.0
0.17,0.8223684210526315,0.0
0.19,0.4934210526315789,0.16447368421052633
0.21,0.41118421052631576,0.0
0.23,0.5756578947368421,0.0
0.25,0.41118421052631576,0.16447368421052633
0.27,0.7401315789473685,0.0
0.29,0.4934210526315789,0.0
0.31,0.24671052631578946,0.0
0.33,0.32894736842105265,0.0
0.35,0.16447368421052633,0.0
0.37,1.069078947368421,0.0
0.39,0.5756578947368421,0.0
0.41,0.41118421052631576,0.08223684210526316
0.43,0.8223684210526315,0.0
0.45,0.6578947368421053,0.0
0.47,0.4934210526315789,0.0
0.49,0.24671052631578946,0.0
0.51,0.4934210526315789,0.16447368421052633
0.53,0.4934210526315789,0.0
0.55,0.41118421052631576,0.0
0.57,0.7401315789473685,0.0
0.59,0.4934210526315789,0.0
0.61,0.4934210526315789,0.0
0.63,0.5756578947368421,0.08223684210526316
0.65,0.08223684210526316,0.0
0.67,0.5756578947368421,0.0
0.69,0.24671052631578946,0.08223684210526316
0.71,0.24671052631578946,0.0
0.73,0.32894736842105265,0.0
0.75,1.1513157894736843,0.0
0.77,0.0,0.0
0.79,0.24671052631578946,0.0
0.81,0.4934210526315789,0.0
0.83,0.24671052631578946,0.08223684210526316
0.85,0.6578947368421053,0.0
0.87,0.32894736842105265,0.0
0.89,0.32894736842105265,0.0
0.91,0.6578947368421053,0.0
0.93,0.08223684210526316,0.0
0.95,0.41118421052631576,0.0
0.97,0.4934210526315789,0.0
0.99,0.16447368421052633,0.0
1.01,0.41118421052631576,0.0
1.03,0.32894736842105265,0.0
1.05,0.41118421052631576,0.0
1.07,0.9046052631578947,0.0
1.09,0.4934210526315789,0.0
1.11,0.24671052631578946,0.08223684210526316
1.13,0.5756578947368421,0.0
1.15,0.9046052631578947,0.0
1.17,0.41118421052631576,0.0
1.19,0.6578947368421053,0.0
1.21,0.6578947368421053,0.08223684210526316
1.23,0.7401315789473685,0.0
1.25,0.41118421052631576,0.0
1.27,0.4934210526315789,0.08223684210526316
1.29,0.32894736842105265,0.0
1.31,0.16447368421052633,0.0
1.33,0.24671052631578946,0.0
1.35,0.16447368421052633,0.0
1.37,0.6578947368421053,0.0
1.39,0.4934210526315789,0.0
1.41,0.16447368421052633,0.0
1.43,0.4934210526315789,0.0
1.45,0.4934210526315789,0.0
1.47,0.32894736842105265,0.0
