,mouse,date,str_name,pfc_name,Stimulus_related_firing_P_value_str,Movement_related_firing_P_value_str,Reward_related_firing_P_value_str,BG_firing_CC_with_PPD_str,BG_firing_CC_with_PPD_P_value_str,Response_magnitude_CC_with_PPD_str,Response_magnitude_CC_with_PPD_P_value_str,Stimulus_related_firing_P_value_pfc,Movement_related_firing_P_value_pfc,Reward_related_firing_P_value_pfc,BG_firing_CC_with_PPD_pfc,BG_firing_CC_with_PPD_P_value_pfc,Response_magnitude_CC_with_PPD_pfc,Response_magnitude_CC_with_PPD_P_value_pfc
0,AKED01,20210721,str_1,pfc_7,1.720738340272461e-08,4.690693039470936e-18,0.00013894089719078217,0.02813967059451327,0.6003409806545534,0.1264270680665045,0.018134137671456725,2.2255933661188525e-11,1.371978975584876e-14,0.3268749649101672,0.02333159543414791,0.6640229809142575,0.1702368436525009,0.0014118894981611674
1,AKED01,20210721,str_3,pfc_8,5.7849167026090625e-05,0.0006206538211204916,0.0005771050305589592,-0.15121797069332252,0.004638124778366595,-0.2696425078102249,3.1490289054092116e-07,0.02947687096932946,0.0011893198703578087,0.16868389517896842,-0.02035609728555722,0.7047188636607162,0.04615440536511681,0.39000941489005025
2,AKED01,20210721,str_5,pfc_92,5.417467959733134e-07,0.39870727553582885,0.9762179706404299,-0.08407078642228169,0.11694792600091464,-0.12218089187388839,0.02243637735158828,0.17244089975926435,0.48356457127285535,0.024876493748347054,0.0963563465834733,0.07220672790697062,0.10592339208908379,0.04801011728402873
3,AKED01,20210722,str_1,pfc_7,0.06245875712285082,0.19520503834532443,0.9566993362237992,0.1374659656158013,0.011046444562373208,0.16524165254847356,0.002204154003617707,0.05908145819430329,0.0918737035212076,0.2771773706961028,0.26252719158902516,8.807003543483291e-07,0.3481481229389783,3.756058421148694e-11
4,AKED01,20210722,str_15,pfc_12,0.686482926869945,0.6835101629465017,0.42845823454915577,0.15442899680800604,0.004257703294216052,0.16372740155242083,0.0024228807794193265,0.6991692813155825,0.24800072164664833,0.01153697009701524,-0.28274207451102146,1.0917573432552759e-07,-0.40971123502345663,3.0969894802918955e-15
5,AKED01,20210722,str_17,pfc_60,0.5561768565728155,1.2057238708028798e-07,0.0009512733130313913,-0.0513749808488662,0.3442296179132517,-0.2188217275216906,4.592287708681185e-05,0.5020092988028849,0.030510025706863154,0.7367997771876817,-0.10318498878259597,0.05697267127963584,-0.10145319862110794,0.06128887553231623
6,AKED01,20210722,str_2,pfc_82,0.0026506534785084132,0.03834446001711469,0.3320110759987972,0.10617106770992517,0.0501226728981461,0.08087869833440323,0.13609815071051,0.7793842369160319,0.0005276117264746343,0.0663922367388878,0.3191580227737395,1.6352781422377185e-09,0.3445799097522571,6.106187175745427e-11
7,AKED01,20210722,str_6,pfc_12,0.009493911668649255,3.836514232576891e-08,3.517405681275867e-05,-0.1703641006158932,0.0015910797944746326,-0.33411666028247,2.4510543214681483e-10,0.6991692813155825,0.24800072164664833,0.01153697009701524,-0.28274207451102146,1.0917573432552759e-07,-0.40971123502345663,3.0969894802918955e-15
8,AKED01,20210722,str_7,pfc_49,0.4195834341786222,1.7335193302662259e-06,0.00015728327906719197,0.30264396538527244,1.1810564209490363e-08,0.32365468792059665,9.343941006946065e-10,0.3189317446414277,1.594382456637826e-05,0.0006339090050916037,0.007588077477301473,0.8889678708953649,-0.23001776910012256,1.7898836241142424e-05
9,AKED01,20210722,str_7,pfc_51,0.4195834341786222,1.7335193302662259e-06,0.00015728327906719197,0.30264396538527244,1.1810564209490363e-08,0.32365468792059665,9.343941006946065e-10,0.3010266171951954,0.29377802983102574,0.939846557500147,0.2734550864143027,2.9094236624212663e-07,0.30668206676401716,7.365048526078663e-09
