direction,pfc_signal_mvt_coeff,pfc_signal_mvt_sem,pfc_mvt_mvt_coeff,pfc_mvt_mvt_sem,pfc_reward_mvt_coeff,pfc_reward_mvt_sem,pfc_signal_reward_coeff,pfc_signal_reward_sem,pfc_mvt_reward_coeff,pfc_mvt_reward_sem,pfc_reward_reward_coeff,pfc_reward_reward_sem
left,0.021676400231003742,0.00362808745237356,0.023775638065195226,0.0033670233681098605,0.0027312317782191946,0.0034286678688615927,0.02496568534848125,0.003766334451015021,0.03260770907815048,0.003526716847275594,0.026326137258806295,0.0036520953458318802
right,0.025629845193984598,0.003338379375908601,0.030955651568405563,0.003328255854385752,7.264379111153616e-05,0.00359378419741656,0.028502083747293485,0.004122324952180483,0.030829361711349892,0.003971781037847402,0.027216568920663622,0.0040395137935716145
