,mouse,date,str_name,pfc_name,Stimulus_related_firing_P_value_str,Movement_related_firing_P_value_str,Reward_related_firing_P_value_str,BG_firing_CC_with_PPD_str,BG_firing_CC_with_PPD_P_value_str,Response_magnitude_CC_with_PPD_str,Response_magnitude_CC_with_PPD_P_value_str,Stimulus_related_firing_P_value_pfc,Movement_related_firing_P_value_pfc,Reward_related_firing_P_value_pfc,BG_firing_CC_with_PPD_pfc,BG_firing_CC_with_PPD_P_value_pfc,Response_magnitude_CC_with_PPD_pfc,Response_magnitude_CC_with_PPD_P_value_pfc,peak,peak_width,spike_count_in_peak
0,AKED01,20210722,str_1,pfc_7,0.06245875712285082,0.19520503834532443,0.9566993362237992,0.1374659656158013,0.011046444562373208,0.16524165254847356,0.002204154003617707,0.05908145819430329,0.0918737035212076,0.2771773706961028,0.26252719158902516,8.807003543483291e-07,0.3481481229389783,3.756058421148694e-11,23,0.0015,53.0
1,AKED01,20210722,str_15,pfc_12,0.686482926869945,0.6835101629465017,0.42845823454915577,0.15442899680800604,0.004257703294216052,0.16372740155242083,0.0024228807794193265,0.6991692813155825,0.24800072164664833,0.01153697009701524,-0.28274207451102146,1.0917573432552759e-07,-0.40971123502345663,3.0969894802918955e-15,25,0.002,62.0
2,AKED01,20210722,str_6,pfc_12,0.009493911668649255,3.836514232576891e-08,3.517405681275867e-05,-0.1703641006158932,0.0015910797944746326,-0.33411666028247,2.4510543214681483e-10,0.6991692813155825,0.24800072164664833,0.01153697009701524,-0.28274207451102146,1.0917573432552759e-07,-0.40971123502345663,3.0969894802918955e-15,24,0.002,64.0
3,AKED01,20210722,str_7,pfc_49,0.4195834341786222,1.7335193302662259e-06,0.00015728327906719197,0.30264396538527244,1.1810564209490363e-08,0.32365468792059665,9.343941006946065e-10,0.3189317446414277,1.594382456637826e-05,0.0006339090050916037,0.007588077477301473,0.8889678708953649,-0.23001776910012256,1.7898836241142424e-05,22,0.003,120.0
4,AKED01,20210722,str_7,pfc_51,0.4195834341786222,1.7335193302662259e-06,0.00015728327906719197,0.30264396538527244,1.1810564209490363e-08,0.32365468792059665,9.343941006946065e-10,0.3010266171951954,0.29377802983102574,0.939846557500147,0.2734550864143027,2.9094236624212663e-07,0.30668206676401716,7.365048526078663e-09,23,0.0015,52.0
5,AKED01,20210722,str_10,pfc_26,0.007246968336489804,0.0007327238412874047,0.23956749960079138,0.22221489346546658,3.468911344091684e-05,0.34023239143651357,1.0947296696576034e-10,0.001887723216496545,0.05049331639391647,0.3314857790244983,0.34654360437750326,4.676922441511644e-11,0.3565798373583489,1.162394538407944e-11,25,0.0015,53.0
6,AKED01,20210723,str_1,pfc_71,0.005370634501582973,0.41767293821639906,0.9298243639909307,-0.09271055651048668,0.06199553609355863,-0.14215359744145614,0.004103768449935072,0.017185245673974482,0.005830507162260936,2.401854539974291e-30,0.18427708809415333,0.00018872050802008788,0.15432078051596304,0.0018171727755918459,23,0.003,91.0
7,AKED01,20210723,str_1,pfc_10,0.005370634501582973,0.41767293821639906,0.9298243639909307,-0.09271055651048668,0.06199553609355863,-0.14215359744145614,0.004103768449935072,0.7267618131935778,0.940666222794642,0.3614075268785393,-0.1439345452960774,0.0036560546070825346,-0.2347935290172887,1.7235187482274137e-06,24,0.0015,39.0
8,AKED01,20210723,str_6,pfc_21,3.34919356895632e-06,0.00010135674307023331,0.04376425003898621,0.11194505414642791,0.024085012035048602,0.18602477304699158,0.00016344809253880603,0.15277061720100893,0.712727520436306,0.8421628667243535,-0.1365833598259919,0.0058419623802544104,-0.1621871081917624,0.0010393826924301477,25,0.0015,37.0
9,AKED01,20210728,str_3,pfc_4,0.03492947834244121,0.00024011173279431052,0.7913800606612383,0.5741871869324158,3.9043203023703456e-33,0.6559814311820624,6.603042513928911e-46,0.5238557169746312,0.5337761480593621,0.02922471272594712,0.3047092286924535,3.243502006305545e-09,0.36129251580818667,1.3292182537959131e-12,23,0.003,204.0
