trial_index,pfc_mag_standardized,dms_mag_standardized,relative_value_standardized,pfc_mag_filtered,dms_mag_filtered,relative_value_filtered,pfc_phase,dms_phase,relative_value_phase
238,-0.48683805049915,-0.6283049623404687,0.48104576001753513,0.208182692454479,-0.6831634046784542,0.5024163931035731,0.22395417325220465,-3.0272099965605346,1.1341675760472159
239,-0.599137033797279,-0.6283049623404687,0.43229510717632746,0.20896006270290557,-0.6861310106236584,0.4682482513272287,0.26394247917937436,-3.0312553848041826,1.1669315896117722
240,0.8607497490783952,-0.12169870892180246,0.36267167684895407,0.20958387844248855,-0.6892332462558288,0.4335015740640918,0.2767397584273402,-3.004863507426511,1.1980080973057081
241,0.41155381588587986,-0.12169870892180246,0.3018629768124404,0.21005490794387494,-0.6924601092985518,0.3982661251156968,0.3165851259156994,-3.00894851389506,1.2304811628808872
242,-0.37453906720102154,-0.6283049623404687,0.2487530110617744,0.2103728888106116,-0.6957993563975755,0.36263338885762914,0.3291613011611621,-2.981779128452245,1.2614171417371718
243,-0.2622400839028927,-0.6283049623404687,0.20236707516208893,0.21053652234660658,-0.6992364806907375,0.326695798812553,0.3688918021519703,-2.985782881603017,1.293516632473114
244,-0.8237350003935363,-0.6283049623404687,0.16185386791599418,0.2105435002266453,-0.7027547056664174,0.2905459678137174,0.3813750212172622,-2.9577815909290925,1.3242509462338095
245,-0.2622400839028927,-0.6283049623404687,0.1264698677976274,0.21039056352570507,-0.7063349955444123,0.2542759278556858,0.42101555488022496,-2.9615884160585244,1.355896209712616
246,-0.7114360170954077,-0.6283049623404687,0.09556568742081285,0.2100735930404612,-0.7099560820215582,0.2179763873457409,0.4335313675549667,-2.932709990270752,1.3863699942486856
247,1.759141615463425,-0.6283049623404687,0.06857415561073522,0.20958772796762282,-0.7135945071565208,0.1817360130462552,0.47309805190218096,-2.936212040761155,1.4174831724804435
248,0.07465686599149358,-0.6283049623404687,0.032521647381396054,0.20892750785585384,-0.7172246822767777,0.145640743556595,0.485763412215586,-2.9064221197884375,1.4476406063577998
249,-0.03764211730663537,-0.6283049623404687,-0.03848955809996986,0.2080870310798476,-0.720818962942799,0.10977314073982414,0.5252590287820568,-2.909521428599815,1.478147495628998
250,0.18695584928962256,-0.2905674600613579,-0.1129885938760876,0.20706012245232486,-0.7243477401460249,0.0742117850617426,0.5381777417822212,-2.8787976970395013,1.5079366287132547
251,0.8607497490783952,-0.6283049623404687,-0.19053388039243135,0.2058405028440613,-0.7277795480134214,0.0390307203664491,0.5775889458371349,-2.8814075913232298,1.5377676196949037
