trial_index,pfc_mag_org,dms_mag_org, pfc_mag_standardized,dms_mag_standardized,prpd_standardized,pfc_mag_filtered,dms_mag_filtered,pfc_phase,dms_phase
1,4.0,2.0,0.9102015750818949,1.3075464156976044,0.0,0.9545742922827493,1.5233731635871453,-0.46243656255445276,-1.0071487902327037
2,2.0,0.6666666666666667,-0.029756589954600537,0.016231610677625578,-1.0,0.9141516938010938,1.4602868249292411,0.10888321049606361,-0.6334466837552571
3,2.0,2.0,-0.029756589954600537,1.3075464156976044,-0.5,0.872694738484132,1.3992750400293914,0.15617915336393312,-0.6415412209845098
4,0.666666666666667,0.6666666666666666,-0.6563953666455974,0.01623161067762547,-0.5,0.8302665668939518,1.340507904286843,0.39451044649694833,-0.4190913614427647
5,0.666666666666667,0.6666666666666666,-0.6563953666455974,0.01623161067762547,-0.6666666666666666,0.7869346713385272,1.284135573978157,0.4436736142350292,-0.4285358437835587
6,2.0,2.0,-0.029756589954600537,1.3075464156976044,-0.75,0.7427707078309178,1.2302866888402324,0.596439909375442,-0.25748569942167443
7,3.3333333333333335,0.6666666666666666,0.5968821867363965,0.01623161067762547,-0.75,0.6978503174781028,1.179067016695926,0.6460287026838026,-0.2679801253953604
8,4.0,0.6666666666666666,0.9102015750818949,0.01623161067762547,-0.8,0.6522529584917641,1.1305583435415587,0.7603212208922935,-0.126148049442949
9,2.0,0.0,-0.029756589954600537,-0.6294257918323639,-0.8,0.6060617463982891,1.0848176295315706,0.8100315896982053,-0.13753177884324827
10,0.0,0.6666666666666666,-0.9697147549910959,0.01623161067762547,-0.8,0.5593632974053555,1.0418764483143221,0.9027164112847572,-0.01590224650803404
11,8.666666666666666,0.0,3.103437293500384,-0.6294257918323639,-0.8,0.5122475682733304,1.0017407238108726,0.952485269332091,-0.02798209368217297
12,4.666666666666667,0.0,1.2235209634273936,-0.6294257918323639,-0.8333333333333334,0.46480768494622543,0.9643907744996607,1.0314752698132317,0.07828167726486948
13,7.333333333333333,0.6666666666666666,2.476798516809387,0.01623161067762547,-0.8333333333333334,0.4171397515692632,0.9297816706805397,1.0813029372147795,0.06580413442119523
14,1.333333333333333,0.0,-0.34307597830009917,-0.6294257918323639,-0.7142857142857143,0.369342632143072,0.8978439053170862,1.1509251472714799,0.15981547027021087
15,0.666666666666667,0.0,-0.6563953666455974,-0.6294257918323639,-0.7142857142857143,0.3215176994587444,0.8684843741095339,1.200827537746362,0.14737533591294888
16,2.666666666666667,0.0,0.2835627983908981,-0.6294257918323639,-0.75,0.2737685492463784,0.8415876555649902,1.263696124617613,0.23142902189558068
17,2.0,0.0,-0.029756589954600537,-0.6294257918323639,-0.75,0.2262006799398594,0.8170175770060655,1.3136899369559805,0.21959538722583
18,7.333333333333333,0.0,2.476798516809387,-0.6294257918323639,-0.75,0.1789211391741963,0.7946190475595251,1.3714991048206755,0.2955511402120794
19,2.6666666666666665,0.0,0.2835627983908979,-0.6294257918323639,-0.7777777777777778,0.13203813771608036,0.7742201341126973,1.4215971502851004,0.284991642262906
20,1.3333333333333335,0.0,-0.34307597830009895,-0.6294257918323639,-0.6777777777777778,0.08566063144550828,0.7556343510887523,1.475503536338517,0.3544370934006292
21,0.6666666666666665,1.3333333333333335,-0.6563953666455975,0.6618890131876151,-0.7000000000000001,0.03989787311656666,0.7386631297981611,1.5257135289545636,0.3458564232249036
22,3.3333333333333335,0.0,0.5968821867363965,-0.6294257918323639,-0.6,-0.005141062582699751,0.7230984282255182,1.576538966384879,0.41016458850109205
23,1.3333333333333335,3.333333333333333,-0.34307597830009895,2.5988612207175827,-0.6,-0.04934777587779984,0.7087254376867274,1.626863588807009,0.4042311801306645
24,2.666666666666667,6.0,0.2835627983908981,5.181490830757541,-0.6,-0.09261505563901583,0.6953253393252743,1.6752107236982845,0.46456981473050796
25,2.6666666666666665,2.0,0.2835627983908979,1.3075464156976044,-0.7000000000000001,-0.13483740526901977,0.6826780617402913,1.7256481554684233,0.46184873750533734
26,1.3333333333333335,0.666666666666667,-0.34307597830009895,0.016231610677625793,-0.7000000000000001,-0.17591157613115857,0.6705649922182229,1.7719702694440045,0.519175780082561
27,1.3333333333333333,2.6666666666666665,-0.34307597830009906,1.953203818207594,-0.7000000000000001,-0.21573710360312826,0.6587715982749788,1.8225148475601625,0.5200828207018918
28,1.3333333333333333,0.666666666666667,-0.34307597830009906,0.016231610677625793,-0.7000000000000001,-0.254216840310766,0.6470899218270362,1.8671600485238684,0.5751473258106342
29,1.3333333333333333,5.333333333333334,-0.34307597830009906,4.535833428247552,-0.7000000000000001,-0.2912574806471047,0.6353209129417565,1.9178029454018113,0.5799308237241687
30,0.6666666666666666,1.3333333333333335,-0.6563953666455975,0.6618890131876151,-0.8,-0.3267700705416717,0.6232765730808637,1.96104325807448,0.6332867170657033
31,0.6666666666666666,5.333333333333333,-0.6563953666455975,4.535833428247551,-0.8,-0.36067049662733075,0.6107818803381105,2.0117731249318003,0.6420346865648044
32,0.0,2.0,-0.9697147549910959,1.3075464156976044,-0.8,-0.39287994935767206,0.5976764729156319,2.053824268520093,0.6940662728870893
33,0.0,2.666666666666667,-0.9697147549910959,1.953203818207594,-0.8,-0.42332535524914316,0.5838160724471896,2.104627790724174,0.7067308224735592
34,0.6666666666666666,1.3333333333333335,-0.6563953666455975,0.6618890131876151,-0.8,-0.4519397743463705,0.5690736351819129,2.1456629536863447,0.7576849786828006
35,0.6666666666666666,5.333333333333333,-0.6563953666455975,4.535833428247551,-0.9,-0.4786627602637543,0.5533402254655131,2.1965252545417098,0.7741147739810962
