trial_index,pfc_mag_standardized,dms_mag_standardized,prpd_standardized,pfc_mag_filtered,dms_mag_filtered,prpd_filtered,pfc_phase,dms_phase,prpd_phase
1,0.19318033292247241,-0.5710999429145565,-0.1312793297906524,0.13546274940516806,-0.5900018755162378,-0.09384470219893709,-1.457067012300669,-2.62820913635852,1.6222660300591618
2,-0.5132674538962033,-0.5710999429145565,-1.7261637324146952,0.12246268501370358,-0.5062280959319678,-0.14620763735428516,-1.4291440810576304,-2.28389345496283,1.683522125023798
3,0.19318033292247228,-0.732340332545547,-1.7261637324146952,0.1114540260559422,-0.42380545350037385,-0.19870299258180035,-1.4436358748900169,-2.163834721862864,1.71804082941285
4,1.1351107153473732,0.5575827845023774,-0.1312793297906524,0.1025221582842146,-0.3430031498122189,-0.25119020732400765,-1.4395048000357407,-2.0155227991639313,1.7804207571954556
5,-0.7487500495024285,2.653707849705255,-0.9287215311026739,0.09574394439216245,-0.26408061226834534,-0.3035307999997337,-1.4509171098871014,-1.9139452579309881,1.8159860439780826
6,-0.27778485828997806,0.8800635637643587,-1.1945355982066812,0.09118723149794905,-0.18728554552803567,-0.3555893477545677,-1.449539003057523,-1.8047165639360625,1.8781360712556305
7,-0.9842326451086537,1.525025122288321,-0.6629074639986667,0.088910367016756,-0.11285213701271991,-0.4072343941222494,-1.4558448376422493,-1.7128553424391195,1.9134381577805795
8,4.196384458228302,0.8800635637643587,-0.3970933968946596,0.0889617198633876,-0.040999444959969496,-0.45833927444629513,-1.451982852591121,-1.6212936221790986,1.9744365566615498
9,0.8996281197411479,-0.732340332545547,-0.5565818371570639,0.09137920344453763,0.02807001120057157,-0.5087828524544095,-1.45250535026936,-1.5357986997404587,2.009066419603837
10,-0.042302262683752895,2.976188628967236,-0.6629074639986667,0.09618979733676956,0.0941714475180317,-0.5584501642251669,-1.444255939327601,-1.4546119036533625,2.068463410708234
11,0.6641455241349229,-0.08737877402158481,-0.7388543403140974,0.10340906796706482,0.15713879632695604,-0.6072329677801698,-1.4390957065351015,-1.3737956100192403,2.1023008519911928
12,-0.042302262683752895,-0.5710999429145565,-0.7958144975506704,0.11304069482788229,0.21682547430370813,-0.6550301976467847,-1.425961924543617,-1.2995741046914238,2.1598951265552944
13,-0.5132674538962033,-0.5710999429145565,-0.9287215311026739,0.12507601501538634,0.2731049458853208,-0.7017483243694317,-1.4156141024162536,-1.2224543769568421,2.1929294781834816
14,-0.042302262683752735,0.07386161560940582,-1.0084657512338762,0.13949360283886014,0.325871094037742,-0.7473016195621676,-1.3977607341289342,-1.1533130248246766,2.2486518142197216
15,0.19318033292247228,-0.732340332545547,-1.0527680957512104,0.15625890266979142,0.3750384119415897,-0.7916123279076932,-1.3828676748331934,-1.0792660837267503,2.280915808979545
16,-0.5132674538962033,1.3637847326573302,-1.0882099713650784,0.1753239328879192,0.4205420279360296,-0.8346107485629867,-1.3607439577321838,-1.0140494289115989,2.334769083069607
17,-0.9842326451086537,-0.40985955328356594,-0.9287215311026736,0.19662707751192218,0.4623375731329726,-0.8762352297160769,-1.3419575147280365,-0.9426559470426995,2.3663118196223687
18,0.6641455241349229,3.621150187491198,-0.716070277419468,0.22009298033033997,0.5004008982022953,-0.9164320814594458,-1.3161020848490335,-0.8806058363555289,2.4183388944713227
19,-0.27778485828997806,-0.732340332545547,-0.7920171537348987,0.24563255409337556,0.5347276442605257,-0.9551554134795575,-1.294019356326792,-0.8115733470889741,2.4492144525967867
20,-0.5132674538962032,1.3637847326573302,-0.8489773109714717,0.2731431145800128,0.5653326733536738,-0.9923669049892335,-1.2649656980673731,-0.7521688172545138,2.4994804569057916
