bin_centers,left_p_high,right_p_high
-0.49,1.4150943396226414,1.10062893081761
-0.47,1.729559748427673,1.8867924528301887
-0.45,2.0440251572327046,1.10062893081761
-0.43,2.0440251572327046,2.20125786163522
-0.41,1.729559748427673,0.6289308176100629
-0.39,3.1446540880503147,1.8867924528301887
-0.37,2.830188679245283,1.5723270440251573
-0.35,1.10062893081761,0.6289308176100629
-0.33,1.8867924528301887,1.10062893081761
-0.31,1.5723270440251573,1.8867924528301887
-0.29,1.10062893081761,1.2578616352201257
-0.27,3.30188679245283,1.4150943396226414
-0.25,2.358490566037736,1.8867924528301887
-0.23,2.0440251572327046,2.20125786163522
-0.21,2.5157232704402515,1.8867924528301887
-0.19,1.8867924528301887,2.20125786163522
-0.17,2.9874213836477987,1.2578616352201257
-0.15,2.5157232704402515,2.20125786163522
-0.13,2.6729559748427674,2.20125786163522
-0.11,2.830188679245283,1.5723270440251573
-0.09,2.20125786163522,1.5723270440251573
-0.07,1.5723270440251573,2.20125786163522
-0.05,2.9874213836477987,1.5723270440251573
-0.03,2.20125786163522,1.4150943396226414
-0.01,3.30188679245283,1.8867924528301887
0.01,2.358490566037736,1.10062893081761
0.03,3.1446540880503147,1.4150943396226414
0.05,2.0440251572327046,1.2578616352201257
0.07,1.729559748427673,1.2578616352201257
0.09,2.0440251572327046,1.4150943396226414
0.11,2.358490566037736,1.729559748427673
0.13,2.6729559748427674,0.9433962264150944
0.15,2.6729559748427674,2.830188679245283
0.17,3.459119496855346,2.0440251572327046
0.19,2.9874213836477987,2.0440251572327046
0.21,2.9874213836477987,1.8867924528301887
0.23,3.6163522012578615,3.6163522012578615
0.25,2.20125786163522,2.9874213836477987
0.27,3.6163522012578615,2.20125786163522
0.29,1.8867924528301887,1.729559748427673
0.31,4.088050314465409,2.5157232704402515
0.33,3.1446540880503147,2.6729559748427674
0.35,3.30188679245283,1.729559748427673
0.37,2.5157232704402515,3.1446540880503147
0.39,4.40251572327044,2.6729559748427674
0.41,1.4150943396226414,2.0440251572327046
0.43,2.830188679245283,2.358490566037736
0.45,2.5157232704402515,1.729559748427673
0.47,2.5157232704402515,2.20125786163522
0.49,1.729559748427673,3.459119496855346
0.51,2.6729559748427674,2.358490566037736
0.53,2.6729559748427674,2.0440251572327046
0.55,2.358490566037736,2.20125786163522
0.57,2.358490566037736,2.0440251572327046
0.59,1.8867924528301887,2.6729559748427674
0.61,1.8867924528301887,1.729559748427673
0.63,1.4150943396226414,0.6289308176100629
0.65,2.20125786163522,2.830188679245283
0.67,1.4150943396226414,1.8867924528301887
0.69,2.358490566037736,1.5723270440251573
0.71,1.5723270440251573,1.5723270440251573
0.73,1.8867924528301887,1.5723270440251573
0.75,2.358490566037736,2.0440251572327046
0.77,1.8867924528301887,2.358490566037736
0.79,2.6729559748427674,2.5157232704402515
0.81,2.358490566037736,1.8867924528301887
0.83,2.9874213836477987,1.5723270440251573
0.85,2.20125786163522,1.4150943396226414
0.87,1.8867924528301887,2.20125786163522
0.89,1.729559748427673,1.729559748427673
0.91,1.8867924528301887,2.0440251572327046
0.93,2.6729559748427674,2.20125786163522
0.95,2.0440251572327046,2.5157232704402515
0.97,2.830188679245283,1.8867924528301887
0.99,2.0440251572327046,1.5723270440251573
1.01,2.0440251572327046,1.8867924528301887
1.03,3.6163522012578615,1.8867924528301887
1.05,2.5157232704402515,2.0440251572327046
1.07,3.30188679245283,2.20125786163522
1.09,3.6163522012578615,2.358490566037736
1.11,2.6729559748427674,1.2578616352201257
1.13,1.5723270440251573,2.0440251572327046
1.15,2.20125786163522,1.729559748427673
1.17,1.5723270440251573,1.8867924528301887
1.19,2.5157232704402515,1.5723270440251573
1.21,2.9874213836477987,1.8867924528301887
1.23,2.5157232704402515,2.5157232704402515
1.25,2.5157232704402515,1.8867924528301887
1.27,2.358490566037736,1.5723270440251573
1.29,1.10062893081761,1.8867924528301887
1.31,2.9874213836477987,2.20125786163522
1.33,3.6163522012578615,1.2578616352201257
1.35,1.8867924528301887,2.6729559748427674
1.37,1.2578616352201257,2.5157232704402515
1.39,1.8867924528301887,2.0440251572327046
1.41,1.8867924528301887,1.2578616352201257
1.43,3.1446540880503147,1.2578616352201257
1.45,2.9874213836477987,1.5723270440251573
1.47,2.20125786163522,2.0440251572327046
