cell_location,not-correlated percentage,ITI firing correlated percentage,response magnitude correlated percentage,both ITI firing and response magnitude correlated percentage
pfc,0.5377697841726619,0.07194244604316546,0.14448441247002397,0.23741007194244604
dms,0.4815195071868583,0.07597535934291581,0.1735112936344969,0.26078028747433263
