bin_center,good_response_count,good_bg_count,bad_response_count,bad_bg_count
-3.0543261909900767,1115,896,698,646
-2.879793265790644,1026,941,676,718
-2.7052603405912112,926,910,701,701
-2.5307274153917785,866,887,640,682
-2.3561944901923457,862,807,637,677
-2.181661564992913,816,784,627,649
-2.00712863979348,801,804,666,625
-1.8325957145940475,794,800,674,634
-1.6580627893946147,785,722,676,621
-1.483529864195182,859,778,642,650
-1.3089969389957492,848,819,654,604
-1.1344640137963165,901,825,707,680
-0.9599310885968836,925,954,694,732
-0.7853981633974508,970,1108,673,712
-0.6108652381980181,1046,1148,673,749
-0.4363323129985853,1097,1214,712,756
-0.26179938779915257,1230,1359,735,794
-0.08726646259971983,1344,1448,726,779
0.08726646259971292,1322,1424,660,796
0.2617993877991457,1289,1488,757,778
0.43633231299857844,1250,1366,701,748
0.6108652381980112,1179,1288,713,711
0.785398163397444,1141,1162,644,654
0.9599310885968767,1164,1125,661,699
1.1344640137963093,1124,1048,683,658
1.308996938995742,1021,1055,645,657
1.4835298641951749,1046,983,627,651
1.6580627893946076,1044,1079,701,621
1.8325957145940404,1098,1040,730,695
2.007128639793473,1090,1033,746,688
2.181661564992906,1129,994,803,732
2.3561944901923386,1091,1023,766,740
2.5307274153917714,1116,1146,794,731
2.705260340591204,1119,1102,770,728
2.879793265790637,1139,1045,719,720
3.0543261909900696,1103,1071,767,682
