session,cell,background_firing_pearson_r,background_firing_p_values,response_firing_pearson_r,response_firing_p_values
AKED0620210804,pfc_45,-0.41196036347890935,0.06350653073698789,0.31664841494244067,0.16196110057381125
AKED0620210804,pfc_10,-0.028507262383093666,0.9023749438003551,0.5870801633021877,0.005142960615801528
AKED0620210804,pfc_57,-0.49950407590255197,0.021139504565936846,-0.2679310168327705,0.24029306669803224
AKED0620210804,pfc_74,-0.5689743559520823,0.007107681640441479,-0.6953385104132584,0.00046652105550559243
AKED0620210804,pfc_17,-0.3969972360687766,0.07476014953405516,-0.6293736745915758,0.0022363048868020217
AKED0620210804,pfc_28,0.8006491085525607,1.3043786734371057e-05,0.7144072199973409,0.0002744562457432845
AKED0620210804,pfc_52,-0.39225752971898664,0.07861901070146775,0.005600208542952796,0.9807792336331721
AKED0620210804,pfc_37,-0.18216220815889927,0.42935105828576653,-0.6222404559424032,0.002594823993824148
AKED0620210804,pfc_38,0.49221869980589367,0.023411421560365516,0.31303268134766205,0.16707149858707254
AKED0620210804,pfc_31,0.13060124955604527,0.5725712760848614,0.0706800349939572,0.760789468490945
AKED0620210804,pfc_71,-0.2112731130456744,0.35792401671049623,-0.13840605895006292,0.5496331332906073
AKED0620210804,pfc_33,0.11046530878894316,0.6335887025171635,0.13755947246324837,0.5521009627773742
AKED0620210804,pfc_18,0.4570607189486297,0.03724682457385733,0.4066473482297622,0.06734450277093797
AKED0620210804,pfc_61,0.2972246277316971,0.1907181651006164,0.05244743531532471,0.8213708505207685
AKED0620210804,pfc_70,0.26188848194188685,0.2514675532253925,0.549970180385245,0.009795991515662742
AKED0620210804,pfc_76,0.11958935293413833,0.605624503098384,0.5987709071077363,0.004131849690632507
AKED0620210804,pfc_84,0.7697178993622761,4.5058802995425735e-05,0.8483367386528589,1.1839231602125101e-06
AKED0620210804,pfc_4,-0.09683417338567173,0.6762678145817727,0.02295894609201187,0.9213119631683262
AKED0620210804,pfc_8,0.40202360516084756,0.07082491823181387,0.7365748390965736,0.00014024457010870138
AKED0620210804,pfc_54,0.6063492647664568,0.003569354379137006,0.5972915100639501,0.004249829334127339
AKED0620210804,pfc_88,-0.24033190901623,0.29400298308003897,-0.3695403509493486,0.09920612833913642
AKED0620210804,pfc_75,0.3271416455924691,0.14774631990848208,0.4124765047759447,0.06314271998993065
AKED0620210804,pfc_5,0.6058243043560079,0.003606139648003829,0.5926376163973086,0.004639385879479292
AKED0620210804,pfc_24,0.16216378687960686,0.4824959181859661,0.5338312972350975,0.012684729550952014
AKED0620210804,pfc_65,-0.5621430633398893,0.007993489645100027,-0.04940849696474641,0.83157407189606
AKED0620210804,pfc_66,-0.2947976326946809,0.19453900032892,-0.45108211970113926,0.04013004592425418
AKED0620210804,pfc_82,0.19644370190496244,0.39340641510100355,0.1427396428694499,0.537079454025034
AKED0620210804,pfc_73,-0.39871177788715484,0.07339982001186637,-0.4868941921750377,0.02519161485850878
AKED0620210804,pfc_44,-0.0414247986946601,0.8584998302050968,0.18892523603387243,0.41211591227268435
AKED0620210804,pfc_32,0.07103891812635071,0.7596092127212989,0.0663591356483616,0.7750390366644238
AKED0620210804,pfc_41,0.27081398976947074,0.23507668362389056,-0.14606170473524305,0.5275465981786958
AKED0620210804,pfc_81,0.21514671334692428,0.3489708933777183,0.12212860116373722,0.5979333827740839
AKED0620210804,pfc_49,-0.5354985558486028,0.012357585841569672,-0.37961538931949496,0.08963823286978372
AKED0620210804,pfc_72,-0.11894984394929489,0.6075679024447976,0.5191372848606542,0.015882955497855122
AKED0620210804,pfc_87,0.13444617033067427,0.5612190537691049,0.35847041770755006,0.11055877539980406
AKED0620210804,pfc_34,-0.2585217928375154,0.257835584259282,-0.28565128637158477,0.20939996318655904
AKED0620210804,pfc_78,-0.6559982441489091,0.001241897653432151,-0.7113562745990599,0.0002995938281970466
AKED0620210804,pfc_79,0.257951182920452,0.2589249663120803,0.15866648160519922,0.49211423725897513
AKED0620210804,pfc_15,0.09422725805609279,0.6845450715728745,-0.35276080894109446,0.11676915641016715
AKED0620210804,pfc_1,-0.0537014482049656,0.8171684893860778,-0.03957651698745431,0.8647560510755525
AKED0620210804,pfc_3,0.44591731229652315,0.042758092529771245,0.6773220763778728,0.0007436174974551591
AKED0620210804,pfc_11,-0.28809136849131406,0.20536364015148825,-0.6519816454970264,0.001361940292058278
AKED0620210804,pfc_58,0.1842832392281696,0.4239048067484696,0.6649944679025631,0.0010051238161845398
AKED0620210804,pfc_9,-0.2741290427410607,0.22917018773602288,-0.02142608472625511,0.9265514494702315
AKED0620210804,pfc_35,0.0849012047308226,0.7144365608764359,0.2903846904228761,0.20161772672761674
AKED0620210804,pfc_21,0.2779832194087091,0.22242610945346686,-0.12212720758027315,0.5979375925960831
AKED0620210804,pfc_68,0.4169119980208451,0.060081121824270056,0.5771898176070271,0.006151045288427744
AKED0620210804,pfc_86,-0.44019006791945114,0.04582639888117532,0.0684934963075394,0.7679912847158396
AKED0620210804,pfc_39,-0.3718148799644078,0.0969834767805618,-0.5017517525925596,0.0204753423454279
AKED0620210804,pfc_23,0.05306081683763367,0.8193147331550016,0.1143893690914364,0.6215000127224737
AKED0620210804,pfc_26,0.21539283120821373,0.34840649029464826,-0.4357778766773976,0.048304116086688616
AKED0620210804,pfc_64,-0.09378373528073325,0.6859568093365481,-0.13363778537245005,0.5635975031653577
AKED0620210804,pfc_0,-0.06861819302659487,0.7675800691895949,0.07465401611439963,0.7477493428098726
AKED0620210804,pfc_30,-0.6414581602996645,0.001723864813448215,-0.484114976970222,0.026162594980287085
AKED0620210804,pfc_12,0.29049921585351396,0.20143186864407145,0.26424062034934637,0.24707885592782206
AKED0620210804,pfc_46,0.4996643341750082,0.021091587363449637,0.5421068172670129,0.01112765129283089
AKED0620210804,pfc_27,0.3617651157375297,0.10708600354639253,0.05033387184489386,0.8284642906570291
AKED0620210804,pfc_80,0.3460391262080866,0.12439812602882344,0.7964459773440056,1.562522692632028e-05
AKED0620210804,pfc_50,0.460131841668699,0.035830078138485155,-0.33502685536677723,0.13765749134346214
AKED0620210804,pfc_25,-0.21850004080509888,0.34132687320831356,-0.42123410986884857,0.05720776385926428
AKED0620210804,pfc_48,-0.2230609805728493,0.33108956646307003,0.38537594514935425,0.08448392376760822
AKED0620210804,pfc_55,0.16632032463409777,0.47118791555832723,0.2873837513316184,0.20652877571742287
AKED0620210804,pfc_14,-0.31951450044770396,0.15798798182200424,-0.4138013862874859,0.062216093294079185
AKED0620210804,pfc_67,-0.48207370486789414,0.026894479401335606,-0.4298005701440925,0.05182394436457512
AKED0620210804,pfc_63,0.3090869570110567,0.17277405036680737,0.3630399993871667,0.10576373851636518
AKED0620210804,pfc_13,0.6764677223939745,0.0007596488391966412,0.561126590839011,0.008132720492518111
AKED0620210804,pfc_22,0.14282053396705469,0.5368463914206973,0.6970503969929277,0.00044554569790988504
AKED0620210804,pfc_62,0.7678838392716956,4.8208180088592994e-05,0.7190510068363718,0.00023967369644626774
AKED0620210804,pfc_47,0.30490384288474254,0.17896410719983583,0.197911153880841,0.389810722805244
AKED0620210804,pfc_20,0.5643534721569297,0.007697468406710753,0.8689577353723816,3.2134153728555784e-07
AKED0620210804,pfc_7,-0.339183063979837,0.1325407289175478,-0.22451951182374194,0.32785472953192824
AKED0620210804,pfc_69,-0.0680627099973462,0.769412360619021,-0.5165779465101368,0.01650125530437429
