session,Stimulus_related_firing_P_value,Movement_related_firing_P_value,Reward_related_firing_P_value
AKED0120210721,0.2591914251188199,0.658748601493268,0.8438288869748645
AKED0120210721,3.2932938825626726e-15,5.057776055621489e-12,0.26213444191441604
AKED0120210721,4.9660827594239824e-05,1.2409309961962284e-06,0.6498430909591532
AKED0120210721,0.004782654074409553,0.03283580039488775,0.5467860506526981
AKED0120210721,0.0025992620395866167,0.010081435382924676,0.14423063068598618
AKED0120210721,0.5588067560292522,0.24918733554498562,0.06250763724958885
AKED0120210721,2.2255933661188525e-11,1.371978975584876e-14,0.3268749649101672
AKED0120210721,0.02947687096932946,0.0011893198703578087,0.16868389517896842
AKED0120210721,0.9605673233239987,0.1994682075173032,0.30319970267966234
AKED0120210721,0.4268625757704315,0.34755488060681505,0.05346871937506836
AKED0120210721,0.0003782536229472027,0.4315995107928875,0.854615985838184
AKED0120210721,0.0002518304279752916,0.059211964787927486,0.5349632544447575
AKED0120210721,0.31643612723405556,0.2364419623650329,0.27990411546519856
AKED0120210721,0.04652239341532981,0.5725739594738255,0.8357362322380881
AKED0120210721,0.011686561567911907,0.001130754658903614,0.011603579513130262
AKED0120210721,0.0008387297649150383,8.14993630614072e-11,0.17021079590492727
AKED0120210721,0.6997577613549597,0.13567981576277033,0.7001154891416702
AKED0120210721,0.5288860007979954,0.14823634660753793,0.05951690709174562
AKED0120210721,1.4183402695342554e-09,4.929557884002741e-09,0.1903929015362913
AKED0120210721,2.480662837970442e-07,0.03644120533599439,0.7763228073831446
AKED0120210721,0.5674301707204144,0.08061663090739281,0.6850117373680192
AKED0120210721,0.1792129391714815,0.4277667495626146,0.2180248480770519
AKED0120210721,0.22644095607986336,0.5335741208879399,0.897956539593799
AKED0120210721,0.024698116246902352,0.5443308721372832,0.051514728032299034
AKED0120210721,0.1989443362514295,0.2568491594388367,0.129817057366451
AKED0120210721,0.9736441490132217,0.01776292310999807,0.013984144093176804
AKED0120210721,0.03684683198364971,0.0023850782060789834,0.4287809186623627
AKED0120210721,1.1300821535152818e-08,0.0005723683726207006,0.3612366853239348
AKED0120210721,0.15824116693117474,0.8823824621913225,0.4317969079454249
AKED0120210721,0.031728338463573966,0.001977515081247839,0.0663299812002653
AKED0120210721,0.12818439681604443,0.21863811423678448,0.6144287640176687
AKED0120210721,1.0,0.36797615791611005,0.9068436194091781
AKED0120210721,0.014413901016546712,1.4573260408288977e-05,0.6468976273315328
AKED0120210721,1.0,0.4817061576015913,0.48170615760159075
AKED0120210721,0.31893174464142704,0.31893174464142704,1.0
AKED0120210721,0.726480552751024,0.34319499048409685,0.059379743061644646
AKED0120210721,0.2747681162463178,3.7399642754860857e-05,8.39633790058331e-08
AKED0120210721,,,0.5654417178607639
AKED0120210721,0.5288860007979959,0.2785084386399649,0.6469472943008873
AKED0120210721,0.03327405151453472,0.25692949415662647,0.5996994449298345
AKED0120210721,0.11039202769438428,0.8284393253595823,0.2819119424712181
AKED0120210721,0.31893174464142704,0.9999999999999992,0.6998026933334164
AKED0120210721,0.8602858434981923,0.7071260060195241,0.7137887577154959
AKED0120210721,0.7207265134851051,0.12435850147449445,0.8122401883642414
AKED0120210721,0.102656702355443,0.3547286120319033,0.3875217418013589
AKED0120210721,0.0009706241024606083,0.004871787013682738,0.7441537315769324
AKED0120210721,0.2525727417954323,0.16752887402386019,0.98760841054542
AKED0120210721,0.30158627627233814,0.36253161973619075,0.04646949013880466
AKED0120210721,0.4641977989833671,0.8133474679952324,0.05916748357148417
AKED0120210721,0.014271505791680704,0.18331524900810092,0.9793096522740408
AKED0120210721,0.1619165080367031,0.8016504320180783,0.008114740984560009
AKED0120210721,0.18058604558271396,0.012414518442246234,0.5624205480665119
AKED0120210721,0.7489094406624089,0.4848708976074658,0.9408426350006314
AKED0120210721,0.8444492066576172,1.0915898945734149e-05,0.3480405131397235
AKED0120210721,0.49219585036748104,0.8029595910999813,0.34504612025361303
AKED0120210721,0.7337832780927585,0.286302585835291,0.23906398721689714
AKED0120210721,0.28469282817408126,0.7844173325760967,0.6609465176799432
AKED0120210721,0.6325349400074409,0.6492571339715856,0.3371355382368981
AKED0120210721,0.28308545917212957,0.5556140991569289,0.14731231663948374
AKED0120210721,0.2462314691124181,0.8710025040255106,0.026212382356686225
AKED0120210721,0.0002261107716385651,0.17156866123722092,0.8014473591903191
AKED0120210721,0.4346041036761724,0.5623172691896792,0.37679026250293535
AKED0120210721,0.0001353569641620315,0.012563673584237586,0.3808668609476431
AKED0120210721,0.3243748253260347,0.09297349822195922,0.6695190701788633
AKED0120210721,0.015873527174408656,0.17928480937309166,0.2208131062918829
AKED0120210721,0.5382785037533306,0.253395202994563,0.8902732474607216
AKED0120210721,4.118410529593334e-09,0.013291116876601537,0.1964275079032629
AKED0120210721,0.010267146348061588,0.2087529132791479,0.12239092359527548
AKED0120210721,0.9002383099945328,0.12499456217272664,0.06524256610923454
AKED0120210721,0.02484787733191097,0.9611503301693745,0.3246512012182865
AKED0120210721,0.04649353989207774,0.7958818985991261,0.2722599123170283
AKED0120210721,5.552976214847925e-06,3.085842721327221e-07,0.18865614031425315
AKED0120210721,0.7927680045377152,0.7652178258596869,0.2686921852347316
AKED0120210721,0.14752838627360376,0.07177263106544425,0.14309281680396047
