,session,str_name,pfc_name,str_pearsons_r,str_p_value,pfc_pearsons_r,pfc_p_value
0,AKED0520210725,str_58,pfc_17,-0.1883689926678018,0.0005387861386113,0.2720584498451253,4.44221534303113e-07
1,AKED0520210725,str_31,pfc_48,0.2249139405892948,3.34933839161207e-05,0.2371845524895769,1.1806523429942288e-05
2,AKED0520210725,str_72,pfc_51,-0.1325421997727061,0.0153540205385011,0.1898730329701316,0.0004851269051389
3,AKED0520210725,str_30,pfc_55,0.120218652516746,0.0280338506443886,0.2312181975623428,1.9741347950981497e-05
4,AKED0520210725,str_55,pfc_73,0.1096793435607771,0.0451778212387382,0.4418898804454408,2.1318504874250178e-17
5,AKED0520210725,str_68,pfc_39,0.1354030764003886,0.013259566061182,0.112219897782754,0.0403953478529159
6,AKED0520210725,str_36,pfc_1,-0.198894424575225,0.0002542778373234,0.1828609726975107,0.0007858463738969
7,AKED0520210725,str_6,pfc_62,0.1677845978764933,0.0020929224926382,-0.1424245242218006,0.0091487487476185
8,AKED0520210725,str_6,pfc_18,0.1677845978764933,0.0020929224926382,0.3266280297839921,9.625148072859616e-10
9,AKED0520210725,str_35,pfc_66,-0.1085305589999304,0.0474915393697749,0.1526728729136674,0.0051715658735325
10,AKED0520210725,str_43,pfc_64,-0.2723448616314888,4.3155246919147617e-07,-0.1569312365082227,0.0040389215401855
11,AKED0520210725,str_10,pfc_21,-0.116622892978327,0.0331183028083191,-0.2464117525025497,5.191094007816414e-06
12,AKED0520210725,str_44,pfc_40,-0.1934622611580772,0.0003764731194272,0.1865255492466647,0.0006120539779772
13,AKED0520210725,str_32,pfc_4,-0.178434270679984,0.0010562398715864,0.2272228088838192,2.7645590724409733e-05
14,AKED0520210725,str_32,pfc_34,-0.178434270679984,0.0010562398715864,0.1144621665356847,0.0365364306454886
15,AKED0520210725,str_19,pfc_1,0.1901718165603776,0.0004750763913958,0.1828609726975107,0.0007858463738969
16,AKED0520210725,str_19,pfc_33,0.1901718165603776,0.0004750763913958,0.2303872699613378,2.1183933838162004e-05
17,AKED0520210725,str_47,pfc_67,0.1131954308097426,0.038676128955514,0.156555065391563,0.0041290886445381
18,AKED0520210725,str_47,pfc_3,0.1131954308097426,0.038676128955514,0.1577024354139291,0.0038596083598112
19,AKED0520210725,str_67,pfc_61,0.1684660103079664,0.0020056397144014,-0.1712048471088665,0.001687344176062
20,AKED0520210716,str_16,pfc_22,-0.1262801688608131,0.0055466221941419,0.2885098522377566,1.1282780650048299e-10
21,AKED0520210720,str_18,pfc_10,0.1601147567973244,7.322931725594817e-05,0.5767972279000555,3.298821464832234e-55
22,AKED0520210720,str_6,pfc_8,0.5037019562135397,1.978272140976984e-40,-0.4792161038700644,3.122111635836177e-36
23,AKED0520210715,str_14,pfc_33,-0.1369776280744489,0.0045266427393025,0.1739584400300981,0.0002992339502946
24,AKED0520210715,str_18,pfc_12,-0.5238174359005769,1.5690117043043643e-31,-0.1869776916653571,9.971571819432028e-05
25,AKED0520210715,str_7,pfc_8,-0.2203541424056522,4.182963729392689e-06,-0.4898254688441057,3.278834719194696e-27
26,AKED0520210715,str_26,pfc_16,-0.1862878920469141,0.0001058959364818,-0.1127881367176776,0.0195953462811036
27,AKED0520210715,str_6,pfc_53,-0.3762564116181064,7.670213290316971e-16,-0.3634293233297199,8.245407883435582e-15
28,AKED0520210715,str_4,pfc_12,0.2808832310021147,3.350645873656373e-09,-0.1869776916653571,9.971571819432028e-05
29,AKED0520210715,str_17,pfc_8,-0.4169482530648384,1.977948211627104e-19,-0.4898254688441057,3.278834719194696e-27
30,AKED0520210715,str_15,pfc_8,-0.1136543083208708,0.0186703608344776,-0.4898254688441057,3.278834719194696e-27
31,AKED0520210715,str_19,pfc_33,-0.1335773583422223,0.0056435758571057,0.1739584400300981,0.0002992339502946
32,AKED0420210805,str_1,pfc_8,-0.1633301925856052,0.0002592783445674,-0.2578107114954097,5.67709920739307e-09
33,AKED0420210805,str_7,pfc_24,-0.2884068089307161,5.888813938755884e-11,-0.2636033389557407,2.49664288110477e-09
34,AKED0420210805,str_20,pfc_28,-0.2593847629533334,4.5502681002732215e-09,-0.3249900488786353,1.1534351644337269e-13
35,AKED0220210731,str_28,pfc_25,-0.197919006774081,0.0006024980046476,-0.1427949543370293,0.0137725555078518
36,AKED0620210803,str_9,pfc_14,0.6008932114929464,1.310624466943455e-36,0.1209255710238868,0.0219265661238312
37,AKED0620210803,str_7,pfc_44,-0.2658801099582021,3.18005298139293e-07,0.137527028482977,0.0090784380963569
38,AKED0620210803,str_12,pfc_3,0.1852491524772176,0.0004182129523521,0.1476299819174578,0.0050659968386435
39,AKED0520210726,str_30,pfc_36,-0.1038446590397087,0.0346648926190359,-0.1616241915459839,0.0009656538291572
40,AKED0520210726,str_7,pfc_26,-0.1074742351012865,0.0287788985485249,0.1714544679895124,0.0004582983845605
41,AKED0520210726,str_27,pfc_14,0.1049923444755198,0.032701831618028,-0.1125071966254944,0.0220482894650566
42,AKED0520210726,str_6,pfc_26,0.1380325220907965,0.0049000182188791,0.1714544679895124,0.0004582983845605
43,AKED0520210726,str_12,pfc_42,-0.1165979774439329,0.0176277841281384,-0.1531333977929115,0.0017790613971873
44,AKED0520210726,str_12,pfc_31,-0.1165979774439329,0.0176277841281384,-0.130683229194332,0.007758622005701
