session,background_firing_pearson_r,background_firing_p_values,response_firing_pearson_r,response_firing_p_values,cell
AKED0120210721,-0.14227507454091703,0.007769247202785157,-0.1860251393976526,0.0004770747409136315,pfc_0
AKED0120210721,-0.07162834787052624,0.18186236934555688,0.036297830598839176,0.49911082683672225,pfc_1
AKED0120210721,-0.18967851688745646,0.00036639733548612084,-0.25153342982630505,1.946474424509951e-06,pfc_2
AKED0120210721,-0.08667824768671101,0.10598243548680064,-0.11527078794217863,0.03132719843543893,pfc_3
AKED0120210721,-0.20811390923597725,8.969078299521979e-05,-0.24365976737847034,4.1206579601522704e-06,pfc_4
AKED0120210721,-0.05625762747694421,0.2946206631300491,-0.1348672194723013,0.011668269110135444,pfc_5
AKED0120210721,0.02333159543414791,0.6640229809142575,0.1702368436525009,0.0014118894981611674,pfc_6
AKED0120210721,-0.02035609728555722,0.7047188636607162,0.04615440536511681,0.39000941489005025,pfc_7
AKED0120210721,-0.15742862479113578,0.00318940578558367,-0.1984258665392073,0.00019089942123025032,pfc_8
AKED0120210721,-0.06531189784545334,0.22358540389700987,-0.07165853856401432,0.18167780481892293,pfc_9
AKED0120210721,-0.11408331055653056,0.033124864505019114,-0.13628887523518965,0.010807701698695327,pfc_10
AKED0120210721,-0.20438933969800777,0.00012041537285885084,-0.23150635987184817,1.2488877597868032e-05,pfc_11
AKED0120210721,-0.19017599213771555,0.00035332819608169106,-0.2679763478283064,3.7448870920283023e-07,pfc_12
AKED0120210721,-0.23240117714610065,1.1532829261492596e-05,-0.26402437905404824,5.62249893526439e-07,pfc_13
AKED0120210721,-0.12925436418800018,0.015685533568023304,-0.11527852822492718,0.03131575976065379,pfc_14
AKED0120210721,0.0820494024191339,0.1260437619910939,0.2766027627018554,1.5075072522051908e-07,pfc_15
AKED0120210721,0.011711474226324493,0.8274205792161231,0.09384463163382803,0.0799910038191003,pfc_16
AKED0120210721,0.040942673150285346,0.4457926845075708,0.05728600998681606,0.285868794462259,pfc_17
AKED0120210721,0.0492200037975967,0.3592670973781138,0.1561814506223398,0.003442193064478237,pfc_18
AKED0120210721,-0.27491640764067415,1.805471607123206e-07,-0.3040708703821992,6.711430197072883e-09,pfc_19
AKED0120210721,0.33874569437028473,8.100673801326412e-11,0.37329903610263426,5.549479049563399e-13,pfc_20
AKED0120210721,-0.10923985140771629,0.041394680240063944,-0.13356374998124484,0.012509914335372286,pfc_21
AKED0120210721,-0.07237188263964824,0.17735709707186786,-0.07252758434057989,0.1764242307446141,pfc_22
