positive,negative
0.17575757575757575,0.4954545454545455
0.11259861343533349,0.6427205355008367
0.28525641025641024,0.2403846153846154
0.15885714285714286,0.4725714285714286
0.1425925925925926,0.6430555555555556
0.21875,0.5120192307692307
0.336734693877551,0.3848396501457726
0.41291291291291293,0.2672672672672673
0.35133333333333333,0.3403333333333333
0.13333333333333333,0.589247311827957
0.21506612995974697,0.47901092581943644
0.4519230769230769,0.3301282051282051
0.08861439312567132,0.7062298603651987
0.16755793226381463,0.5020796197266786
0.09482758620689655,0.65625
0.13127413127413126,0.47104247104247104
0.23399810066476734,0.40949667616334284
0.3497716894977169,0.13789954337899543
0.2295751633986928,0.40223311546840956
0.19791666666666666,0.5046296296296297
0.12333333333333334,0.45666666666666667
0.1875432525951557,0.49354094579008073
0.35892857142857143,0.30297619047619045
0.1500302480338778,0.6019358741681791
0.17526041666666667,0.47421875
0.030303030303030304,0.8181818181818182
0.16017032427120864,0.4978709466098919
0.17892156862745098,0.6225490196078431
0.3111111111111111,0.5333333333333333
