,trial_lag,cross_correlation,cross_correlation_std_err
0,-50,3.604584894429945,0.4882438885020429
1,-49,3.0417231997079455,0.4882438885020429
2,-48,2.3172271883789364,0.4882438885020429
3,-47,1.4701075670835724,0.4882438885020429
4,-46,0.7670030346792267,0.4882438885020429
5,-45,0.08712166402553366,0.4882438885020429
6,-44,-0.8718238629987445,0.4882438885020429
7,-43,-1.658574948018866,0.4882438885020429
8,-42,-2.4187488896416345,0.4882438885020429
9,-41,-3.2342416061593138,0.4882438885020429
10,-40,-3.985573285549728,0.4882438885020429
11,-39,-4.8023059697417505,0.4882438885020429
12,-38,-5.528781899491361,0.4882438885020429
13,-37,-6.272119686974463,0.4882438885020429
14,-36,-7.079174500100576,0.4882438885020429
15,-35,-7.910565059731395,0.4882438885020429
16,-34,-8.796771885462915,0.4882438885020429
17,-33,-9.51285135163712,0.4882438885020429
18,-32,-10.24602707779566,0.4882438885020429
19,-31,-10.95189973074115,0.4882438885020429
20,-30,-11.675417461219164,0.4882438885020429
21,-29,-12.279812564198318,0.4882438885020429
22,-28,-13.06536363776863,0.4882438885020429
23,-27,-13.812906038184767,0.4882438885020429
24,-26,-14.373837379443628,0.4882438885020429
25,-25,-14.800270655443267,0.4882438885020429
26,-24,-15.417966579276316,0.4882438885020429
27,-23,-16.25573011552674,0.4882438885020429
28,-22,-17.200581494179954,0.4882438885020429
29,-21,-18.079393167856942,0.4882438885020429
30,-20,-18.977858765350206,0.4882438885020429
31,-19,-19.973479908385492,0.4882438885020429
32,-18,-20.942246423727262,0.4882438885020429
33,-17,-21.928388475902068,0.4882438885020429
34,-16,-23.206580629321106,0.4882438885020429
35,-15,-24.603203935889507,0.4882438885020429
36,-14,-26.072747821074675,0.4882438885020429
37,-13,-27.458161543189476,0.4882438885020429
38,-12,-28.657938917647915,0.4882438885020429
39,-11,-30.00414455115431,0.4882438885020429
40,-10,-31.24205209539429,0.4882438885020429
41,-9,-32.50274874355511,0.4882438885020429
42,-8,-33.538517216372334,0.4882438885020429
43,-7,-34.57306367738341,0.4882438885020429
44,-6,-35.584512735484175,0.4882438885020429
45,-5,-36.60088853114778,0.4882438885020429
46,-4,-37.622518483830895,0.4882438885020429
47,-3,-38.52059614216212,0.4882438885020429
48,-2,-39.472612736470836,0.4882438885020429
49,-1,-40.28972846357091,0.4882438885020429
50,0,-40.81004457003106,0.4882438885020429
51,1,-40.42090907779776,0.4882438885020429
52,2,-40.09621594364648,0.4882438885020429
53,3,-39.6992583937314,0.4882438885020429
54,4,-39.07208499158262,0.4882438885020429
55,5,-38.18421364123565,0.4882438885020429
56,6,-37.009373112565,0.4882438885020429
57,7,-35.8302797511386,0.4882438885020429
58,8,-34.752663015459476,0.4882438885020429
59,9,-33.538344297567356,0.4882438885020429
60,10,-32.43646796642557,0.4882438885020429
61,11,-31.492772780431736,0.4882438885020429
62,12,-30.53336185711345,0.4882438885020429
63,13,-29.61785337736118,0.4882438885020429
64,14,-28.83182000080777,0.4882438885020429
65,15,-28.244643692180556,0.4882438885020429
66,16,-27.785295751372704,0.4882438885020429
67,17,-27.403570666715808,0.4882438885020429
68,18,-27.067628142813707,0.4882438885020429
69,19,-26.69973522556999,0.4882438885020429
70,20,-26.213421233566017,0.4882438885020429
71,21,-25.69517567192885,0.4882438885020429
72,22,-25.133394580699505,0.4882438885020429
73,23,-24.385781985638552,0.4882438885020429
74,24,-23.67487415269837,0.4882438885020429
75,25,-23.19718959095254,0.4882438885020429
76,26,-22.67993861710152,0.4882438885020429
77,27,-22.38656668171946,0.4882438885020429
78,28,-22.035506300141698,0.4882438885020429
79,29,-21.69775179831102,0.4882438885020429
80,30,-21.15236883573098,0.4882438885020429
81,31,-20.848649430337836,0.4882438885020429
82,32,-20.43352242067409,0.4882438885020429
83,33,-19.843999632413784,0.4882438885020429
84,34,-19.39055853966691,0.4882438885020429
85,35,-18.89920918125408,0.4882438885020429
86,36,-18.092707313839018,0.4882438885020429
87,37,-17.260273083472207,0.4882438885020429
88,38,-16.35366961381581,0.4882438885020429
89,39,-15.54733732607405,0.4882438885020429
90,40,-14.6526943254621,0.4882438885020429
91,41,-13.879497026224497,0.4882438885020429
92,42,-13.054607801561172,0.4882438885020429
93,43,-12.3583332601452,0.4882438885020429
94,44,-11.88414016950664,0.4882438885020429
95,45,-11.284046257325098,0.4882438885020429
96,46,-10.69430331127204,0.4882438885020429
97,47,-10.348185279704733,0.4882438885020429
98,48,-9.937698620860566,0.4882438885020429
99,49,-9.451726493436912,0.4882438885020429
100,50,-9.075601064325795,0.4882438885020429
