,trial_lag,cross_correlation,cross_correlation_std_err
0,-50,0.12004485126453546,0.038225943586292076
1,-49,-0.1974023788079605,0.038225943586292076
2,-48,-0.5501193488001705,0.038225943586292076
3,-47,-0.8969201542504618,0.038225943586292076
4,-46,-1.2790770051913964,0.038225943586292076
5,-45,-1.63179729722715,0.038225943586292076
6,-44,-2.110480644610509,0.038225943586292076
7,-43,-2.616279230154341,0.038225943586292076
8,-42,-3.126927518714909,0.038225943586292076
9,-41,-3.6863031986249055,0.038225943586292076
10,-40,-4.308403289001215,0.038225943586292076
11,-39,-5.028989811517594,0.038225943586292076
12,-38,-5.751594509300374,0.038225943586292076
13,-37,-6.463885637120441,0.038225943586292076
14,-36,-7.157874929645795,0.038225943586292076
15,-35,-7.8779259163308755,0.038225943586292076
16,-34,-8.644308230025743,0.038225943586292076
17,-33,-9.365817456218776,0.038225943586292076
18,-32,-10.08116871373809,0.038225943586292076
19,-31,-10.790417714589955,0.038225943586292076
20,-30,-11.514961412256843,0.038225943586292076
21,-29,-12.230110156378782,0.038225943586292076
22,-28,-12.965805281112775,0.038225943586292076
23,-27,-13.653837511796784,0.038225943586292076
24,-26,-14.294821267109924,0.038225943586292076
25,-25,-14.943585127014803,0.038225943586292076
26,-24,-15.567439840249524,0.038225943586292076
27,-23,-16.2251874890785,0.038225943586292076
28,-22,-16.947827441988714,0.038225943586292076
29,-21,-17.58726948211029,0.038225943586292076
30,-20,-18.270930102366496,0.038225943586292076
31,-19,-18.945537654674116,0.038225943586292076
32,-18,-19.661626171791582,0.038225943586292076
33,-17,-20.39021036815077,0.038225943586292076
34,-16,-21.300757911964563,0.038225943586292076
35,-15,-22.254643176640243,0.038225943586292076
36,-14,-23.190061788572702,0.038225943586292076
37,-13,-24.11356551930457,0.038225943586292076
38,-12,-24.988828692613144,0.038225943586292076
39,-11,-25.86323703150457,0.038225943586292076
40,-10,-26.769275252206032,0.038225943586292076
41,-9,-27.660628265397158,0.038225943586292076
42,-8,-28.439934911066505,0.038225943586292076
43,-7,-29.141419292285097,0.038225943586292076
44,-6,-29.774769178156042,0.038225943586292076
45,-5,-30.363513982401408,0.038225943586292076
46,-4,-30.977951302919703,0.038225943586292076
47,-3,-31.550579092425462,0.038225943586292076
48,-2,-32.112681783891055,0.038225943586292076
49,-1,-32.67323762433055,0.038225943586292076
50,0,-33.09761037299916,0.038225943586292076
51,1,-32.677539423029465,0.038225943586292076
52,2,-32.15942312569548,0.038225943586292076
53,3,-31.647450085183596,0.038225943586292076
54,4,-31.10417236618132,0.038225943586292076
55,5,-30.48824176217153,0.038225943586292076
56,6,-29.759051937645488,0.038225943586292076
57,7,-29.00420917311504,0.038225943586292076
58,8,-28.23714754904205,0.038225943586292076
59,9,-27.4009855857945,0.038225943586292076
60,10,-26.59658494536226,0.038225943586292076
61,11,-25.855347603573865,0.038225943586292076
62,12,-25.09054151952619,0.038225943586292076
63,13,-24.42148112370421,0.038225943586292076
64,14,-23.781187917106614,0.038225943586292076
65,15,-23.20741188542679,0.038225943586292076
66,16,-22.683637847496506,0.038225943586292076
67,17,-22.284761060080758,0.038225943586292076
68,18,-21.860975003138776,0.038225943586292076
69,19,-21.40966854748091,0.038225943586292076
70,20,-20.922191619530462,0.038225943586292076
71,21,-20.375381368850093,0.038225943586292076
72,22,-19.835461690574785,0.038225943586292076
73,23,-19.221269444622255,0.038225943586292076
74,24,-18.62617692636965,0.038225943586292076
75,25,-18.09315704445493,0.038225943586292076
76,26,-17.596656315470376,0.038225943586292076
77,27,-17.15994415289883,0.038225943586292076
78,28,-16.668801372991062,0.038225943586292076
79,29,-16.157456638010327,0.038225943586292076
80,30,-15.591657517956452,0.038225943586292076
81,31,-15.046423659368122,0.038225943586292076
82,32,-14.468760924428535,0.038225943586292076
83,33,-13.842754861319515,0.038225943586292076
84,34,-13.249964144196252,0.038225943586292076
85,35,-12.648021158179114,0.038225943586292076
86,36,-11.966458742500768,0.038225943586292076
87,37,-11.18854502008186,0.038225943586292076
88,38,-10.385075476681921,0.038225943586292076
89,39,-9.609514610596978,0.038225943586292076
90,40,-8.928862704481757,0.038225943586292076
91,41,-8.26453179895434,0.038225943586292076
92,42,-7.654959739540655,0.038225943586292076
93,43,-7.0785789040515,0.038225943586292076
94,44,-6.6126758668678525,0.038225943586292076
95,45,-6.18773329975158,0.038225943586292076
96,46,-5.841309825981648,0.038225943586292076
97,47,-5.506627781342058,0.038225943586292076
98,48,-5.196126415122967,0.038225943586292076
99,49,-5.0029257183397675,0.038225943586292076
100,50,-4.895366639322567,0.038225943586292076
