x_values,signal,mvt,reward
-0.49,3.6844704860226036,-0.5218367972275839,-0.012374545103280177
-0.47,3.3530198137605893,-0.2967569649061752,0.0897920230253737
-0.45,3.607777673228936,-0.3994488690761018,0.009172766651130981
-0.43,3.497752570225898,-0.3271764555136194,0.07324725284899491
-0.41,3.606471885144167,-0.39292013585221053,-0.0024203268979996473
-0.39,3.4473818942131986,-0.35021060290494743,0.015177773886497548
-0.37,3.414664447780598,-0.18299772473075393,-0.013875954165531557
-0.35,3.0669003876271517,0.0968908250281042,-0.012678443879067913
-0.33,3.4478033696618713,-0.26987794930461684,0.01430721893953768
-0.31,3.582334212867739,-0.4158088071607171,-0.05469686367170645
-0.29,3.2800834841555933,-0.10668287513036656,-0.015564842375437316
-0.27,3.2716256902598575,0.12237672406861888,-0.10567754524954509
-0.25,3.151694757093356,0.19805526768214365,-0.11499807609597479
-0.23,3.558812711871947,-0.34026991487881375,-0.025099806183836115
-0.21,3.31083767166413,-0.06333043356286172,-0.044874382745426544
-0.19,3.0540937255179523,0.30227553952013375,-0.18335299932579652
-0.17,3.2851114107283794,0.05149631010717126,-0.19271745344846325
-0.15,3.6666794291655087,-0.3154027518672273,-0.12984502919258833
-0.13,3.327089897899402,0.05793331803463664,-0.16616743880093932
-0.11,3.288559032248813,0.000769512501734404,-0.026503541840148248
-0.09,3.113488028943881,0.2514245335766727,-0.08049613812609291
-0.07,3.231194712044061,0.3117232071132978,-0.25970707656324077
-0.05,3.0816531778602037,0.23627035510194094,-0.10482929285382125
-0.03,3.4043943738104363,-0.07459890689742199,-0.08451206062447136
-0.01,2.9403053007984212,0.5699572255135252,-0.31232126598075105
0.01,2.962222016291014,0.5736265081525018,-0.302876515855969
0.03,3.1704876594322458,0.4135807687303297,-0.2695262263614966
0.05,3.619919777202195,0.06248586377040999,-0.16310581621516818
0.07,3.7361253846099816,0.009083927893908772,-0.10793741088277153
0.09,4.015438291629327,0.001554771745796657,-0.2440954446610104
0.11,3.710972759381388,0.7190607044202775,-0.16567354533626322
0.13,4.396501032481961,0.5464950776152762,-0.3476867971320239
0.15,4.344844683603724,0.5472337655970714,-0.06518583291777436
0.17,4.165414682772797,0.7411063808829788,-0.2234000144648478
0.19,3.918098645364839,0.7454506503937997,-0.2047050222721074
0.21,3.981956798472489,0.6059023811829598,-0.14025165171925114
0.23,3.712502081919204,0.7302921392292556,-0.1121519455319957
0.25,3.7588110265288566,0.6814152868802714,-0.15564499611780835
0.27,3.900502928944708,0.46899960640244664,-0.0716328118916989
0.29,3.746417349770802,0.4795471925779613,0.06509932794221829
0.31,3.8241336675730144,0.4686149124589667,-0.17207402968092467
0.33,3.711594715258756,0.5361023197533648,-0.1140811744748298
0.35,3.5796040269599225,0.5407419151820991,-0.07219831123699105
0.37,4.482548679597332,-0.41901027090152443,-0.006679995263604077
0.39,3.647905514134873,0.25547174094412295,0.21769925678441826
0.41,3.264098628619922,0.6527240701772072,0.0034740876052068437
0.43,3.8115897843348607,0.07291825132693797,-0.055773185730401575
0.45,3.7967762897435717,0.15817748200577864,-0.2056879897081818
0.47,3.661119892806526,0.05515394781964922,0.14328415416474938
0.49,3.6003886489755588,0.1894131966664223,-0.05969840560128459
0.51,3.577564199749498,0.24706202593839421,-0.18644773548050075
0.53,4.347259449893634,-0.5257907503197528,-0.28784662324844135
0.55,3.983011794210304,-0.20024460095451868,-0.08362786012667511
0.57,3.50889627150265,0.26981971525917015,-0.19367083546164032
0.59,3.429772035026282,0.3049563012912784,0.046808292510093885
0.61,3.5024764520534517,0.3188864226361945,-0.13459969646201575
0.63,3.8269479620315305,-0.004326112654223113,-0.17266727590879638
0.65,3.6685338717042693,0.17616842740078553,-0.20840390627094685
0.67,3.102805011246562,0.7776748895722951,-0.2691844617114123
0.69,3.443089548437223,0.5305296361223126,-0.32703768374346076
0.71,3.652820441156709,0.34313893342626045,-0.6144299925914423
0.73,4.316656580634462,-0.4288121463100949,-0.4984012917864242
0.75,4.0798460237739675,-0.08125948858989318,-0.5456287613333077
0.77,3.8543990950078655,0.16314832343222463,-0.6319676650973922
0.79,3.477262604969824,0.6527408422428307,-0.8270410807477764
0.81,3.3977851322168693,0.7332402580505999,-0.7593353684344839
0.83,4.132162647671789,-0.07597497646967355,-0.7102870227425893
0.85,3.7010961237639908,0.44542312320074995,-0.7748482698437225
0.87,3.663426270437451,0.5341277510679734,-0.8480225553711835
0.89,3.7683561491998,0.2655434902613374,-0.7316258872124601
0.91,3.294660149927566,0.7009273738024948,-0.642223511657138
0.93,3.9930258939168364,0.12440653703933835,-0.8522566862202607
0.95,3.579089606918637,0.4715904714108401,-0.7295397017364778
0.97,3.977302985023771,0.21839333670277572,-0.9463296282320139
0.99,3.637222849299418,0.41253807448399193,-0.8256003432367276
1.01,3.4540016922128403,0.611667931773987,-0.7904167819553365
1.03,3.0060143394787073,1.0102361445277972,-0.7800066159815704
1.05,3.235531671420153,0.7881150609311591,-0.7066056767279378
1.07,2.926147625433463,1.05685121493531,-0.6922643760649922
1.09,3.4163857746626616,0.5878912544187851,-0.6743932181870651
1.11,3.416075471627927,0.5657575389118334,-0.6921236626422744
1.13,3.7932319185787198,0.15358912437272076,-0.6425281782483205
1.15,3.718448656927041,0.3031666423962598,-0.7308539318094649
1.17,3.836518920847015,0.1587688919608521,-0.6953653214095161
1.19,3.6264567553111693,0.16448578885234255,-0.5802463888443863
1.21,3.380194051123436,0.6292044551038773,-0.6954022772767385
1.23,3.264296946882515,0.6369046340192512,-0.7044404254088228
1.25,3.609826945103289,0.1836808058195789,-0.4709811707017795
1.27,3.4301831412921837,0.4253941940368451,-0.5934178394426937
1.29,3.1865012759021925,0.7206281767334923,-0.7310970384995286
1.31,3.4645807937514164,0.26262511988039927,-0.34990176159538056
1.33,3.5925674441845676,0.24036625190561578,-0.4315444421853374
1.35,3.2740348697142094,0.5464446130169724,-0.5287096753936154
1.37,3.0544376068797563,0.7593955485209638,-0.4394056518624523
1.39,3.2818187798242096,0.5364122387061365,-0.418136530637077
1.41,3.251292284496092,0.5316268894343015,-0.418094266033588
1.43,2.9568024089378473,0.7502581718157098,-0.20289036828260798
1.45,2.906123313267832,0.836465400817104,-0.19098253420430256
1.47,3.1265635819280595,0.708696793594096,-0.2864403129977666
1.49,3.380363793423759,0.3236051325544089,-0.24368330407244754
