coefficient_type,signal_trials,signal_trials_err,mvt_trials,mvt_trials_err,reward_trials,reward_trials_err
signal,0.02052220872860556,0.0011001841499367875,0.02245287726699289,0.0013714647886069777,0.02443638765466143,0.001426671049096378
mvt,0.005960017528407438,0.0013492825940834394,0.0274583934833026,0.0017760800915857988,0.028761773266805228,0.0019452325533916273
reward,0.0063463635359295905,0.0013499674929804467,-0.001314878757441531,0.0019488009124747744,0.028264240158700722,0.0020219311085074763
