coefficient_type,signal_trials,signal_trials_err,mvt_trials,mvt_trials_err,reward_trials,reward_trials_err
signal,0.01845973835759452,0.0010053613498238495,0.015144970023510788,0.0010797494529508726,0.016814446411074258,0.0010178536750815037
mvt,0.0021320142617706045,0.000921237835402061,0.03187270792913839,0.001691909618492236,0.03015248693934513,0.0017681410733042806
reward,0.003050458558455417,0.00088225737808652,-0.0027717583290809006,0.0012391745753961732,0.01324570785252252,0.0013964424923488988
