,trial_index,interconnectivity_strength
0,1,109.47225018877396
1,2,117.86113710201462
2,3,128.47224608116852
3,4,140.888910658308
4,5,147.50002079953413
5,6,133.33335022550966
6,7,145.04763458401112
7,8,155.57144306292193
8,9,172.19048929062558
9,10,180.166679189757
10,11,187.61905964709638
11,12,154.48980663834936
12,13,180.04762217962548
13,14,181.78572669782142
14,15,140.6851876062229
15,16,140.74075042362517
16,17,126.23333551712068
17,18,178.23810789600336
18,19,216.82857517711844
19,20,1.0
20,21,1.0
21,22,1.0
22,23,1.0
23,24,1.0
24,25,1.0
25,26,1.0
26,27,1.0
27,28,1.0
28,29,1.0
29,30,1.0
30,31,1.0
31,32,1.0
32,33,0.0
33,34,0.0
34,35,0.0
35,36,0.0
36,37,0.0
37,38,0.0
38,39,0.0
39,40,0.0
40,41,0.0
41,42,0.0
42,43,0.0
43,44,1.0
44,45,1.0
45,46,1.0
46,47,1.0
47,48,1.0
48,49,1.0
49,50,1.0
50,51,1.0
51,52,1.0
52,53,1.0
53,54,1.0
54,55,1.0
55,56,1.0
56,57,1.0
57,58,1.0
58,59,1.0
59,60,1.0
60,61,1.0
61,62,1.0
62,63,1.0
63,64,1.0
64,65,1.0
65,66,1.0
66,67,1.0
67,68,1.0
68,69,1.0
69,70,1.0
70,71,1.0
71,72,1.0
72,73,0.0
73,74,0.0
74,75,0.0
75,76,0.0
76,77,0.0
77,78,0.0
78,79,0.0
79,80,0.0
80,81,0.0
81,82,0.0
82,83,0.0
83,84,0.0
84,85,0.0
85,86,0.0
86,87,0.0
87,88,0.0
88,89,0.0
89,90,0.0
90,91,0.0
91,92,0.0
92,93,0.0
93,94,0.0
94,95,0.0
95,96,0.0
96,97,0.0
97,98,0.0
98,99,0.0
99,100,0.0
100,101,0.0
101,102,0.0
102,103,0.0
103,104,0.0
104,105,0.0
105,106,0.0
106,107,0.0
107,108,0.0
108,109,0.0
109,110,0.0
110,111,0.0
111,112,0.0
112,113,0.0
113,114,0.0
114,115,0.0
115,116,0.0
116,117,0.0
117,118,0.0
118,119,0.0
119,120,0.0
120,121,0.0
121,122,0.0
122,123,0.0
123,124,0.0
124,125,0.0
125,126,0.0
126,127,0.0
127,128,0.0
128,129,0.0
129,130,0.0
130,131,0.0
131,132,0.0
132,133,0.0
133,134,0.0
134,135,0.0
135,136,0.0
136,137,0.0
137,138,0.0
138,139,0.0
139,140,0.0
140,141,0.0
141,142,0.0
142,143,0.0
143,144,0.0
144,145,0.0
145,146,0.0
146,147,0.0
147,148,0.0
148,149,0.0
149,150,0.0
150,151,0.0
151,152,0.0
152,153,0.0
153,154,0.0
154,155,0.0
155,156,0.0
156,157,0.0
157,158,0.0
158,159,0.0
159,160,0.0
160,161,0.0
161,162,0.0
162,163,1.0
163,164,1.0
164,165,1.0
165,166,1.0
166,167,1.0
167,168,137.28084011627902
168,169,306.33335905721606
169,170,367.71113255078774
170,171,369.62224355128666
171,172,322.381822271756
172,173,321.94547093100414
173,174,397.5777827347725
174,175,378.6889097083989
175,176,379.4000207805713
176,177,384.3333384607512
177,178,385.66668711028956
178,179,386.82222731672346
179,180,382.64444959444035
180,181,343.16001860465303
181,182,310.70909515222496
182,183,317.5091075229714
183,184,311.4285755120728
184,185,269.6875036085434
185,186,287.1666820969787
186,187,142.38389543704204
187,188,282.73333725029056
188,189,0.0
189,190,246.0018745067083
190,191,229.13508593067462
191,192,212.635222100143
192,193,249.0019278370156
193,194,260.42513116414705
194,195,243.32332374372473
195,196,161.38208951033386
196,197,154.40608649068972
197,198,142.17903027148935
198,199,147.35676408556873
199,200,150.37896204441714
200,201,163.17886923658284
201,202,162.23013124706264
202,203,211.1036882718931
203,204,212.0524011916822
204,205,250.50111222025177
205,206,285.54661608653754
206,207,273.8621284366473
207,208,181.2327769112976
208,209,160.8755464662863
209,210,137.8557148935095
210,211,253.2727455651112
211,212,270.8333521122053
212,213,247.89584031092144
213,214,239.020849616443
214,215,238.3333405898042
215,216,247.97826846468536
216,217,38.857760305873576
217,218,37.43678269950404
218,219,28.433016657782037
219,220,28.04948824581
220,221,26.043062390870777
221,222,25.41184249317605
222,223,26.378904693301806
223,224,26.02948776851677
224,225,23.401333103435785
225,226,23.28578723155949
226,227,23.05483538298332
227,228,38.84219351998718
228,229,41.87728628860437
229,230,38.85405042136183
230,231,42.75671672164982
231,232,53.852924861709624
232,233,47.034383883832284
233,234,59.383082570966806
234,235,61.34462085470107
235,236,58.95119526890307
236,237,60.46667824576653
237,238,69.15206001150862
238,239,67.4895932426435
239,240,81.98584597236767
240,241,50.970446836320406
241,242,50.66315447081534
242,243,33.08608213688935
243,244,34.056840503310745
244,245,48.41035084804193
245,246,44.4121191438195
246,247,44.15813127288301
247,248,41.66637752373724
248,249,50.64131140382792
249,250,49.421877316092576
250,251,31.671615811311966
251,252,26.43806687385455
252,253,21.984689322430683
253,254,22.890783492631584
254,255,26.283815232647754
255,256,24.922160822762425
256,257,24.49588865213374
257,258,24.09747371295892
258,259,30.776936335593803
259,260,19.78997767005415
260,261,21.479202660953128
261,262,22.204338230661257
262,263,33.16961876505851
263,264,31.70706104417465
264,265,29.686870558041804
265,266,36.54326710783123
266,267,35.1969567042535
267,268,48.496094243241934
268,269,55.26384906665903
269,270,40.85081181646741
270,271,43.56998063009821
271,272,67.44453302961277
272,273,85.1704954760875
273,274,78.31482440826537
274,275,78.28378274105977
275,276,120.30230875490778
276,277,122.05984948877077
277,278,136.97734618299108
278,279,100.2026971572471
279,280,131.31023634750238
