,trial_index,interconnectivity_strength
0,1,1.0
1,2,1.0
2,3,1.0
3,4,1.0
4,5,1.0
5,6,1.0
6,7,1.0
7,8,1.0
8,9,1.0
9,10,1.0
10,11,1.0
11,12,1.0
12,13,1.0
13,14,1.0
14,15,183.28414251445184
15,16,183.28414251445184
16,17,177.50033332409834
17,18,183.76955275372694
18,19,183.94900661071432
19,20,187.40822734660267
20,21,203.09491841659204
21,22,191.6541549272897
22,23,192.9627915240004
23,24,191.13779429987466
24,25,195.26950274239687
25,26,194.71081362930377
26,27,178.23778315738136
27,28,169.52470594408464
28,29,173.0772648941413
29,30,177.85168307181362
30,31,189.27982326951295
31,32,184.21468465780248
32,33,189.80342124759778
33,34,190.0004352082268
34,35,170.0837416304743
35,36,0.0
36,37,299.2110467106401
37,38,266.7505266853906
38,39,83.89699280230819
39,40,46.93034846368588
40,41,38.566090195862564
41,42,36.77035185069321
42,43,25.654195703125446
43,44,23.8334446632519
44,45,22.066183965553368
45,46,18.849715907826802
46,47,18.071514842145348
47,48,17.951663643009958
48,49,16.663028303084136
49,50,16.602760727476017
50,51,29.142418539575015
51,52,28.147838462906876
52,53,27.42548377642623
53,54,21.74295726701132
54,55,10.809585749863913
55,56,20.565799794778126
56,57,17.884217245367083
57,58,7.222138543744995
58,59,13.375258587430132
59,60,13.302882576986088
60,61,17.271503312863764
61,62,17.720290184936548
62,63,16.38462214502734
63,64,9.060663539556925
64,65,9.884165271186395
65,66,10.146876471956816
66,67,17.314295222864036
67,68,27.57702307097613
68,69,16.43272107999285
69,70,16.95455486201582
70,71,17.03199203172173
71,72,29.55246197762794
72,73,16.621898648789386
73,74,22.76088076838812
74,75,15.376479052052582
75,76,14.664770254911625
76,77,15.63783573427966
77,78,17.197035859662613
78,79,22.082779479744712
79,80,22.511544534294845
80,81,13.44103278911158
81,82,27.413780928576998
82,83,27.62301054718678
83,84,14.758434688292844
84,85,15.42120368701739
85,86,30.74369654655046
86,87,33.826477795558745
87,88,24.809972030980987
88,89,52.875129299197596
89,90,59.26243872713528
90,91,57.97862045507713
91,92,59.50012265788044
92,93,60.22416893130477
93,94,86.97674061025145
94,95,58.709817752035626
95,96,57.87844470961495
96,97,34.03235462413281
97,98,35.91483851181103
98,99,45.766242027553986
99,100,35.61595279503134
100,101,61.51928092127172
101,102,58.138606070338966
102,103,58.22578534410424
103,104,55.36378346572485
104,105,50.13058317257738
105,106,37.52441892014103
106,107,35.38392628720332
107,108,36.80221137692984
108,109,35.170259658926646
109,110,25.239569325003668
110,111,24.41781289311748
111,112,23.53680352867436
112,113,22.69277392391534
113,114,21.544272990886547
114,115,24.10252489213032
115,116,24.956180594529254
116,117,26.242583110783823
117,118,32.453230758413966
118,119,31.462137097772636
119,120,31.34385939924324
120,121,41.1647545860908
121,122,41.71901228842208
122,123,37.46080631055597
123,124,36.96786452258113
