,trial_index,interconnectivity_strength
0,1,1.0
1,2,1.0
2,3,1.0
3,4,1.0
4,5,1.0
5,6,1.0
6,7,1.0
7,8,1.0
8,9,1.0
9,10,1.0
10,11,1.0
11,12,1.0
12,13,1.0
13,14,1.0
14,15,1.0
15,16,1.0
16,17,1.0
17,18,414.558031320208
18,19,553.2307799100789
19,20,411.8753412192874
20,21,513.6708368268945
21,22,495.19835591934174
22,23,324.4058233661757
23,24,464.2727351692852
24,25,462.42425035230474
25,26,336.68182430199346
26,27,299.4825233429906
27,28,292.22403036000867
28,29,351.2337738974197
29,30,256.51299290947406
30,31,250.9418135130554
31,32,234.61841940630964
32,33,244.00649970406283
33,34,201.13925305506882
34,35,161.0001809933447
35,36,195.51667232261758
36,37,188.91667251923946
37,38,132.71250467595522
38,39,628.0006670084427
39,40,604.883045454031
40,41,515.1672659068247
41,42,465.79006845852564
42,43,497.17716680707474
43,44,501.4382793989328
44,45,500.31328115235954
45,46,493.5632918408748
46,47,469.76544274229667
47,48,390.0006410256433
48,49,375.4767943190462
49,50,392.95063621325625
50,51,390.60064004096074
51,52,383.50065189048354
52,53,399.68490368552875
53,54,310.3050848490029
54,55,336.86424953705205
55,56,0.0
56,57,0.0
57,58,0.0
58,59,0.0
59,60,0.0
60,61,0.0
61,62,0.0
62,63,0.0
63,64,0.0
64,65,0.0
65,66,0.0
66,67,0.0
67,68,1.0
68,69,1.0
69,70,1.0
70,71,1.0
71,72,1.0
72,73,1.0
73,74,1.0
74,75,1.0
75,76,1.0
76,77,1.0
77,78,1.0
78,79,1.0
79,80,1.0
80,81,1.0
81,82,1.0
82,83,1.0
83,84,1.0
84,85,1.0
85,86,1.0
86,87,1.0
87,88,1.0
88,89,1.0
89,90,1.0
90,91,1.0
91,92,224.10057759158383
92,93,232.45893763055685
93,94,233.64643456251352
94,95,221.14058531297923
95,96,230.85477515850738
96,97,235.08760724959208
97,98,243.7614292630983
98,99,251.13104397464218
99,100,261.1369347826091
100,101,129.01168646128036
101,102,103.83661985196348
102,103,103.99116492818423
103,104,100.45481023830465
104,105,59.136538163202296
105,106,68.33768312533962
106,107,66.97389124033943
107,108,84.0392958164346
108,109,92.0002786952927
109,110,88.01814835054235
110,111,103.57325406544741
111,112,123.02564235116905
112,113,73.70792201185877
113,114,147.86154005184343
114,115,157.0615399592623
115,116,180.60683921613906
116,117,184.96581353738708
117,118,138.69934762861735
118,119,132.85621042712754
119,120,134.05882479484308
120,121,132.6993476835293
121,122,127.71515265682982
122,123,102.54545553101367
123,124,123.41176581859335
124,125,116.811112159231
125,126,73.5187579438984
126,127,73.89650873459551
127,128,90.40981159506889
128,129,90.7241311198791
129,130,76.9419250992603
130,131,75.50862857663653
131,132,66.82248538011747
132,133,89.38021753607141
133,134,101.87798115455504
134,135,108.90146963096403
135,136,107.02496878901422
136,137,104.0373223852791
