cell_location,not-correlated percentage,ITI firing correlated percentage,response magnitude correlated percentage,both ITI firing and response magnitude correlated percentage
pfc,0.2793764988009592,0.06774580335731414,0.15167865707434053,0.37829736211031173
dms,0.27618069815195073,0.055441478439425054,0.18275154004106775,0.30903490759753593
