cell_location,firing_window,positively_correlated_percentage,positive_standard_error,negatively_correlated_percentage,negative_standard_error
pfc,ITI,0.31595715089122706,0.026559359782048857,0.23812503462575518,0.019317901165674677
pfc,response,0.38453997552967123,0.025175455548398167,0.27922785467491107,0.02321517011112494
dms,ITI,0.3004250422931048,0.028078927533242114,0.2409387329937494,0.030312003344427643
dms,response,0.3545561697053873,0.03116465380468315,0.3169428833318688,0.027259024112010262
