cell_location,not-correlated percentage,ITI firing correlated percentage,response magnitude correlated percentage,both ITI firing and response magnitude correlated percentage
pfc,0.30935251798561153,0.06414868105515588,0.17326139088729017,0.4448441247002398
dms,0.4804928131416838,0.06570841889117043,0.20636550308008214,0.4455852156057495
