pfc_strongly_positively_correlated_response,pfc_strongly_negatively_correlated_response,pfc_strongly_positively_correlated_bg,pfc_strongly_negatively_correlated_bg,dms_strongly_positively_correlated_response,dms_strongly_negatively_correlated_response,dms_strongly_positively_correlated_bg,dms_strongly_negatively_correlated_bg
0.29213483146067415,0.2247191011235955,0.15730337078651685,0.1797752808988764,0.3191489361702128,0.11702127659574468,0.20212765957446807,0.11702127659574468
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5,0.5384615384615384,0.34615384615384615,0.5384615384615384,0.23076923076923078
0.4691358024691358,0.2839506172839506,0.3950617283950617,0.2962962962962963,0.46153846153846156,0.35384615384615387,0.36923076923076925,0.36923076923076925
0.45614035087719296,0.2807017543859649,0.43859649122807015,0.15789473684210525,0.06896551724137931,0.6206896551724138,0.10344827586206896,0.6206896551724138
0.42,0.13,0.16,0.17,0.1,0.2,0.0,0.13333333333333333
0.1836734693877551,0.2755102040816326,0.1836734693877551,0.1836734693877551,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.05263157894736842
0.16666666666666666,0.11666666666666667,0.08333333333333333,0.125,0.3125,0.25,0.15625,0.3125
0.38461538461538464,0.2692307692307692,0.3076923076923077,0.23076923076923078,0.5833333333333334,0.16666666666666666,0.5833333333333334,0.08333333333333333
0.48863636363636365,0.09090909090909091,0.4318181818181818,0.11363636363636363,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.0
0.4264705882352941,0.17647058823529413,0.4264705882352941,0.10294117647058823,0.3888888888888889,0.2962962962962963,0.5185185185185185,0.12962962962962962
0.44,0.48,0.6,0.2,0.375,0.5416666666666666,0.3333333333333333,0.4583333333333333
0.46875,0.34375,0.34375,0.34375,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.3076923076923077
0.4215686274509804,0.30392156862745096,0.4411764705882353,0.23529411764705882,0.4117647058823529,0.29411764705882354,0.3176470588235294,0.2
0.5,0.0,0.0,0.5,0.45454545454545453,0.3333333333333333,0.30303030303030304,0.18181818181818182
0.1875,0.5625,0.25,0.4375,0.3888888888888889,0.4074074074074074,0.35185185185185186,0.4444444444444444
0.4897959183673469,0.3673469387755102,0.46938775510204084,0.30612244897959184,0.21428571428571427,0.35714285714285715,0.17857142857142858,0.21428571428571427
0.23529411764705882,0.27450980392156865,0.21568627450980393,0.13725490196078433,0.42424242424242425,0.2727272727272727,0.3333333333333333,0.09090909090909091
0.4827586206896552,0.10344827586206896,0.3793103448275862,0.08620689655172414,0.5,0.4375,0.4375,0.4375
0.24166666666666667,0.38333333333333336,0.175,0.30833333333333335,0.2777777777777778,0.2777777777777778,0.1111111111111111,0.2777777777777778
0.5733333333333334,0.14666666666666667,0.5466666666666666,0.14666666666666667,0.3698630136986301,0.2465753424657534,0.2876712328767123,0.2054794520547945
0.25806451612903225,0.45161290322580644,0.2903225806451613,0.25806451612903225,0.3333333333333333,0.4666666666666667,0.4,0.16666666666666666
0.44285714285714284,0.2,0.5142857142857142,0.12857142857142856,0.36,0.44,0.32,0.4
0.6,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.2978723404255319,0.5319148936170213,0.3404255319148936,0.23404255319148937,0.13513513513513514,0.40540540540540543,0.08108108108108109,0.2972972972972973
0.647887323943662,0.14084507042253522,0.5915492957746479,0.11267605633802817,0.3953488372093023,0.27906976744186046,0.3023255813953488,0.20930232558139536
0.2,0.05,0.075,0.125,0.16666666666666666,0.19047619047619047,0.16666666666666666,0.09523809523809523
0.21568627450980393,0.43137254901960786,0.21568627450980393,0.37254901960784315,0.625,0.1875,0.4375,0.125
0.16216216216216217,0.5135135135135135,0.10810810810810811,0.1891891891891892,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285
0.16216216216216217,0.2972972972972973,0.16216216216216217,0.1891891891891892,0.16666666666666666,0.4444444444444444,0.3333333333333333,0.1111111111111111
