bin_centers,left_p_high,right_p_high
-0.49,1.7241379310344827,4.679802955665025
-0.47,1.354679802955665,3.5714285714285716
-0.45,2.586206896551724,5.788177339901478
-0.43,2.2167487684729066,4.310344827586207
-0.41,2.2167487684729066,3.5714285714285716
-0.39,2.0935960591133007,4.802955665024631
-0.37,1.6009852216748768,4.802955665024631
-0.35,2.3399014778325125,4.310344827586207
-0.33,2.4630541871921183,5.0492610837438425
-0.31,1.9704433497536946,3.6945812807881775
-0.29,1.9704433497536946,4.433497536945813
-0.27,2.832512315270936,5.911330049261084
-0.25,2.3399014778325125,5.541871921182266
-0.23,1.1083743842364533,4.556650246305419
-0.21,1.9704433497536946,4.679802955665025
-0.19,1.354679802955665,5.41871921182266
-0.17,1.9704433497536946,5.541871921182266
-0.15,2.0935960591133007,4.926108374384237
-0.13,2.0935960591133007,6.527093596059113
-0.11,2.586206896551724,5.665024630541872
-0.09,1.8472906403940887,5.665024630541872
-0.07,1.7241379310344827,4.433497536945813
-0.05,2.0935960591133007,5.911330049261084
-0.03,1.477832512315271,5.911330049261084
-0.01,1.7241379310344827,4.802955665024631
0.01,2.832512315270936,5.788177339901478
0.03,2.0935960591133007,7.142857142857143
0.05,1.9704433497536946,5.788177339901478
0.07,1.7241379310344827,5.41871921182266
0.09,2.4630541871921183,6.0344827586206895
0.11,2.4630541871921183,6.650246305418719
0.13,2.832512315270936,6.0344827586206895
0.15,2.0935960591133007,6.0344827586206895
0.17,2.2167487684729066,7.512315270935961
0.19,3.2019704433497536,6.650246305418719
0.21,2.4630541871921183,7.8817733990147785
0.23,3.0788177339901477,8.004926108374384
0.25,3.4482758620689653,7.512315270935961
0.27,2.832512315270936,7.512315270935961
0.29,4.064039408866995,8.990147783251231
0.31,3.4482758620689653,7.635467980295567
0.33,3.2019704433497536,8.990147783251231
0.35,3.2019704433497536,7.389162561576355
0.37,3.3251231527093594,7.142857142857143
0.39,3.8177339901477834,6.896551724137931
0.41,3.5714285714285716,6.896551724137931
0.43,3.2019704433497536,7.142857142857143
0.45,2.586206896551724,7.266009852216749
0.47,3.3251231527093594,7.635467980295567
0.49,2.955665024630542,7.142857142857143
0.51,3.0788177339901477,8.12807881773399
0.53,3.2019704433497536,6.896551724137931
0.55,2.3399014778325125,7.019704433497537
0.57,2.832512315270936,6.773399014778325
0.59,2.955665024630542,7.389162561576355
0.61,3.2019704433497536,5.541871921182266
0.63,4.433497536945813,6.650246305418719
0.65,2.2167487684729066,8.12807881773399
0.67,3.2019704433497536,7.142857142857143
0.69,2.70935960591133,7.389162561576355
0.71,2.832512315270936,7.142857142857143
0.73,2.70935960591133,8.12807881773399
0.75,3.0788177339901477,5.788177339901478
0.77,1.8472906403940887,7.266009852216749
0.79,2.955665024630542,7.266009852216749
0.81,2.2167487684729066,7.389162561576355
0.83,2.70935960591133,7.266009852216749
0.85,2.0935960591133007,6.773399014778325
0.87,2.586206896551724,6.403940886699507
0.89,1.8472906403940887,8.12807881773399
0.91,2.3399014778325125,7.758620689655173
0.93,2.832512315270936,5.788177339901478
0.95,1.9704433497536946,7.8817733990147785
0.97,2.4630541871921183,5.41871921182266
0.99,1.477832512315271,5.788177339901478
1.01,2.955665024630542,6.280788177339901
1.03,1.9704433497536946,6.157635467980295
1.05,3.2019704433497536,6.896551724137931
1.07,2.70935960591133,6.527093596059113
1.09,2.832512315270936,7.512315270935961
1.11,1.8472906403940887,5.41871921182266
1.13,1.7241379310344827,6.896551724137931
1.15,2.70935960591133,5.541871921182266
1.17,1.8472906403940887,4.926108374384237
1.19,1.6009852216748768,6.650246305418719
1.21,1.9704433497536946,5.295566502463054
1.23,2.3399014778325125,6.527093596059113
1.25,1.2315270935960592,4.926108374384237
1.27,2.3399014778325125,6.280788177339901
1.29,1.9704433497536946,5.665024630541872
1.31,1.9704433497536946,6.403940886699507
1.33,1.8472906403940887,6.280788177339901
1.35,1.9704433497536946,7.266009852216749
1.37,1.1083743842364533,6.157635467980295
1.39,2.586206896551724,6.650246305418719
1.41,2.0935960591133007,8.620689655172415
1.43,1.8472906403940887,6.403940886699507
1.45,2.0935960591133007,5.911330049261084
1.47,1.7241379310344827,4.556650246305419
