leftP,rightP,trial_response_side,trial_reward,cue_time
0.8,0.05,-1.0,1.0,760.4612
0.8,0.05,-1.0,0.0,765.7052
0.8,0.05,-1.0,1.0,770.1908
0.8,0.05,-1.0,1.0,775.3535
0.8,0.05,-1.0,1.0,779.9053
0.8,0.05,-1.0,0.0,783.80865
0.8,0.05,-1.0,1.0,786.2966
0.8,0.05,-1.0,1.0,791.41925
0.8,0.05,-1.0,1.0,797.33695
0.8,0.05,-1.0,1.0,801.2553
0.8,0.05,-1.0,0.0,804.2843
0.8,0.05,-1.0,1.0,807.8137
0.8,0.05,-1.0,0.0,810.3324
0.8,0.05,-1.0,1.0,814.2268
0.8,0.05,-1.0,1.0,818.6777
0.8,0.05,-1.0,1.0,824.3139
0.05,0.85,-1.0,1.0,827.20485
0.05,0.85,-1.0,0.0,829.4776
0.05,0.85,-1.0,0.0,832.4941
0.05,0.85,-1.0,0.0,835.0761
0.05,0.85,-1.0,0.0,839.6832
0.05,0.85,-1.0,0.0,844.4074
0.05,0.85,-1.0,0.0,846.83725
0.05,0.85,-1.0,0.0,851.88255
0.05,0.85,1.0,1.0,855.91465
0.05,0.85,-1.0,0.0,861.53405
0.05,0.85,-1.0,0.0,865.28085
0.05,0.85,-1.0,0.0,869.5453
0.05,0.85,-1.0,0.0,872.32175
0.05,0.85,-1.0,0.0,874.96405
0.05,0.85,1.0,1.0,877.51535
0.05,0.85,-1.0,0.0,892.88765
0.05,0.85,1.0,1.0,901.25095
0.05,0.85,1.0,1.0,905.80575
0.05,0.85,1.0,1.0,911.04805
0.05,0.85,-1.0,0.0,913.58615
0.05,0.85,-1.0,0.0,919.98585
0.05,0.85,-1.0,0.0,922.6627
0.05,0.85,-1.0,0.0,926.43845
0.05,0.85,1.0,1.0,931.73115
0.05,0.85,1.0,0.0,936.71165
0.05,0.85,1.0,0.0,939.8995
0.05,0.85,1.0,1.0,942.25835
0.05,0.85,1.0,1.0,945.9005
0.05,0.85,1.0,1.0,950.81875
0.05,0.85,1.0,1.0,953.23455
0.05,0.85,1.0,1.0,958.1701
0.05,0.85,1.0,1.0,962.7368
0.05,0.85,1.0,1.0,967.0562
0.05,0.85,1.0,1.0,975.8653
0.05,0.85,1.0,1.0,979.17785
0.05,0.85,1.0,0.0,982.5258
0.05,0.85,1.0,1.0,985.7202
0.05,0.85,1.0,1.0,992.41775
0.05,0.85,1.0,1.0,996.62695
0.05,0.85,1.0,0.0,1001.84525
0.05,0.85,1.0,1.0,1005.5236
0.05,0.85,1.0,1.0,1007.7603
0.05,0.85,1.0,1.0,1015.0431
0.05,0.85,1.0,1.0,1018.2873
0.05,0.85,1.0,1.0,1026.9529
0.05,0.85,1.0,1.0,1037.7695
0.05,0.85,1.0,1.0,1042.1073
0.05,0.85,1.0,1.0,1046.52835
0.05,0.85,1.0,1.0,1052.0162
0.05,0.85,1.0,1.0,1056.74105
0.9,0.05,1.0,0.0,1060.0519
0.9,0.05,1.0,0.0,1063.50335
0.9,0.05,1.0,0.0,1067.2123
0.9,0.05,1.0,0.0,1070.115
0.9,0.05,1.0,0.0,1072.85335
0.9,0.05,1.0,0.0,1075.3147
0.9,0.05,1.0,0.0,1077.88375
0.9,0.05,1.0,0.0,1082.2688
0.9,0.05,1.0,0.0,1085.2688
0.9,0.05,-1.0,1.0,1087.8109
0.9,0.05,1.0,0.0,1094.5581
0.9,0.05,1.0,0.0,1101.7162
0.9,0.05,1.0,0.0,1106.4388
