leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.85,0.05,1.0,0.0,47.57445,
0.85,0.05,1.0,0.0,50.3898,
0.85,0.05,,,55.01925,
0.85,0.05,,,63.1237,
0.85,0.05,,,71.2272,
0.85,0.05,1.0,1.0,79.33125,83.89755
0.85,0.05,1.0,0.0,86.64015,
0.85,0.05,1.0,0.0,95.56195,
0.85,0.05,1.0,0.0,104.67625,
0.85,0.05,1.0,0.0,107.1695,
0.85,0.05,1.0,0.0,114.4382,
0.85,0.05,,,125.0913,
0.85,0.05,,,133.19245,
0.85,0.05,1.0,0.0,141.2934,
0.85,0.05,1.0,0.0,144.60645,
0.85,0.05,-1.0,1.0,147.3718,147.9508
0.85,0.05,1.0,0.0,150.02945,
0.85,0.05,,,155.53885,
0.85,0.05,,,163.6414,
0.85,0.05,,,171.7435,
0.85,0.05,,,179.84525,
0.85,0.05,1.0,0.0,187.9452,
0.85,0.05,-1.0,1.0,190.4235,191.0673
0.85,0.05,,,193.74005,
0.85,0.05,-1.0,1.0,201.8432,202.27405
0.85,0.05,1.0,0.0,204.64695,
0.85,0.05,1.0,0.0,213.6978,
0.85,0.05,-1.0,1.0,216.52615,217.03875
0.85,0.05,,,219.5116,
0.85,0.05,1.0,0.0,227.614,
0.85,0.05,-1.0,1.0,230.2671,236.2803
0.85,0.05,1.0,0.0,240.43705,
0.85,0.05,1.0,0.0,243.2873,
0.85,0.05,1.0,0.0,250.77685,
0.85,0.05,-1.0,1.0,258.32675,258.8772
0.85,0.05,,,261.3495,
0.85,0.05,1.0,0.0,269.45135,
0.85,0.05,-1.0,1.0,281.48605,281.80475
0.85,0.05,-1.0,1.0,285.6873,285.8189
0.85,0.05,-1.0,1.0,289.2769,289.39255
0.85,0.05,-1.0,1.0,292.89605,293.3967
0.85,0.05,-1.0,1.0,300.0257,300.21725
0.85,0.05,-1.0,0.0,307.18125,
0.85,0.05,-1.0,1.0,310.02275,310.11045
0.85,0.05,-1.0,0.0,313.84385,
0.85,0.05,-1.0,1.0,316.8109,317.0841
