leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.2,0.85,1.0,1.0,13.66515,14.1833
0.2,0.85,1.0,1.0,17.627,18.84965
0.2,0.85,1.0,1.0,21.12265,21.6931
0.2,0.85,1.0,0.0,24.36685,
0.2,0.85,1.0,1.0,26.85215,27.42655
0.2,0.85,1.0,1.0,31.2581,31.8304
0.2,0.85,1.0,1.0,34.61355,35.06765
0.2,0.85,1.0,1.0,37.541,41.36935
0.2,0.85,1.0,1.0,43.64405,46.5953
0.2,0.85,1.0,0.0,51.72445,
0.2,0.85,1.0,1.0,55.15865,55.95495
0.2,0.85,1.0,1.0,60.97185,61.3568
0.2,0.85,1.0,0.0,63.63265,
0.2,0.85,-1.0,0.0,66.04415,
0.2,0.85,1.0,1.0,69.17025,69.607
0.2,0.85,-1.0,0.0,72.7731,
0.2,0.85,1.0,1.0,76.83795,77.16105
0.2,0.85,-1.0,0.0,79.63445,
0.2,0.85,-1.0,1.0,83.6541,84.16025
0.2,0.85,-1.0,0.0,86.53575,
0.2,0.85,-1.0,0.0,90.48915,
0.2,0.85,1.0,1.0,93.0716,93.23115
0.2,0.85,-1.0,0.0,95.60465,
0.2,0.85,-1.0,0.0,100.04985,
0.2,0.85,-1.0,0.0,104.02805,
0.2,0.85,-1.0,0.0,106.95405,
0.2,0.85,1.0,1.0,110.89545,111.60505
0.2,0.85,1.0,1.0,113.88285,114.53195
0.2,0.85,1.0,1.0,116.60455,118.89735
0.2,0.85,1.0,1.0,121.5721,121.9341
0.2,0.85,1.0,1.0,124.409,124.74325
0.2,0.85,1.0,1.0,127.0163,127.3649
0.2,0.85,-1.0,0.0,130.95815,
0.2,0.85,1.0,1.0,136.2129,136.5421
0.2,0.85,-1.0,0.0,139.01545,
0.2,0.85,-1.0,0.0,141.9495,
0.2,0.85,1.0,1.0,144.3609,144.51205
0.2,0.85,1.0,1.0,146.58545,146.9264
0.2,0.85,1.0,1.0,149.30205,149.7727
0.2,0.85,1.0,1.0,152.1473,152.5009
0.2,0.85,1.0,1.0,155.1752,155.6655
0.2,0.85,1.0,1.0,157.7439,158.08855
0.2,0.85,1.0,1.0,160.3624,160.64375
0.2,0.85,1.0,1.0,163.11855,163.44565
0.2,0.85,1.0,1.0,165.7195,166.00635
0.2,0.85,1.0,1.0,168.38395,168.4976
0.2,0.85,1.0,1.0,170.572,171.1015
0.2,0.85,1.0,0.0,173.5744,
0.2,0.85,1.0,1.0,176.3838,176.5868
0.2,0.85,1.0,1.0,179.26245,179.5069
0.2,0.85,1.0,0.0,181.5813,
0.2,0.85,1.0,0.0,185.264,
0.2,0.85,1.0,1.0,191.26575,191.55435
0.2,0.85,1.0,1.0,193.93005,194.2062
0.2,0.85,1.0,1.0,196.5798,196.95595
0.2,0.85,1.0,1.0,199.6327,200.1039
0.2,0.85,1.0,0.0,204.1188,
0.2,0.85,1.0,1.0,207.7559,208.10845
0.2,0.85,1.0,0.0,210.1829,
0.2,0.85,1.0,1.0,213.76815,214.0863
0.2,0.85,1.0,1.0,216.7609,216.9495
0.2,0.85,1.0,1.0,219.2244,219.54545
0.2,0.85,1.0,1.0,221.9201,222.39255
0.2,0.85,1.0,1.0,224.46775,224.86565
0.2,0.85,1.0,1.0,227.2399,227.5391
0.2,0.85,1.0,1.0,229.8115,230.231
0.2,0.85,1.0,1.0,232.7043,233.0454
0.2,0.85,1.0,1.0,235.72225,236.04285
0.2,0.85,1.0,1.0,238.11615,238.4472
0.2,0.85,1.0,0.0,240.8253,
0.2,0.85,1.0,1.0,243.96135,244.2342
0.2,0.85,1.0,1.0,247.8052,248.2092
0.2,0.85,-1.0,0.0,250.88275,
0.2,0.85,1.0,1.0,254.87495,254.9626
0.2,0.85,1.0,1.0,257.037,257.5048
0.75,0.2,1.0,1.0,260.1486,260.48155
0.75,0.2,1.0,0.0,262.9588,
0.75,0.2,1.0,1.0,266.201,266.4922
0.75,0.2,1.0,0.0,268.76515,
0.75,0.2,1.0,0.0,271.68385,
