leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.85,0.2,1.0,0.0,51.69675,
0.85,0.2,,,54.3472,
0.85,0.2,,,62.45335,
0.85,0.2,-1.0,1.0,70.5628,71.0929
0.85,0.2,-1.0,1.0,73.36775,73.79725
0.85,0.2,-1.0,1.0,76.2746,78.6511
0.85,0.2,-1.0,1.0,81.02465,81.32185
0.85,0.2,-1.0,1.0,83.883,84.1668
0.85,0.2,-1.0,0.0,86.84075,
0.85,0.2,-1.0,1.0,89.19695,89.4993
0.85,0.2,-1.0,1.0,92.17205,92.49915
0.85,0.2,-1.0,1.0,94.9736,95.2429
0.85,0.2,,,97.5233,
0.85,0.2,-1.0,1.0,105.6243,105.8991
0.85,0.2,-1.0,1.0,108.27265,108.6137
0.85,0.2,-1.0,1.0,115.3684,115.49605
0.85,0.2,-1.0,1.0,120.1574,120.4227
0.85,0.2,-1.0,0.0,123.13335,
0.85,0.2,-1.0,1.0,126.52765,126.7701
0.85,0.2,-1.0,0.0,131.0662,
0.85,0.2,-1.0,1.0,133.73505,133.95995
0.85,0.2,-1.0,1.0,136.2338,136.5355
0.85,0.2,-1.0,1.0,140.67045,140.9607
0.85,0.2,-1.0,1.0,144.31755,144.5868
0.85,0.2,-1.0,0.0,148.31675,
0.85,0.2,-1.0,1.0,151.01435,151.27365
0.85,0.2,-1.0,1.0,153.6472,153.916
0.85,0.2,-1.0,1.0,156.7214,156.8949
0.85,0.2,-1.0,0.0,159.56965,
0.85,0.2,-1.0,1.0,162.08855,162.4535
0.85,0.2,-1.0,1.0,165.1274,165.3902
0.85,0.2,1.0,0.0,167.7638,
0.85,0.2,-1.0,1.0,170.26465,170.6981
0.85,0.2,-1.0,1.0,174.4073,174.7095
0.85,0.2,-1.0,1.0,176.78385,177.21865
0.85,0.2,-1.0,0.0,179.69465,
0.85,0.2,-1.0,1.0,182.40925,182.7163
0.85,0.2,-1.0,1.0,185.3914,185.63765
0.85,0.2,-1.0,1.0,188.90135,189.1811
0.85,0.2,-1.0,1.0,192.31475,192.6736
0.85,0.2,-1.0,1.0,194.75085,194.8896
0.85,0.2,-1.0,1.0,198.59155,198.85735
0.85,0.2,-1.0,1.0,203.0053,203.2606
0.85,0.2,-1.0,1.0,205.3345,205.90275
0.85,0.2,-1.0,1.0,208.475,208.76315
0.85,0.2,-1.0,0.0,212.06045,
0.85,0.2,-1.0,1.0,214.81,215.1012
0.85,0.2,-1.0,1.0,217.47535,217.62095
0.85,0.2,-1.0,1.0,220.69115,220.95565
0.85,0.2,-1.0,1.0,223.43,223.70225
0.85,0.2,-1.0,1.0,226.78525,227.2061
0.85,0.2,-1.0,1.0,231.5658,231.80115
0.85,0.2,-1.0,1.0,234.07595,234.43695
0.85,0.2,-1.0,1.0,236.81485,237.1319
0.85,0.2,-1.0,1.0,240.2118,240.45195
0.85,0.2,-1.0,0.0,244.75025,
0.85,0.2,-1.0,1.0,247.6738,247.95405
0.85,0.2,-1.0,1.0,250.32765,250.50595
0.85,0.2,-1.0,1.0,253.4446,253.72685
0.85,0.2,-1.0,0.0,256.2002,
0.85,0.2,-1.0,1.0,258.77075,259.08495
0.85,0.2,-1.0,1.0,262.9145,263.22075
0.85,0.2,-1.0,1.0,265.593,265.92875
0.85,0.2,-1.0,1.0,268.8643,269.15865
0.85,0.2,-1.0,1.0,271.43255,271.6385
0.85,0.2,-1.0,1.0,275.05925,275.4158
0.85,0.2,-1.0,1.0,277.4934,277.7846
0.85,0.2,-1.0,1.0,281.4066,281.7369
0.85,0.2,-1.0,0.0,284.4108,
0.85,0.2,-1.0,1.0,287.0786,287.37175
0.85,0.2,-1.0,1.0,290.04055,290.31675
0.85,0.2,1.0,0.0,292.6925,
0.85,0.2,-1.0,1.0,295.0875,295.34265
0.85,0.2,-1.0,0.0,298.0174,
0.85,0.2,-1.0,1.0,301.5917,301.91985
0.85,0.2,-1.0,1.0,303.99475,304.24955
0.85,0.2,-1.0,1.0,307.33275,307.5691
0.85,0.2,-1.0,0.0,310.6777,
0.2,0.7,-1.0,0.0,313.2806,
0.2,0.7,-1.0,1.0,315.9749,316.2561
0.2,0.7,-1.0,0.0,319.0491,
0.2,0.7,-1.0,0.0,321.79675,
0.2,0.7,-1.0,0.0,324.8417,
