leftP,rightP,trial_response_side,trial_reward,cue_time,response_time
0.05,0.85,-1.0,0.0,33.55425,
0.05,0.85,,,36.8135,
0.05,0.85,1.0,1.0,48.34515,
0.05,0.85,-1.0,0.0,51.2381,
0.05,0.85,1.0,0.0,54.45035,
0.05,0.85,-1.0,0.0,57.4294,
0.05,0.85,-1.0,1.0,63.0701,
0.05,0.85,-1.0,0.0,68.17685,
0.05,0.85,-1.0,0.0,75.8137,
0.05,0.85,-1.0,0.0,81.74205,
0.05,0.85,-1.0,0.0,91.4489,
0.05,0.85,-1.0,0.0,95.07685,
0.05,0.85,-1.0,0.0,100.8135,
0.05,0.85,-1.0,0.0,104.52095,
0.05,0.85,-1.0,0.0,110.69875,
0.05,0.85,-1.0,0.0,116.27555,
0.05,0.85,-1.0,0.0,123.7121,
0.05,0.85,1.0,1.0,127.824,
0.05,0.85,-1.0,0.0,136.0063,
0.05,0.85,1.0,1.0,142.2858,
0.05,0.85,-1.0,0.0,145.1755,
0.05,0.85,-1.0,0.0,154.07435,
0.05,0.85,-1.0,0.0,159.1745,
0.05,0.85,-1.0,0.0,162.1981,
0.05,0.85,-1.0,0.0,165.86335,
0.05,0.85,-1.0,1.0,169.64815,
0.05,0.85,1.0,1.0,173.80985,
0.05,0.85,1.0,1.0,176.4177,
0.05,0.85,-1.0,0.0,185.84085,
0.05,0.85,-1.0,0.0,189.24185,
0.05,0.85,-1.0,0.0,194.86875,
0.05,0.85,-1.0,0.0,199.11025,
0.05,0.85,-1.0,0.0,205.38405,
0.05,0.85,-1.0,0.0,208.93945,
0.05,0.85,-1.0,0.0,214.79455,
0.05,0.85,1.0,1.0,221.1065,
0.05,0.85,,,231.4721,
0.05,0.85,,,239.57435,
0.05,0.85,-1.0,0.0,247.6779,
0.05,0.85,1.0,1.0,252.5876,
0.05,0.85,-1.0,0.0,258.86065,
0.05,0.85,,,262.8991,
0.05,0.85,1.0,1.0,271.0011,
0.05,0.85,,,275.5591,
0.05,0.85,,,283.6617,
0.05,0.85,-1.0,0.0,291.7627,
0.05,0.85,,,297.0024,
0.05,0.85,1.0,1.0,305.10455,
0.05,0.85,1.0,0.0,312.58965,
0.05,0.85,,,315.7358,
0.05,0.85,,,323.8388,
0.05,0.85,1.0,1.0,331.94095,
0.05,0.85,-1.0,0.0,334.9418,
0.05,0.85,,,341.99565,
0.05,0.85,,,350.1,
0.05,0.85,,,358.203,
0.05,0.85,-1.0,0.0,366.3055,
0.05,0.85,-1.0,0.0,375.52205,
0.05,0.85,-1.0,0.0,383.8036,
0.05,0.85,1.0,1.0,386.7067,
0.05,0.85,1.0,1.0,389.78945,
0.05,0.85,,,398.96065,
0.05,0.85,-1.0,0.0,407.06075,
0.05,0.85,,,409.3248,
0.05,0.85,1.0,0.0,418.0182,
0.05,0.85,1.0,1.0,420.7445,
0.05,0.85,1.0,1.0,427.80235,
0.05,0.85,1.0,1.0,430.58645,
0.05,0.85,1.0,1.0,433.14755,
0.05,0.85,1.0,1.0,435.7539,
0.05,0.85,1.0,0.0,438.4606,
0.05,0.85,1.0,1.0,443.21575,
0.05,0.85,1.0,1.0,445.61325,
0.05,0.85,1.0,1.0,448.00165,
0.05,0.85,-1.0,0.0,451.5995,
0.05,0.85,1.0,1.0,454.71135,
0.05,0.85,1.0,1.0,457.71475,
0.05,0.85,1.0,1.0,460.45615,
0.05,0.85,1.0,1.0,463.06285,
0.05,0.85,-1.0,0.0,467.1627,
0.05,0.85,1.0,1.0,470.75195,
0.05,0.85,1.0,1.0,473.0946,
0.05,0.85,1.0,0.0,476.30935,
0.05,0.85,1.0,1.0,478.9612,
0.05,0.85,1.0,1.0,483.7073,
0.05,0.85,1.0,1.0,487.876,
0.05,0.85,1.0,1.0,490.2846,
0.05,0.85,1.0,0.0,495.80935,
0.05,0.85,1.0,1.0,499.78945,
0.9,0.05,1.0,0.0,504.44205,
0.9,0.05,1.0,0.0,507.22945,
0.9,0.05,1.0,1.0,509.89025,
0.9,0.05,1.0,0.0,514.1148,
0.9,0.05,1.0,0.0,518.2612,
0.9,0.05,1.0,0.0,520.66665,
0.9,0.05,1.0,0.0,524.1512,
0.9,0.05,1.0,0.0,527.05145,
0.9,0.05,1.0,0.0,530.47685,
0.9,0.05,1.0,0.0,532.79975,
0.9,0.05,1.0,0.0,536.7083,
0.9,0.05,1.0,0.0,539.20655,
0.9,0.05,1.0,0.0,541.52085,
0.9,0.05,1.0,0.0,544.3921,
0.9,0.05,1.0,0.0,547.0766,
0.9,0.05,1.0,0.0,553.4315,
0.9,0.05,1.0,0.0,557.88865,
0.9,0.05,1.0,0.0,560.57065,
0.9,0.05,1.0,0.0,563.42685,
